#key	name	year	genre	developer	players
5 in One FunPak (USA)	5 in 1 Funpak	1994	Board game/Compilation	Beam Software	1-2
Aa Harimanada (Japan)	Aa Harimanada	1993	Sports / Sumo/Sports	SEGA	1
Addams Family, The (World)	The Addams Family	1994	Platform	Arc Developments Limited	1
Adventures of Batman & Robin, The (USA, Europe, Brazil) (En)	The Adventures of Batman & Robin	1995	Beat'em Up	Novotrade	1
Aerial Assault (World)	Aerial Assault	1992	Shoot'em Up / Horizontal/Shoot'em Up	Sanritsu Denki	1-2
Aladdin (USA, Europe, Brazil) (En)	Disney's Aladdin	1994	Platform	Sims	1
Alien 3 (USA, Europe)	Alien 3	1992	Platform	Probe Software	1
Alien Syndrome (Europe)	Alien Syndrome	1992	Shooter / Run and Gun/Shooter	Sims	1
Andre Agassi Tennis (USA)	Andre Agassi Tennis	1993	Sports/Sports / Tennis	Epyx	1
Arcade Classics (USA)	Arcade Classics	1996	Compilation	Al Baker & Associates	1-2
Arch Rivals - The Arcade Game (USA)	Arch Rivals	1992	Sports/Sports / Basketball	Arc Developments Limited	1-2
Archer Maclean's Dropzone (Europe)	Dropzone	1994	Shoot'em Up	The Big Red Software Company	1-2
Arena (USA, Europe)	Arena : Maze of Death	1995	Action / Labyrinth/Action	Eden Entertainment Software	1
Ariel - The Little Mermaid (USA, Europe, Brazil) (En)	Ariel the Little Mermaid	1993	Platform	BlueSky Software	1
Asterix and the Great Rescue (USA, Brazil) (En)	Astérix and the Great Rescue	1994	Platform	Core Design	1
Asterix and the Secret Mission (Europe) (En,Fr,De)	Astérix and the Secret Mission	1993	Platform	SEGA	1
Ax Battler - A Legend of Golden Axe (USA, Europe, Brazil) (En)	Ax Battler : A Legend of Golden Axe	1992	Adventure/Role Playing Game	Aspect	1
Ayrton Senna's Super Monaco GP II (USA, Europe, Brazil) (En)	Ayrton Senna's Super Monaco GP II	1992	Racing, Driving	SEGA	1-2
Baku Baku (USA)	Baku Baku	1996	Puzzle	Minato Giken	1-2
Barbie Super Model (USA) (Proto)	Barbie : Super Model	1994	Adventure	Bonsai Entertainment	1
Batman Forever (World)	Batman Forever	1995	Beat'em Up	Probe Entertainment	1
Batman Returns (World)	Batman Returns	1992	Beat'em Up	Aspect	1
Batter Up (USA)	Batter Up	1991	Sports/Sports / Baseball	Namco	1-2
Battleship - The Classic Naval Combat Game (USA)	Battleship : The Classic Naval Combat Game	1993	Board game/Strategy	NGM Productions	1
Battletoads (USA)	Battletoads	1993	Beat'em Up	Arc System Works	1
Beavis and Butt-Head (USA, Europe)	Beavis and Butt-Head	1994	Adventure	NuFX	1
Berenstain Bears' Camping Adventure, The (USA)	The Berenstain Bears' Camping Adventure	1993	Platform	Realtime Associates	1
Berlin no Kabe (Japan)	Berlin no Kabe	1991	Platform	Inter State	1-2
Bishoujo Senshi Sailor Moon S (Japan)	Bishoujo Senshi Sailor Moon S	1995	Platform	Shimada Kikaku	1
Bonkers Wax Up! (USA, Europe)	Bonkers Wax Up!	1994	Platform	Al Baker & Associates	1
Bram Stoker's Dracula (USA)	Bram Stoker's Dracula	1993	Platform	Probe Software	1
BreakThru! (USA) (Proto)	BreakThru!	1994	Puzzle	Realtime Associates	
Bubble Bobble (USA)	Bubble Bobble	1994	Platform	Open	1
Bugs Bunny in Double Trouble (USA, Europe)	Bugs Bunny in Double Trouble	1996	Platform	Probe Entertainment	1
Bust-A-Move (USA)	Bust-A-Move	1996	Puzzle / Throw/Puzzle	Santos	1-2
Buster Ball (Japan)	Buster Ball	1992	Sports / Shuffleboard/Sports	Riverhillsoft	1-2
Buster Fight (Japan)	Buster Fight	1994	Fighting/Fighting / 2D	Sims	1-2
Caesars Palace (USA)	Caesars Palace	1993	Casino	Teeny Weeny Games	1
Captain America and the Avengers (USA)	Captain America and The Avengers	1993	Beat'em Up	Realtime Associates	1
Car Licence (Japan)	Car Licence	1995	Educational	System Vision	1
Casino FunPak (USA)	Casino Funpak	1994	Casino	Beam Software	1
Castle of Illusion Starring Mickey Mouse (USA, Europe, Brazil) (En)	Castle of Illusion starring Mickey Mouse	1991	Platform/Platform / Run & Jump Scrolling	SEGA	1
Cave Dude (USA) (Proto)	Cave Dude	1993	Platform	Open	1
Chakan (USA, Europe)	Chakan	1992	Platform	Paul Hutchinson	1
Championship Hockey (Europe)	Championship Hockey	1995	Sports/Sports / Hockey	Imagitec Design	1
Chase H.Q. (USA)	Chase H.Q.	1991	Racing, Driving	Taito	1
Cheese Cat-Astrophe Starring Speedy Gonzales (USA, Europe, Brazil) (En,Fr,De,Es)	Cheese Cat-astrophe Starring Speedy Gonzales	1995	Platform	Cryo Interactive	1
Chessmaster, The (USA, Europe, Brazil) (En)	The Chessmaster	1991	Board game	NovaLogic	1-2
Chicago Syndicate (USA, Brazil) (En)	Chicago Syndicate	1995	Beat'em Up	SEGA	1
Choplifter III (USA)	Choplifter III	1994	Shoot'em Up / Horizontal/Shoot'em Up	Beam Software	1-2
Chuck Rock (World)	Chuck Rock	1992	Platform	Core Design	1
Chuck Rock II - Son of Chuck (USA)	Chuck Rock II : Son of Chuck	1993	Platform	Core Design	1
