#name	crc	size	key
5 in One FunPak (USA)	f85a8ce8	262144	5 in One FunPak (USA)
Aa Harimanada (Japan)	1d17d2a0	524288	Aa Harimanada (Japan)
Addams Family, The (World)	1d01f999	262144	Addams Family, The (World)
Adventures of Batman & Robin, The (USA, Europe, Brazil) (En)	bb4f23ff	524288	Adventures of Batman & Robin, The (USA, Europe, Brazil) (En)
Adventures of Batman & Robin, The (USA, Europe, Brazil) (En) (Beta 1)	acce0d15	524278	Adventures of Batman & Robin, The (USA, Europe, Brazil) (En)
Adventures of Batman & Robin, The (USA, Europe, Brazil) (En) (Beta 2)	14867057	523228	Adventures of Batman & Robin, The (USA, Europe, Brazil) (En)
Adventures of Batman & Robin, The (USA, Europe, Brazil) (En) (Beta 3)	50376471	523228	Adventures of Batman & Robin, The (USA, Europe, Brazil) (En)
Adventures of Batman & Robin, The (USA, Europe, Brazil) (En) (Beta 4)	e57566f3	523228	Adventures of Batman & Robin, The (USA, Europe, Brazil) (En)
Adventures of Batman & Robin, The (USA, Europe, Brazil) (En) (Beta 5)	a9cf66ed	523228	Adventures of Batman & Robin, The (USA, Europe, Brazil) (En)
Adventures of Batman & Robin, The (USA, Europe, Brazil) (En) (Beta 6)	c403264a	524282	Adventures of Batman & Robin, The (USA, Europe, Brazil) (En)
Adventures of Batman & Robin, The (USA, Europe, Brazil) (En) (Beta 7)	50c2f1ad	524282	Adventures of Batman & Robin, The (USA, Europe, Brazil) (En)
Adventures of Batman & Robin, The (USA, Europe, Brazil) (En) (Beta 8)	fc916fd7	524282	Adventures of Batman & Robin, The (USA, Europe, Brazil) (En)
Aerial Assault (World)	3e549b7a	131072	Aerial Assault (World)
Aerial Assault (World) (Rev 1)	04fe6dde	131072	Aerial Assault (World)
Aladdin (Japan) (En)	770e95e1	524288	Aladdin (USA, Europe, Brazil) (En)
Aladdin (USA, Europe, Brazil) (En)	7a41c1dc	524288	Aladdin (USA, Europe, Brazil) (En)
Aladdin (USA, Europe, Brazil) (En) (Beta 1)	5b1f717f	524288	Aladdin (USA, Europe, Brazil) (En)
Aladdin (USA, Europe, Brazil) (En) (Beta 2)	8a1693ab	524288	Aladdin (USA, Europe, Brazil) (En)
Aladdin (USA, Europe, Brazil) (En) (Beta 3)	75a7f142	524288	Aladdin (USA, Europe, Brazil) (En)
Alien 3 (Japan) (En)	06f6eebb	262144	Alien 3 (USA, Europe)
Alien 3 (USA, Europe)	11a68c08	262144	Alien 3 (USA, Europe)
Alien Syndrome (Europe)	bb5e10e0	131072	Alien Syndrome (Europe)
Alien Syndrome (Japan) (En)	ffe4ed47	131072	Alien Syndrome (Europe)
Andre Agassi Tennis (USA)	46c9fa3e	262144	Andre Agassi Tennis (USA)
Andre Agassi Tennis (USA) (Beta)	f167028e	262144	Andre Agassi Tennis (USA)
Arcade Classics (USA)	3deca813	262144	Arcade Classics (USA)
Arch Rivals - The Arcade Game (USA)	f0204191	262144	Arch Rivals - The Arcade Game (USA)
Archer Maclean's Dropzone (Europe)	152f0dcc	131072	Archer Maclean's Dropzone (Europe)
Arena (USA, Europe)	7cb3facf	524288	Arena (USA, Europe)
Ariel - The Little Mermaid (USA, Europe, Brazil) (En)	97e3a18c	262144	Ariel - The Little Mermaid (USA, Europe, Brazil) (En)
Arliel - Crystal Densetsu (Japan)	35fa3f68	262144	Crystal Warriors (USA, Europe)
Asterix and the Great Rescue (Europe) (En,Fr,De,Es,It)	328c5cc8	524288	Asterix and the Great Rescue (USA, Brazil) (En)
Asterix and the Great Rescue (USA) (Beta 3)	31bd3d8a	524288	Asterix and the Great Rescue (USA, Brazil) (En)
Asterix and the Great Rescue (USA) (Beta 4)	faf09846	524288	Asterix and the Great Rescue (USA, Brazil) (En)
Asterix and the Great Rescue (USA) (Beta 5)	66d8eb63	524288	Asterix and the Great Rescue (USA, Brazil) (En)
Asterix and the Great Rescue (USA) (En,Fr,De,Es,It) (Beta 1)	ba45f00f	524288	Asterix and the Great Rescue (USA, Brazil) (En)
Asterix and the Great Rescue (USA) (En,Fr,De,Es,It) (Beta 2)	1e8d735c	524288	Asterix and the Great Rescue (USA, Brazil) (En)
Asterix and the Great Rescue (USA, Brazil) (En)	78208b40	524288	Asterix and the Great Rescue (USA, Brazil) (En)
Asterix and the Secret Mission (Europe) (En,Fr,De)	c01a8051	524288	Asterix and the Secret Mission (Europe) (En,Fr,De)
Ax Battler - A Legend of Golden Axe (USA, Europe, Brazil) (En)	663bcf8a	262144	Ax Battler - A Legend of Golden Axe (USA, Europe, Brazil) (En)
Ax Battler - A Legend of Golden Axe (USA, Europe, Brazil) (En) (Beta)	3435ab54	262144	Ax Battler - A Legend of Golden Axe (USA, Europe, Brazil) (En)
Ax Battler - Golden Axe Densetsu (Japan)	dfcf555f	262144	Ax Battler - A Legend of Golden Axe (USA, Europe, Brazil) (En)
Ayrton Senna's Super Monaco GP II (Japan)	661faeff	262144	Ayrton Senna's Super Monaco GP II (USA, Europe, Brazil) (En)
Ayrton Senna's Super Monaco GP II (Japan) (Rev 1)	7687ce09	262144	Ayrton Senna's Super Monaco GP II (USA, Europe, Brazil) (En)
Ayrton Senna's Super Monaco GP II (USA, Europe, Brazil) (En)	1d1b1dd3	262144	Ayrton Senna's Super Monaco GP II (USA, Europe, Brazil) (En)
