#key	style	ss_system_id
5 in One FunPak (USA)	mixrbv2	21
Aa Harimanada (Japan)	mixrbv2	21
Addams Family, The (World)	mixrbv2	21
Adventures of Batman & Robin, The (USA, Europe, Brazil) (En)	mixrbv2	21
Aerial Assault (World)	mixrbv2	21
Aladdin (USA, Europe, Brazil) (En)	mixrbv2	21
Alien 3 (USA, Europe)	mixrbv2	21
Alien Syndrome (Europe)	mixrbv2	21
Andre Agassi Tennis (USA)	mixrbv2	21
Arcade Classics (USA)	mixrbv2	21
Arch Rivals - The Arcade Game (USA)	mixrbv2	21
Archer Maclean's Dropzone (Europe)	mixrbv2	21
Arena (USA, Europe)	mixrbv2	21
Ariel - The Little Mermaid (USA, Europe, Brazil) (En)	mixrbv2	21
Asterix and the Great Rescue (USA, Brazil) (En)	mixrbv2	21
Asterix and the Secret Mission (Europe) (En,Fr,De)	mixrbv2	21
Ax Battler - A Legend of Golden Axe (USA, Europe, Brazil) (En)	mixrbv2	21
Ayrton Senna's Super Monaco GP II (USA, Europe, Brazil) (En)	mixrbv2	21
Baku Baku (USA)	mixrbv2	21
Barbie Super Model (USA) (Proto)	mixrbv2	21
Batman Forever (World)	mixrbv2	21
Batman Returns (World)	mixrbv2	21
Batter Up (USA)	mixrbv2	21
Battleship - The Classic Naval Combat Game (USA)	mixrbv2	21
Battletoads (USA)	mixrbv2	21
Beavis and Butt-Head (USA, Europe)	mixrbv2	21
Berenstain Bears' Camping Adventure, The (USA)	mixrbv2	21
Berlin no Kabe (Japan)	mixrbv2	21
Bishoujo Senshi Sailor Moon S (Japan)	mixrbv2	21
Bonkers Wax Up! (USA, Europe)	mixrbv2	21
Bram Stoker's Dracula (USA)	mixrbv2	21
BreakThru! (USA) (Proto)	mixrbv2	21
Bubble Bobble (USA)	mixrbv2	21
Bugs Bunny in Double Trouble (USA, Europe)	mixrbv2	21
Bust-A-Move (USA)	mixrbv2	21
Buster Ball (Japan)	mixrbv2	21
Buster Fight (Japan)	mixrbv2	21
CJ Elephant Fugitive (USA, Europe)	mixrbv2	21
Caesars Palace (USA)	mixrbv2	21
Captain America and the Avengers (USA)	mixrbv2	21
Car Licence (Japan)	mixrbv2	21
Casino FunPak (USA)	mixrbv2	21
Castle of Illusion Starring Mickey Mouse (USA, Europe, Brazil) (En)	mixrbv2	21
Cave Dude (USA) (Proto)	mixrbv2	21
Chakan (USA, Europe)	mixrbv2	21
Championship Hockey (Europe)	mixrbv2	21
Chase H.Q. (USA)	mixrbv2	21
Cheese Cat-Astrophe Starring Speedy Gonzales (USA, Europe, Brazil) (En,Fr,De,Es)	mixrbv2	21
Chessmaster, The (USA, Europe, Brazil) (En)	mixrbv2	21
Chicago Syndicate (USA, Brazil) (En)	mixrbv2	21
Choplifter III (USA)	mixrbv2	21
Chuck Rock (World)	mixrbv2	21
Chuck Rock II - Son of Chuck (USA)	mixrbv2	21
Cliffhanger (USA)	mixrbv2	21
Clutch Hitter (USA)	mixrbv2	21
Columns (USA, Europe, Brazil) (En)	mixrbv2	21
Cool Spot (USA)	mixrbv2	21
Cosmic Spacehead (USA, Europe)	mixrbv2	21
Crayon Shin-chan - Taiketsu! Kantam Panic!! (Japan)	mixrbv2	21
Crazy Faces (Europe) (Proto)	mixrbv2	21
Crystal Warriors (USA, Europe)	mixrbv2	21
CutThroat Island (USA)	mixrbv2	21
Daffy Duck in Hollywood (Europe, Brazil) (En,Fr,De,Es,It)	mixrbv2	21
David Robinson's Supreme Court (USA) (Auto Demo)	mixrbv2	21
Deep Duck Trouble Starring Donald Duck (USA, Europe, Brazil) (En)	mixrbv2	21
Defenders of Oasis (USA, Europe)	mixrbv2	21
Desert Speedtrap Starring Road Runner and Wile E. Coyote (USA, Brazil) (En)	mixrbv2	21
Desert Strike - Return to the Gulf (USA)	mixrbv2	21
Devilish (USA)	mixrbv2	21
Dinobasher Starring Bignose the Caveman (Europe) (Proto)	mixrbv2	21
Donald no Magical World (Japan) (En,Ja)	mixrbv2	21
Doraemon - Noranosuke no Yabou (Japan)	mixrbv2	21
Doraemon - Waku Waku Pocket Paradise (Japan)	mixrbv2	21
Double Dragon (USA, Europe)	mixrbv2	21
Dr. Franken (Europe) (Demo)	mixrbv2	21
Dr. Robotnik's Mean Bean Machine (USA, Europe)	mixrbv2	21
Dragon - The Bruce Lee Story (USA)	mixrbv2	21
Dragon Crystal (USA, Europe)	mixrbv2	21
Dunk Kids (Japan) (En)	mixrbv2	21
Dynamite Headdy (USA, Europe)	mixrbv2	21
Earthworm Jim (USA)	mixrbv2	21
Ecco - The Tides of Time (USA, Europe, Brazil) (En)	mixrbv2	21
Ecco the Dolphin (USA, Europe, Brazil) (En)	mixrbv2	21
Ernie Els Golf (Europe) (En,Fr,De,Es,It)	mixrbv2	21
Eternal Legend (Japan)	mixrbv2	21
Evander Holyfield's 'Real Deal' Boxing (USA, Europe)	mixrbv2	21
Excellent Dizzy Collection, The (Europe)	mixrbv2	21
F-15 Strike Eagle (USA, Europe)	mixrbv2	21
F1 (USA, Europe)	mixrbv2	21
F1 - World Championship Edition (Europe)	mixrbv2	21
FIFA International Soccer (USA, Europe) (En,Fr,De,Es)	mixrbv2	21
FIFA Soccer 96 (USA, Europe) (En,Fr,De,Es)	mixrbv2	21
Faceball 2000 (Japan) (En)	mixrbv2	21
Factory Panic (Europe, Brazil) (En)	mixrbv2	21
Fantastic Dizzy (USA, Europe) (En,Fr,De,Es,It)	mixrbv2	21
Fantasy Zone (USA, Brazil) (En)	mixrbv2	21
Fatal Fury Special (USA)	mixrbv2	21
Foreman for Real (Japan, USA) (En)	mixrbv2	21
Frank Thomas Big Hurt Baseball (USA)	mixrbv2	21
Fray - Shugyou Hen (Japan)	mixrbv2	21
Fred Couples Golf (USA)	mixrbv2	21
Frogger (USA) (Proto)	mixrbv2	21
From TV Animation Slam Dunk - Shouri e no Starting 5 (Japan)	mixrbv2	21
G-LOC - Air Battle (USA, Europe, Brazil) (En)	mixrbv2	21
GG Aleste (Japan) (En)	mixrbv2	21
GG Aleste 3 (Japan) (En) (Aleste Collection)	mixrbv2	21
GG Portrait - Pai Chan (Japan)	mixrbv2	21
GG Portrait - Yuuki Akira (Japan)	mixrbv2	21
GG Shinobi, The (Japan) (En)	mixrbv2	21
GP Rider (World)	mixrbv2	21
Galaga 2 (Europe)	mixrbv2	21
Gamble Panic (Japan)	mixrbv2	21
Gambler Jiko Chuushinha (Japan)	mixrbv2	21
Garfield - Caught in the Act (USA, Europe)	mixrbv2	21
Gear Stadium Heiseiban (Japan)	mixrbv2	21
Gear Works (USA)	mixrbv2	21
George Foreman's KO Boxing (USA, Europe)	mixrbv2	21
Global Gladiators (Europe)	mixrbv2	21
Gojira - Kaijuu Daishingeki (Japan)	mixrbv2	21
