#key	synopsis
5 in One FunPak (USA)	Pack de 5 jeux : Backgammon, Dames, Reversi, Échec, yahtzee
Aa Harimanada (Japan)	Adapté d'un manga à succès de l'époque, &quot;Aah! Harimanada&quot; vous place dans la peau d'un lutteur sumo en route pour le fameux rang de Yokozuna.
Addams Family, The (World)	The Addams Family est un jeu de plates-formes sur Game Gear. L'histoire se situe vers la fin du film La Famille Addams alors que la famille est expulsée de son manoir par un avocat zélé. Comme si cela ne suffisait pas, on apprend que Morticia, Pugsley, Mercredi et les autres ont disparu ! Vous incarnez donc Gomez, seul rescapé, qui partira à la recherche de sa famille et affrontera tous ses ennemis jusqu'au dernier : l'avocat !
Adventures of Batman & Robin, The (USA, Europe, Brazil) (En)	The Adventures of Batman & Robin est un jeu de plates-formes sur Game Gear. Incarnez l'homme chauve-souris et son fidèle acolyte Robin, qui utiliseront tous deux leurs gadgets pour défaire l'infâme Mr. Freeze dans ce jeu inspiré du dessin animé. Mais ce ne sera pas le seul ennemi car d'autres méchants se joindront au combat avec parmi eux Le Joker ou encore Double Face.
Aerial Assault (World)	Aerial Assault sur Game Gear vous place dans le cockpit d'un F-15C Eagle, avec pour objectif d'éliminer tout assaillant environnant. Qu'il s'agisse de chasseurs, de jeeps, ou encore de sous-marins, certains de vos ennemis vous permettront d'augmenter la force de frappe de votre appareil grâce à quelques bonus.
Aladdin (USA, Europe, Brazil) (En)	Reprenant les différentes séquences du film d'animation de Disney, Aladdin sur Game Gear permet de retrouver tous les personnages de l'histoire. Ce jeu de plates-formes propose effectivement de suivre Aladdin des rues d'Agrabah aux couloirs du palais royal en passant bien sûr par la célèbre caverne aux merveilles. Le Génie est aussi de la partie et permet de gagner des bonus.
Alien 3 (USA, Europe)	Alien 3 sur Game Gear vous plonge directement après la fin du film &quot;Aliens&quot;. Ellen Ripley, personnage principal de la saga, est en sommeil cryogénique à bord du Sulaco. Un alien s'est infiltré à bord, décimant l'équipage et provoquant le crash du vaisseau sur la planète Fiorina 161. Aidez Ripley à survivre et sauvez les prisonniers des griffes des aliens en attendant que les secours arrivent.
Alien Syndrome (Europe)	Alien Syndrome sur Game Gear est un jeu d'action adapté du titre éponyme sorti sur bornes d'arcade. Une fois de plus, les extraterrestres font des misères aux humains. Votre mission est de sauver tous les individus captifs et de vous échapper avant le terme du compte à rebours, faute de quoi vous exploserez avec la bombe que vous avez placée. Le dénouement consiste en un combat épique avec la reine mère des extraterrestres.
Andre Agassi Tennis (USA)	André Agassi Tennis sur Game Gear vous propose d'incarner huit joueurs et joueuses, sur gazon, terre battue, ainsi que sur surface rapide. Le &quot;Kid de Las Vegas&quot; est le seul vrai joueur présent. Smashes, passing shots, vollées sont au programme. De la précision de votre placement et de votre timing dépend la réussite de vos coups dans ce jeu à la maniabilité exigeante.
Arcade Classics (USA)	Pack de 3 grands classiques du jeux vidéo : MISSILE COMMAND, CENTIPEDE et PONG
Arch Rivals - The Arcade Game (USA)	Arch Rivals est un jeu de basketball sur Game Gear. A la différence d'autres titres de sport, Arch Rival ne met pas un point d'honneur à respecter les règles. Au contraire, la triche est encouragée et tous les coups sont permis pour gagner ! Faites des fautes pour vous assurer le point et choisissez parmi 12 équipes différentes pour remporter la victoire.
