#key	synopsis
5 in One FunPak (USA)	5 in One Fun Pak è una raccolta di giochi famosi per Sega Game Gear. Sono incluse le versioni di scacchi, dama, backgammon, reversi e yacht (utilizzando le regole di Yahtzee) e il giocatore può scegliere se giocare contro il computer o un altro essere umano. Ogni gioco (eccetto Yacht) ha impostazioni di difficoltà. Il gioco è stato rilasciato esclusivamente in Nord America nel 1994.
Aa Harimanada (Japan)	Aa Harimanada è un gioco di wrestling di sumo del 1993 di Sega per Sega Game Gear e Sega Mega Drive realizzato per legarsi all'anime Aa Harimanada di TV Tokyo. Il gioco è un tipico gioco di combattimento con varie combinazioni di pulsanti che fanno qualcosa di diverso. La versione Mega Drive ha un sistema di password e una modalità contro due giocatori.
Addams Family, The (World)	The Addams Family è un platform a scorrimento laterale basato sul film con lo stesso nome. Il giocatore assume il ruolo di Gomez che cerca i suoi familiari scomparsi. Per trovarli deve esplorare sei diverse parti della villa, ad es. i boschi, che sono livelli di piattaforma di base: il giocatore si muove da sinistra a destra saltando molto ed evitando i nemici. Alcuni di loro possono essere eliminati con un salto in testa. La differenza principale rispetto alle altre versioni di questo gioco è un design dei livelli unico. C'è anche un misuratore di vita che permette di essere colpiti più spesso prima di morire.
Adventures of Batman & Robin, The (USA, Europe, Brazil) (En)	Il gioco è basato sulla famosa serie animata degli anni '90 con lo stesso nome. Il giocatore prende il controllo esclusivamente di Batman, poiché il Joker ha rapito Robin per attirare Batman in un gioco. Inoltre, i Jolly consentono ai criminali più temuti di Gotham di competere tra loro per distrarre Batman. Naturalmente, Batman deve prendersi cura anche degli altri maestri criminali, mentre cerca di liberare Robin. Le avventure di Batman & Robin è un platform / picchiaduro 2D. L'obiettivo in ogni fase e livello è camminare da sinistra a destra per raggiungere il (sub) boss e la fine del livello. Per sconfiggere i suoi nemici, Batman usa pugni e calci nel combattimento ravvicinato e diverse armi per brevi distanze. Batman ha una scorta illimitata di Batarang sin dall'inizio e ci sono altre quattro armi disponibili. Oltre al semplice salto, Batman può anche eseguire un doppio salto per raggiungere luoghi più alti e può aggrapparsi alle sporgenze.
Aerial Assault (World)	In Aerial Assault, interpreti il Freedom Fighter che deve distruggere cinque bersagli, tra cui il Vinsk, il bombardiere CB-53, &quot;El&quot; e due fortezze sulla scogliera. Durante ciascuna delle cinque missioni, incontrerai jet nemici, elicotteri, sottomarini, jeep, bombe a paracadute e molti altri nemici in cui dovrai distruggere. Sparare ai caccia in rotazione o ai piccoli elicotteri volanti ti farà guadagnare un potenziamento che ti permetterà di aumentare o diminuire la tua potenza di fuoco. Sono disponibili tre impostazioni difficili: &quot;Facile&quot;, &quot;Normale&quot; e &quot;Difficile&quot;. Non sarai in grado di completare il gioco se selezioni l'impostazione &quot;Facile&quot;.
Aladdin (USA, Europe, Brazil) (En)	Come le altre versioni, è un gioco d'azione a scorrimento laterale. Il giocatore controlla Aladino, facendosi strada attraverso una varietà di luoghi, tra cui le strade di Agrabah, la Grotta delle Meraviglie, il palazzo del Sultano e altro ancora. Il gioco assume diverse forme: alcuni livelli sono inseguimenti, in cui Aladino corre automaticamente, ma deve essere fatto saltare sopra voragini o rotolare rocce e barili, evitare oggetti che cadono ed evitare di essere catturato da una guardia. Altri livelli sono affari platform: Aladdin deve correre, saltare e arrampicarsi, trovare chiavi o interruttori per aprire le porte mentre cerca l'uscita. Le rocce possono essere raccolte e lanciate per eliminare i nemici o premere pulsanti altrimenti fuori portata. Infine, nel gioco sono presenti anche diversi viaggi sul tappeto magico, in cui il livello scorre automaticamente e il giocatore deve assicurarsi di evitare eventuali ostacoli sul percorso.
Alien 3 (USA, Europe)	Gli ALIENI sono veloci, sputano acido e sono proprio dietro di te! Il motion tracker è il tuo unico avvertimento. Non c'è tempo per pensare, non c'è tempo per riprendere fiato ... CORRI! Non riesco a vedere molto lontano in questi condotti d'aria. Difficile respirare. Gli abbracci possono essere ovunque. Hai la potenza di fuoco ... fai esplodere gli ALIENI con la tua mitragliatrice, lanciafiamme e lanciagranate. Sai cosa devi fare ... salvare i prigionieri intrappolati e porre fine a questo incubo! Continua a ripeterti: &quot;Non sta succedendo davvero. È solo un gioco!!!&quot;
Alien Syndrome (Europe)	Gli alieni in questo gioco sono tutt'altro che amichevoli. Sono mostri viscidi che tengono prigionieri i coloni spaziali a bordo di sette astronavi aliene. Questo super gioco d'azione ti sfida a liberare gli ostaggi indifesi. Esplora gli stadi mortali di ogni nave, usando lanciafiamme e cannoni laser per vaporizzare la feccia aliena. Cerca le mappe che ti aiutino a trovare la strada. Dopo aver salvato tutti i prigionieri da una nave, devi distruggere il tuo potente leader prima di poter avanzare alla nave successiva. Ricorda, per gli alieni, sei una melma. E ti vogliono ben morto!
Andre Agassi Tennis (USA)	Il dritto esplosivo di Andre Agassi è tuo! Sii Agassi o gioca contro Agassi. Per la prima volta, guadagna molti soldi con le partite &quot;skin&quot;, dove le scommesse raddoppiano ad ogni ritorno. Con 4 campi, 8 giocatori entusiasmanti, ognuno con stili di gioco diversi e un arbitro che chiama ogni mossa, Andre Agassi Tennis non può essere battuto.
Arcade Classics (USA)	Arcade Classics offre tre titoli Atari classici. Include i seguenti giochi:nn1. Missile Command Centipede Pong (Ultrapong: sia Pong che Hockey)nnTutti i giochi hanno opzioni di difficoltà selezionabili. Contengono una modalità classica e una modalità Genesis (modalità SEGA nella versione Game Gear), che migliora la grafica e aggiunge nuovi effetti sonori.
Arch Rivals - The Arcade Game (USA)	Arch Rivals è una conversione del famoso gioco arcade Midway. È una partita di basket 2 contro 2 che si distingue dalla massa per il suo approccio &quot;senza regole&quot;. Imbrattare altri giocatori è più che accettato, è incoraggiato. Scegli tra dodici diverse squadre e otto giocatori, ognuno con le proprie caratteristiche e personalità.
Archer Maclean's Dropzone (Europe)	In Dropzone su Game Gear, il giocatore assume il ruolo di un astronauta dotato di un jetpack. Devi venire in tuo aiuto evitando di cadere vittima degli alieni che usano trucchi per eliminarti. Il tuo amico potrebbe non essere chi pensi...
Arena (USA, Europe)	Nell'anno 2026, un governo corrotto ha utilizzato una società di trasmissione televisiva chiamata Astralnet Broadcasting Company per controllare segretamente la popolazione e mantenerla sottoposta al lavaggio del cervello. Durante questi periodi un gruppo di ribelli pro-democratici, guidato da Guy Freelander, ha ottenuto un incontro segreto registrato tra alti funzionari del governo e direttori della ABC che discutevano dei loro piani diabolici. Convinti che se riproducono il nastro attraverso le trasmissioni della ABC, possono convincere la popolazione repressa a sollevarsi contro l'attuale regime. L'unico problema che si trova sulla loro strada è la strada per il centro di trasmissione, una trappola mortale soprannominata il labirinto.
