#key	name	year	genre	developer	players
10 Super Jogos (Brazil) (En)	Sega Top Ten	2002	Sports/Strategy/Compilation	Epyx	8+
16t (Japan) (Sega Game Toshokan)	16t	1991	Platform	Sega CS1	1-2
3 Ninjas Kick Back (USA)	3 Ninjas Kick Back	1994	Platform	Malibu Games	1-2
6-Pak (USA)	6-Pak	1995	Compilation	SEGA	1-2
688 Attack Sub (USA, Europe)	688 Attack Sub	1991	Simulation / Vehicle/Simulation	MicroProse	1
A Ressha de Ikou MD (Japan)	A Ressha de Ikou MD	1992	Build And Management/Simulation	MNM Software	1
Aa Harimanada (Japan)	Aa Harimanada	1993	Sports / Sumo/Sports	Megasoft	1-2
Aaahh!!! Real Monsters (USA)	Aaahh!!! Real Monsters	1995	Platform	Realtime Associates	1
Academia do Saber (Brazil) (Mega Drive 4)	Academia Do Saber	2007	Educational/Puzzle	Tectoy	1
Addams Family Values (Europe) (En,Fr,De)	Addams Family Values	1995	Adventure	Ocean	1
Addams Family, The (USA, Europe)	The Addams Family	1993	Platform	Ocean	1
Advanced Busterhawk Gley Lancer (World) (Ratalaika Games)	Advanced Busterhawk Gley Lancer	1992	Shoot'em Up / Horizontal/Shoot'em Up	Masaya Games	1
Advanced Daisenryaku - Deutsch Dengeki Sakusen (Japan) (Rev A)	Advanced Military Commander	1991	Strategy	SystemSoft	1-4
Adventures of Batman & Robin, The (USA)	The Adventures of Batman & Robin	1995	Beat'em Up	Clockworks Entertainment	1-2
Adventures of Mighty Max, The (USA)	The Adventures of Mighty Max	1994	Platform	WJS Design	1-2
Adventures of Rocky and Bullwinkle and Friends, The (USA)	The Adventures of Rocky and Bullwinkle and Friends	1993	Platform	Absolute Entertainment	1
Aero the Acro-Bat (USA)	Aero the Acro-Bat	1993	Platform	Iguana Entertainment	1
Aero the Acro-Bat 2 (USA)	Aero the Acro-Bat 2	1995	Platform	Iguana Entertainment	1
Aerobiz (USA)	Aerobiz	1992	Build And Management/Simulation	Koei	1-4
Aerobiz Supersonic (USA)	Aerobiz Supersonic	1994	Build And Management/Simulation	Koei	1-4
After Burner II (USA, Europe)	After Burner II	1990	Shooter / Plane, TPV/Shooter	SEGA	1
Air Buster (USA)	Air Buster	1991	Shoot'em Up / Horizontal/Shoot'em Up	Inter State	1-2
Air Diver (USA)	Air Diver	1990	Shooter / FPV/Shooter	Copya System	1
Air Hockey (Europe) (Sega Reactor)	Air Hockey	2005	Sports / Shuffleboard/Sports	Devworks Game Technology	1-2
Akira (USA) (Proto)	Akira	1995	Action / Adventure/Action	Black Pearl Software	1
Al Michaels Announces HardBall III (USA, Europe)	HardBall III	1993	Sports / Baseball/Sports	MindSpan	1-2
Aladdin (World) (En) (Disney Classic Games)	Aladdin	1993	Platform	Virgin	1
Alex Kidd in the Enchanted Castle (USA)	Alex Kidd in the Enchanted Castle	1989	Platform	SEGA	1
Alfred Chicken (USA) (Proto)	Alfred Chicken	1994	Platform	Twilight	1
Alien 3 (USA, Europe)	Alien 3	1992	Platform	Probe Entertainment	1
Alien Soldier (Europe)	Alien Soldier	1995	Shooter / Run and Gun/Shooter	Treasure	1
Alien Storm (World)	Alien Storm	1991	Beat'em Up	SEGA	1-2
Alisia Dragoon (USA)	Alisia Dragoon	1992	Platform	Game Arts	1
American Gladiators (USA)	American Gladiators	1993	Fighting	Imagitec Design	1-2
Anaconda (Brazil) (Mega Drive 4)	Anaconda	2005	Casual Game	Devworks Game Technology	1
Andre Agassi Tennis (USA)	Andre Agassi Tennis	1993	Sports / Tennis/Sports	Tecmagik	1-2
Animaniacs (USA)	Animaniacs	1994	Platform	Konami	1
Aniversario (Brazil) (Mega Drive 4)	Aniversario	2005	Adventure / Point and Click/Adventure	Devworks Game Technology	1
Aquaduto (Brazil) (Mega Drive 4)	Aquaduto	2007	Puzzle	Tectoy	1
Aquatic Games Starring James Pond and the Aquabats, The (USA, Europe)	The Aquatic Games Starring James Pond and the Aquabats	1992	Sports / Multisports/Sports	Millennium Interactive	1-4
Arcade Classics (USA, Europe)	Arcade Classics	1996	Compilation	SEGA	1-2
Arcade Legends Sega Mega Drive (World) (Radica)	ZZZ(notgame):#NONGAME			Kaneda	
Arcade Legends Street Fighter II' - Special Champion Edition (World) (Radica)	Arcade Legends Street Fighter II': Special Champion Edition	2005	Compilation	SEGA	1-2
Arch Rivals - The Arcade Game (USA, Europe)	Arch Rivals : The Arcade Game	1992	Sports / Basketball/Sports	Arc Developments Limited	1-2
Arcus Odyssey (World) (Evercade)	Arcus Odyssey	1991	Adventure	Wolf Team	1-2
Ariel - The Little Mermaid (USA, Europe)	Ariel the Little Mermaid	1992	Platform	SEGA	1
Arnold Palmer Tournament Golf (USA, Europe)	Arnold Palmer Tournament Golf	1989	Sports / Golf/Sports	SEGA	1-2
Arrow Flash (USA)	Arrow Flash	1990	Shoot'em Up / Horizontal/Shoot'em Up	Renovation Products	1
Art Alive (World)	Art Alive!	1991	Educational	FarSight	1
Art of Fighting (USA)	Art of Fighting	1994	Fighting / Versus/Fighting	SNK	1-2
Asa Delta (Brazil) (Mega Drive 4)	Asa Delta	2005	Sports / Skydiving/Sports	Devworks Game Technology	1
Asterix and the Great Rescue (USA)	Astérix and the Great Rescue	1994	Platform	Core Design	1
Asterix and the Power of the Gods (Europe) (En,Fr,De,Es)	Astérix and the Power of the Gods	1995	Platform	Core Design	1
Atomic Robo-Kid (USA)	Atomic Robo-Kid	1990	Shoot'em Up / Horizontal/Shoot'em Up	Microniccs	1
Atomic Runner (USA)	Atomic Runner	1992	Platform	Data East	1
ATP Tour Championship Tennis (USA)	ATP Tour Championship Tennis	1995	Sports / Tennis/Sports	Sims	1-4
Australian Rugby League (Europe)	Australian Rugby League	1995	Sports / Rugby/Sports	Electronic Arts	1-4
Awesome Possum Kicks Dr. Machino's Butt (USA)	Awesome Possum... ...Kicks Dr. Machino's Butt	1993	Platform	Tengen	1
Aworg - Hero in the Sky (Japan) (Sega Game Toshokan)	Aworg	1991	Platform	SEGA	1
Ayrton Senna's Super Monaco GP II (USA) (En,Ja)	Ayrton Senna's Super Monaco GP II	1992	Racing, Driving	SEGA	1
B.O.B. (USA, Europe)	B.O.B.	1993	Platform / Shooter Scrolling/Platform	Gray Matter	1
Baby Boom (USA) (Proto 3)	Baby Boom	2008	Platform	Foley	1
Baby's Day Out (USA) (Proto 2)	Baby's Day Out	1994	Platform	Designer Software	1
Back to the Future Part III (USA)	Back to the Future Part III	1991	Adventure	Probe Software	1
Bahamut Senki (Japan)	Bahamut Senki	1991	Strategy	SEGA	1-4
Ball Jacks (Japan, Europe) (En)	Ball Jacks	1993	Puzzle	SEGA	1-2
Ballz 3D - The Battle of the Ballz (USA, Europe)	Ballz 3D	1994	Fighting	Accolade	1-2
Barbie Super Model (USA)	Barbie : Super Model	1992	Adventure	Tahoe	1-2
Barbie Vacation Adventure (USA) (Proto)	Barbie : Vacation Adventure	1994	Adventure	Software Creations	1-2
Barney's Hide & Seek Game (USA)	Barney's Hide & Seek Game	1993	Platform/Educational	Realtime Associates	1
Bass Masters Classic (USA)	Bass Masters Classic	1995	Fishing/Hunting and Fishing	Black Pearl Software	1
Bass Masters Classic - Pro Edition (USA)	Bass Masters Classic : Pro Edition	1996	Fishing/Hunting and Fishing	Black Pearl Software	1
Batalha Naval (Brazil) (Mega Drive 4)	Batalha Naval	2005	Board game	Devworks Game Technology	1
Batman - Revenge of the Joker (USA)	Batman : Revenge of the Joker	1992	Platform	Ringler	1
Batman - The Video Game (USA)	Batman : The Video Game	1991	Platform	Sunsoft	1
Batman Forever (World)	Batman Forever	1995	Platform	Iguana Entertainment	1-2
Batman Returns (World)	Batman Returns	1992	Platform	Malibu Games	1
Battle Frenzy (USA) (En,Fr,De,Es) (Sega Channel)	Battle Frenzy	1994	Shooter / FPV/Shooter	Domark	1-2
Battle Golfer Yui (Japan)	Battle Golfer Yui	1991	Sports/Sports / Golf	Santos	1-2
Battle Mania Daiginjou (Japan, Korea) (Ja)	Battle Mania Daiginjou	1993	Shoot'em Up/Shoot'em Up / Horizontal	Vic Tokai Corporation	1
Battle Squadron (USA, Europe)	Battle Squadron	1990	Shoot'em Up / Vertical/Shoot'em Up	Electronic Arts	1-2
Battlemaster (USA)	Battlemaster	1991	Platform	Mirrorsoft	1
Battletech - A Game of Armored Combat (USA)	BattleTech : A Game of Armored Combat	1994	Shooter	Extreme Entertainment	1-2
Battletoads (World)	Battletoads	1991	Beat'em Up	Rareware	1-2
Battletoads-Double Dragon (USA)	Battletoads & Double Dragon	1995	Beat'em Up	Rareware	1-2
Beast Wrestler (World) (Evercade)	Beast Wrestler	1991	Fighting	Riot Games	1-2
Beastball (World) (Evercade)	Beastball	1993	Sports	Teque	1
Beauty and the Beast - Belle's Quest (USA)	Beauty and the Beast : Belle's Quest	1993	Platform	Software Creations	1
Beauty and the Beast - Roar of the Beast (USA)	Beauty and the Beast : Roar of the Beast	1993	Platform/Adventure	Sunsoft	1
Beavis and Butt-Head (USA)	Beavis and Butt-Head	1994	Platform	Viacom New Media	1-2
Beethoven's 2nd - The Quest for Pups (USA) (Proto)	ZZZ(notgame):Beethoven's 2nd : The Quest for Pups				
Berenstain Bears' Camping Adventure, The (USA)	The Berenstain Bears' Camping Adventure	1994	Platform	Realtime Associates	1-2
Best of the Best - Championship Karate (USA)	Best of the Best : Championship Karate	1993	Sports / Boxing/Sports	Loriciel	1-2
Beyond Oasis (USA)	Beyond Oasis	1995	Action RPG/Role Playing Game	Ancient	1
Beyond Zero Tolerance (USA) (Proto 2)	Beyond Zero Tolerance	1995	Shooter / FPV/Shooter	Technopop	1
Bil Bolha (Brazil) (Mega Drive 4)	Bill Bolha	2005	Puzzle	Devworks Game Technology	1
Bill Walsh College Football (USA, Europe)	Bill Walsh College Football	1993	Sports / Football (American)/Sports	EA Sports	1-4
Bill Walsh College Football 95 (USA)	Bill Walsh College Football 95	1994	Sports / Football (American)/Sports	High Score Productions	1-4
Bill's Tomato Game (USA) (Proto)	Bill's Tomato Game	1994	Puzzle	Tempest Software	1
Bimini Run (USA)	Bimini Run	1990	Racing, Driving / Boat/Racing, Driving	Microsmiths	1-2
Bio Hazard Battle (USA, Europe)	Bio Hazard Battle	1992	Shoot'em Up / Horizontal/Shoot'em Up	SEGA	1-2
Bishoujo Senshi Sailor Moon (Japan)	Bishoujo Senshi Sailor Moon	1994	Beat'em Up	Arc System Works	1
Blades of Vengeance (USA, Europe)	Blades of Vengeance	1993	Platform/Role Playing Game	Beam Software	1-2
Blaster Master 2 (USA)	Blaster Master 2	1993	Platform	Software Creations	1
Blockbuster World Video Game Championship II (USA)	Blockbuster World Video Game Championship II	1995	Compilation	Various	1-2
Blockout (World)	Blockout	1991	Puzzle	California Dreams	1-2
Body Count (USA) (Sega Channel)	Body Count	1994	Shooter / FPV/Shooter	Probe Software	1-2
Bomber (USA) (Sega Gopher)	Bomber	2005	Action / Labyrinth/Action	Tectoy	1-2
Bonanza Bros. (Japan, Europe) (En,Ja)	Bonanza Brothers	1991	Platform / Shooter Scrolling/Platform	SEGA	1-2
Bonkers (USA, Europe)	Bonkers	1994	Racing, Driving	SEGA	1
Boogerman - A Pick and Flick Adventure (USA)	Boogerman : A Pick and Flick Adventure	1994	Platform	Interplay	1
Bottle Taps Race (Europe) (Sega Reactor)	Bottle Taps Race	2011	Racing, Driving/Racing, Driving	Devworks Game Technology	1
Boxing Legends of the Ring (USA)	Boxing Legends of the Ring	1993	Sports / Boxing/Sports	Sculptured Software	1-2
Bram Stoker's Dracula (USA)	Bram Stoker's Dracula	1993	Platform	Traveller's Tales	1
Breach (USA) (Proto)	ZZZ(notgame):Breach				
BreakThru! (USA) (Proto)	BreakThru!	1996	Puzzle	Artech Digital Entertainments	1-2
Brett Hull Hockey 95 (USA)	Brett Hull Hockey '95	1994	Sports / Hockey/Sports	Radical Entertainment	1-2
Brian Lara Cricket (Europe)	Brian Lara Cricket	1995	Sports	Audiogenic Software	1-4
Brian Lara Cricket 96 (Europe)	Brian Lara Cricket 96	1996	Sports	Audiogenic Software	1-4
Brutal - Paws of Fury (USA)	Brutal : Paws of Fury	1994	Fighting	Imagitec Design	1-2
Bubba 'N' Stix (USA)	Bubba 'N' Stix	1993	Platform	Core Design	1
Bubble and Squeak (USA)	Bubble and Squeak	1994	Platform	Fox Williams	1
Bubsy II (USA, Europe)	Bubsy II	1994	Platform	Accolade	1-2
Bubsy in - Claws Encounters of the Furred Kind (USA, Europe)	Bubsy in : Claws Encounters of the Furred Kind	1993	Platform	Accolade	1-2
Buck Rogers - Countdown to Doomsday (USA, Europe)	Buck Rogers : Countdown to Doomsday	1991	Role Playing Game	Strategic Simulations	1
Budokan - The Martial Spirit (Europe)	Budokan : The Martial Spirit	1990	Fighting	Electronic Arts	1-2
Bugs Bunny in Double Trouble (USA)	Bugs Bunny in Double Trouble	1996	Platform	SEGA	1
Bulls versus Blazers and the NBA Playoffs (USA, Europe)	Bulls Vs Blazers And The Nba Playoffs	1993	Sports / Basketball/Sports	Electronic Arts	1-2
Bulls vs Lakers and the NBA Playoffs (USA, Europe)	Bulls vs Lakers and the NBA Playoffs	1992	Sports / Basketball/Sports	Capcom	1-2
Burning Force (World) (Evercade)	Burning Force	1990	Shoot'em Up	Namco	1
Cadash (USA, Korea) (En)	Cadash	1992	Platform/Role Playing Game	Taito	1-2
Caesars Palace (USA)	Caesars Palace	1993	Casino	Virgin	1
Cal Ripken Jr. Baseball (USA)	Cal Ripken Jr. Baseball	1992	Sports/Sports / Baseball	Mindscape	1-2
Caliber.50 (USA)	Caliber.50	1991	Shooter / Run and Gun/Shooter	SETA	1
California Games (USA, Europe)	California Games	1991	Sports / Multisports/Sports	Epyx	1-9
Canhao (Brazil) (Mega Drive 4)	Canhao	2005	Shooter / Horizontal/Shooter	Devworks Game Technology	1-2
Cannon Fodder (World) (Evercade)	Cannon Fodder	1994	Strategy	Sensible Software	1
Captain America and the Avengers (USA)	Captain America and the Avengers	1992	Beat'em Up	Data East	1-2
Captain Planet and the Planeteers (Europe)	Captain Planet and the Planeteers	1992	Platform	SEGA	1
Castle of Illusion Starring Mickey Mouse (USA, Europe)	Castle of Illusion Starring Mickey Mouse	1990	Platform/Platform / Run & Jump Scrolling	SEGA	1
Castlevania - Bloodlines (USA)	Castlevania : Bloodlines	1994	Platform / Fighter Scrolling/Platform	Konami	1
Cavalos & Peoes (Brazil) (Mega Drive 4)	Cavalos E Peoes	2005	Board game	Devworks Game Technology	1
Centurion - Defender of Rome (USA, Europe)	Centurion : Defender of Rome	1991	Strategy	Bits of Magic	1
Chakan (USA, Europe)	Chakan	1992	Platform	SEGA	1
Champions World Class Soccer (World) (En,Fr,De,Es)	Champions World Class Soccer	1993	Sports/Sports / Football (Soccer)	Park Place Productions	1-2
Championship Bowling (USA)	Championship Bowling	1993	Sports/Sports / Bowling	Soft Machine	1
Championship Pool (USA)	Championship Pool	1993	Sports/Sports / Pool	Bitmasters	1-8
Championship Pro-Am (USA)	Championship Pro-Am	1992	Racing, Driving	Rareware	1-2
Chaos Engine 2, The (Europe) (Proto)	The Chaos Engine 2		Shooter	The Bitmap Brothers	2
Chase H.Q. II (USA)	Chase H.Q. II	1993	Racing, Driving	Taito	1
Cheese Cat-Astrophe Starring Speedy Gonzales (Europe) (En,Fr,De,Es)	Cheese Cat-Astrophe Starring Speedy Gonzales	1995	Platform	SEGA	1
Chessmaster, The (USA) (Sega Channel)	The Chessmaster	1996	Board game	Mindscape	1-2
Chester Cheetah - Too Cool to Fool (USA)	Chester Cheetah : Too Cool to Fool	1993	Platform	Kaneko	1
Chester Cheetah - Wild Wild Quest (USA)	Chester Cheetah : Wild Wild Quest	1994	Platform	Kaneko	1
Chi Chi's Pro Challenge Golf (USA)	Chi Chi's Pro Challenge Golf	1993	Sports / Golf/Sports	Virgin	1-4
Chibi Maruko-chan - Wakuwaku Shopping (Japan)	Chibi Maruko-chan : Wakuwaku Shopping	1992	Strategy	Namco	1-4
Chiki Chiki Boys (USA, Europe)	Chiki Chiki Boys	1993	Platform / Fighter Scrolling/Platform	Capcom	1
Chou Kyuukai Miracle Nine (Japan)	Chou Kyuukai Miracle Nine	1995	Sports / Baseball/Sports	SEGA	1
Chuck Rock (USA)	Chuck Rock	1991	Platform	Virgin	1
Chuck Rock II - Son of Chuck (USA)	Chuck Rock II : Son of Chuck	1993	Platform	Core Design	1
Classic Collection (Europe)	Classic Collection	1994	Compilation	SEGA	1-2
ClayFighter (USA)	Clay Fighter	1994	Fighting	Visual Concepts	1-2
Cliffhanger (USA)	Cliffhanger	1993	Beat'em Up	Malibu Games	1
Clue (USA)	Clue	1992	Strategy	Parker Brothers	1-6
Coach K College Basketball (USA)	Coach K College Basketball	1995	Sports / Basketball/Sports	Electronic Arts	1-4
College Football USA 96 (USA)	College Football USA 96	1995	Sports / Football (American)/Sports	High Score Productions	1-4
College Football USA 97 (USA)	College Football USA 97	1996	Sports/Sports / Football (American)	High Score Productions	1-4
College Football's National Championship (USA)	College Football's National Championship	1994	Sports/Sports / Football (American)	BlueSky Software	1-4
