#name	crc	size	key
007 Shitou - The Duel (Japan) (En)	aeb4b262	524288	James Bond 007 - The Duel (USA)
10 Super Jogos (Brazil) (En)	c19ae368	4194304	10 Super Jogos (Brazil) (En)
16t (Japan) (Game no Kanzume Otokuyou)	98149eaf	262144	16t (Japan) (Sega Game Toshokan)
16t (Japan) (Game no Kanzume Vol. 2) [b]	ccbca73f	186288	16t (Japan) (Sega Game Toshokan)
16t (Japan) (Sega Game Toshokan)	537f04b6	262144	16t (Japan) (Sega Game Toshokan)
2020 Nen Super Baseball (Japan)	2bbee127	2097152	Super Baseball 2020 (USA, Europe)
3 Ninjas Kick Back (USA)	e5a24999	2097152	3 Ninjas Kick Back (USA)
6-Pak (USA)	1a6f45dc	3145728	6-Pak (USA)
688 Attack Sub (USA, Europe)	f2c58bf7	1048576	688 Attack Sub (USA, Europe)
A Ressha de Ikou MD (Japan)	3d45de4f	524288	A Ressha de Ikou MD (Japan)
ATP Tour (Europe)	1a3da8c5	2097152	ATP Tour Championship Tennis (USA)
ATP Tour Championship Tennis (USA)	8c822884	2097152	ATP Tour Championship Tennis (USA)
ATP Tour Championship Tennis (USA) (Beta 1)	b17a8dbc	2097152	ATP Tour Championship Tennis (USA)
ATP Tour Championship Tennis (USA) (Beta 2)	cb927488	2097152	ATP Tour Championship Tennis (USA)
ATP Tour Championship Tennis (USA) (Beta 3)	a15d5051	2097152	ATP Tour Championship Tennis (USA)
ATP Tour Championship Tennis (USA) (Beta 4)	686a9fa1	2097152	ATP Tour Championship Tennis (USA)
ATP Tour Championship Tennis (USA) (Beta 5)	a1fef967	2097152	ATP Tour Championship Tennis (USA)
ATP Tour Championship Tennis (USA) (Beta 6)	e6398864	2097152	ATP Tour Championship Tennis (USA)
ATP Tour Championship Tennis (USA) (Beta 7)	b83f4ca4	2097152	ATP Tour Championship Tennis (USA)
Aa Harimanada (Japan)	065f6021	2097152	Aa Harimanada (Japan)
Aaahh!!! Real Monsters (Europe)	7ad115ff	2097152	Aaahh!!! Real Monsters (USA)
Aaahh!!! Real Monsters (USA)	fdc80bfc	2097152	Aaahh!!! Real Monsters (USA)
Aaahh!!! Real Monsters (USA) (Beta)	f4b44b82	2097152	Aaahh!!! Real Monsters (USA)
Academia do Saber (Brazil) (Mega Drive 4)	a5d5369e	917504	Academia do Saber (Brazil) (Mega Drive 4)
Addams Family Values (Europe) (En,Fr,De)	b906b992	2097152	Addams Family Values (Europe) (En,Fr,De)
Addams Family Values (USA) (Proto)	b360704b	2097152	Addams Family Values (Europe) (En,Fr,De)
Addams Family, The (USA, Europe)	71f58614	1048576	Addams Family, The (USA, Europe)
Addams Family, The (USA, Europe) (Beta)	2803a5ca	1048576	Addams Family, The (USA, Europe)
Advanced Busterhawk Gley Lancer (Japan)	42cf9b5b	1048576	Advanced Busterhawk Gley Lancer (World) (Ratalaika Games)
Advanced Busterhawk Gley Lancer (Japan) (Columbus Circle)	79ce299f	1048576	Advanced Busterhawk Gley Lancer (World) (Ratalaika Games)
Advanced Busterhawk Gley Lancer (World) (En,Ja) (Retro-Bit)	ef39fb40	1048576	Advanced Busterhawk Gley Lancer (World) (Ratalaika Games)
Advanced Busterhawk Gley Lancer (World) (Ratalaika Games)	18fee331	1048576	Advanced Busterhawk Gley Lancer (World) (Ratalaika Games)
Advanced Daisenryaku - Deutsch Dengeki Sakusen (Japan) (Beta)	6ce17e36	1048576	Advanced Daisenryaku - Deutsch Dengeki Sakusen (Japan) (Rev A)
Advanced Daisenryaku - Deutsch Dengeki Sakusen (Japan) (Rev A)	e0d5e18a	1048576	Advanced Daisenryaku - Deutsch Dengeki Sakusen (Japan) (Rev A)
Adventures of Batman & Robin, The (Europe)	355e8c39	2097152	Adventures of Batman & Robin, The (USA)
Adventures of Batman & Robin, The (USA)	0caaa4ac	2097152	Adventures of Batman & Robin, The (USA)
Adventures of Batman & Robin, The (USA) (Beta 1)	f05cf389	2097152	Adventures of Batman & Robin, The (USA)
Adventures of Batman & Robin, The (USA) (Beta 10)	fdac8190	2097152	Adventures of Batman & Robin, The (USA)
Adventures of Batman & Robin, The (USA) (Beta 11)	27a1524b	2097152	Adventures of Batman & Robin, The (USA)
Adventures of Batman & Robin, The (USA) (Beta 12)	589aa203	2097152	Adventures of Batman & Robin, The (USA)
Adventures of Batman & Robin, The (USA) (Beta 2)	d4f3a070	2097152	Adventures of Batman & Robin, The (USA)
Adventures of Batman & Robin, The (USA) (Beta 3)	b5b5a290	2097152	Adventures of Batman & Robin, The (USA)
Adventures of Batman & Robin, The (USA) (Beta 4)	6874142b	2097152	Adventures of Batman & Robin, The (USA)
Adventures of Batman & Robin, The (USA) (Beta 5)	7002da56	2097152	Adventures of Batman & Robin, The (USA)
Adventures of Batman & Robin, The (USA) (Beta 6)	61f02f13	2097152	Adventures of Batman & Robin, The (USA)
Adventures of Batman & Robin, The (USA) (Beta 7)	eb8236b2	2097152	Adventures of Batman & Robin, The (USA)
Adventures of Batman & Robin, The (USA) (Beta 8)	253947f8	2097152	Adventures of Batman & Robin, The (USA)
Adventures of Batman & Robin, The (USA) (Beta 9)	bc79f7ee	2097152	Adventures of Batman & Robin, The (USA)
Adventures of Batman & Robin, The (USA) (Demo) (Sega Channel)	aa0af03c	2097152	Adventures of Batman & Robin, The (USA)
Adventures of Mighty Max, The (Europe)	24f1a3bb	1048576	Adventures of Mighty Max, The (USA)
Adventures of Mighty Max, The (USA)	55f13a00	1048576	Adventures of Mighty Max, The (USA)
Adventures of Rocky and Bullwinkle and Friends, The (USA)	ef02d57b	1048576	Adventures of Rocky and Bullwinkle and Friends, The (USA)
Aero Blasters (Japan) (En)	a00da987	524288	Air Buster (USA)
Aero the Acro-Bat (Europe)	1a3eaf57	1048576	Aero the Acro-Bat (USA)
Aero the Acro-Bat (Europe) (Sample)	dcd14b10	1048576	Aero the Acro-Bat (USA)
Aero the Acro-Bat (USA)	a3a7a8b5	1048576	Aero the Acro-Bat (USA)
Aero the Acro-Bat 2 (Europe)	a451f9a1	2097152	Aero the Acro-Bat 2 (USA)
Aero the Acro-Bat 2 (USA)	39eb74eb	2097152	Aero the Acro-Bat 2 (USA)
Aerobiz (USA)	cfaa9bce	1048576	Aerobiz (USA)
Aerobiz Supersonic (USA)	9377f1b5	1048576	Aerobiz Supersonic (USA)
After Burner II (Japan) (En)	4ff37e66	524288	After Burner II (USA, Europe)
After Burner II (USA, Europe)	ccafe00e	524288	After Burner II (USA, Europe)
Air Buster (USA)	f3d65baa	524288	Air Buster (USA)
Air Diver (Japan) (En)	9e2d5b91	524288	Air Diver (USA)
Air Diver (USA)	2041885e	524288	Air Diver (USA)
Air Hockey (Brazil) (Mega Drive 4)	6557ad66	113698	Air Hockey (Europe) (Sega Reactor)
Air Hockey (Europe) (Sega Reactor)	630c21f1	117648	Air Hockey (Europe) (Sega Reactor)
Air Management - Oozora ni Kakeru (Japan)	b3db0c71	1048576	Aerobiz (USA)
Air Management II - Koukuuou o Mezase (Japan)	4582817b	1048576	Aerobiz Supersonic (USA)
Akira (USA) (Proto)	6d32d468	2097152	Akira (USA) (Proto)
Al Michaels Announces HardBall III (USA, Europe)	a4f2f011	2097152	Al Michaels Announces HardBall III (USA, Europe)
Aladdin (Europe)	d1845e8f	2097152	Aladdin (World) (En) (Disney Classic Games)
Aladdin (Japan)	fb5aacf0	2097152	Aladdin (World) (En) (Disney Classic Games)
Aladdin (USA)	ed427ea9	2097152	Aladdin (World) (En) (Disney Classic Games)
Aladdin (USA) (Beta 1)	78110310	4194304	Aladdin (World) (En) (Disney Classic Games)
Aladdin (USA) (Beta 2)	8c60ef73	2097152	Aladdin (World) (En) (Disney Classic Games)
Aladdin (USA) (Beta 3)	c4491714	2097152	Aladdin (World) (En) (Disney Classic Games)
Aladdin (USA) (Final Cut)	dd66b3fa	2384052	Aladdin (World) (En) (Disney Classic Games)
Aladdin (World) (Beta) (Disney Classic Games)	404930f5	4194304	Aladdin (World) (En) (Disney Classic Games)
Aladdin (World) (En) (Disney Classic Games)	e4a7aa54	2097152	Aladdin (World) (En) (Disney Classic Games)
Aladdin (World) (Ja) (Disney Classic Games)	c4616dcb	2097152	Aladdin (World) (En) (Disney Classic Games)
Alex Kidd - Cheongong Maseong (Korea)	5b0678fb	262144	Alex Kidd in the Enchanted Castle (USA)
Alex Kidd - Tenkuu Majou (Japan)	8a5ed856	262144	Alex Kidd in the Enchanted Castle (USA)
Alex Kidd in the Enchanted Castle (Europe)	778a0f00	262144	Alex Kidd in the Enchanted Castle (USA)
Alex Kidd in the Enchanted Castle (USA)	47dba0ac	262144	Alex Kidd in the Enchanted Castle (USA)
Alex Kidd in the Enchanted Castle (USA) (Sega Channel)	602fb6cc	262144	Alex Kidd in the Enchanted Castle (USA)
Alfred Chicken (USA) (Proto)	4c65c035	1048576	Alfred Chicken (USA) (Proto)
Alien 3 (USA, Europe)	a3b00d6e	524288	Alien 3 (USA, Europe)
Alien 3 (USA, Europe) (Rev A)	b327fd1b	524288	Alien 3 (USA, Europe)
Alien Soldier (Europe)	0496e06c	2097152	Alien Soldier (Europe)
Alien Soldier (Japan)	90fa1539	2097152	Alien Soldier (Europe)
Alien Soldier (USA) (Virtual Console)	9b1a1d7f	2097152	Alien Soldier (Europe)
Alien Soldier (USA, Europe) (Switch Online)	560cf8bb	2097152	Alien Soldier (Europe)
Alien Storm (World)	f5ac8de5	524288	Alien Storm (World)
Alien Storm (World) (SEGA Classic Collection)	5ab9c9f8	524288	Alien Storm (World)
Alisia Dragoon (Europe)	28165bd1	1048576	Alisia Dragoon (USA)
Alisia Dragoon (Japan)	4d476722	1048576	Alisia Dragoon (USA)
Alisia Dragoon (Japan) (Mega Drive Mini, Genesis Mini)	3a6bf605	1048576	Alisia Dragoon (USA)
Alisia Dragoon (USA)	d28d5c40	1048576	Alisia Dragoon (USA)
Alisia Dragoon (USA) (Mega Drive Mini, Genesis Mini)	4bfdfe9c	1048576	Alisia Dragoon (USA)
Altered Beast (Japan, USA) (En) (Rev 1)	b2233e87	524288	Juuouki (Japan) (En)
Altered Beast (USA, Europe) (Rev 2)	154d59bb	524288	Juuouki (Japan) (En)
