#key	synopsis
10 Super Jogos (Brazil) (En)	Dies ist eine Zusammenstellung, die die folgenden 10 Megadrive-Spiele enthält: 1. California Games 2. Columns 3. Flicky 4. Golden Axe 5. Revenge of Shinobi 6. Sega Soccer 7. Super Hang-On 8. Sonic the Hedgehog 9. Streets of Rage 10. Super Monaco GP
16t (Japan) (Sega Game Toshokan)	16t ist ein scrollendes Plattform-Actionspiel ähnlich wie Teddy Boy, in dem der Spieler einen Jugendlichen in Gefängniskleidung namens Apple Gaikichi steuert, der alle Feinde auf jeder Stufe eliminieren muss. Apples einzige Angriffsmethode ist das Werfen von riesigen 16-Tonnen-Gewichten (daher der Titel), die Feinde in einem blutigen Durcheinander zerquetschen können und werden. Allerdings prallen diese Gewichte aneinander ab, so dass der Spieler darauf achten muss, dass Apple nicht selbst zerquetscht wird. Außerdem sind die Gewichte nicht unbegrenzt, da der Spieler nur fünf auf einmal halten kann, und sie müssen sich wieder aufladen, wenn Apple leer ist. Feinde auf jeder Stufe erscheinen in Wellen vom oberen Rand des Bildschirms, durch eine zufällige Radfahren &quot;Slots&quot; Meter, und sobald alle Slots und Feinde gelöscht worden sind, bewegt sich der Spieler auf die nächste Stufe.
3 Ninjas Kick Back (USA)	Sie müssen einem alten Samurai helfen, einen Dolch zurückzuholen, den er einst als Preis für seine Leistungen in der Kampfkunst erhalten hat. Der Dolch wurde von jemandem gestohlen, der den alten Krieger beneidete - jetzt kann er diese Auszeichnung nicht an Krieger der nächsten Generation weitergeben. Wählen Sie einen von drei jungen Ninjas, um dem alten Mann zu helfen! Dies ist ein traditionelles Plattformspiel, das auf dem Film &quot;3 Ninjas Strike Back&quot; basiert. Jeder der drei Ninjas hat einzigartige Waffen und Fähigkeiten. Alle drei können laufen, ausweichen, krabbeln, klettern, springen und an Bäumen, Seilen usw. hängen. Sie werden vielen Hindernissen und Feinden begegnen, sowohl gewöhnlichen als auch Endgegnern, die Sie überwinden und besiegen müssen.
6-Pak (USA)	6-PAK ist eine Zusammenstellung von sechs der beliebtesten &quot;Franchise&quot;-Spiele von SEGA, die in den frühen Tagen des Genesis veröffentlicht wurden. Enthalten sind die folgenden: 1. Columns 2. Golden Axe 3. Revenge of Shinobi 4. Sonic the Hedgehog 5. Streets of Rage 6. Super Hang-On
688 Attack Sub (USA, Europe)	Begib Dich in 688 Attack Sub auf ein einzigartiges Abenteuer und steuere die 688, ein U-Boot der Los Angeles-Klasse, das sowjetische Alfa-U-Boote verfolgt. Doch die Kampfaction beginnt erst richtig als das Sonar einen versunkenen Kontakt meldet. Schieße mit Torpedos, und pirsche Dich an Deine Feinde an. Wirst Du den Angriff erfolgreich zu Ende führen können? Features: Steuere das 688-U-Boot durch die Meerestiefen Erlebe actionreiche Kämpfe Überliste Deine Feinde und schieß Dich zum Sieg
A Ressha de Ikou MD (Japan)	A Ressha de Ikou MD ist ein Echtzeit-Eisenbahn-Simulationsspiel und Teil der A-Train-Serie von Artdink. Basierend auf den ersten beiden Spielen der Serie muss der Spieler in jedem Szenario die vorhandenen Ressourcen nutzen, um eine Eisenbahnlinie zu bauen, die von einem Ende der Karte zum anderen führt. Tagsüber kann der titelgebende &quot;A-Train&quot; gesteuert werden, mit dem der Spieler Gleise und Bahnhöfe bauen kann. In der Nacht können die Fahrpläne der Züge geändert werden. Während der Spieler baut, entstehen um die Gleise und Bahnhöfe herum Entwicklungen, die Einnahmen bringen, mit denen weitere Gleise und Bahnhöfe gebaut werden können. Das Spiel bietet insgesamt fünf verschiedene Szenarien mit steigendem Schwierigkeitsgrad, die von einem Übungsszenario für Anfänger bis zu sehr schwierigen Szenarien für erfahrene Spieler reichen. Außerdem sind drei verschiedene Spielgeschwindigkeitseinstellungen verfügbar.
Aa Harimanada (Japan)	Aa Harimanada ist ein Sumo-Spiel, das auf dem Manga und Anime von Kei Sadayasu basiert. Wie im richtigen Sport ist es das Ziel, den Gegner aus dem Ring zu drängen. Allerdings ist es keine besonders realistische Interpretation des Sumo, es sieht eher wie ein traditionelles 1-vs-1-Kampfspiel aus. Es gibt Greifer, Würfe und Spezialbewegungen, und der Spieler kann auch durch K.o. gewinnen, indem er dem Gegner Ausdauer entzieht. Es gibt einen Einzelspielermodus, der der Geschichte des Protagonisten Harimanada folgt, sowie einen Versus-Modus für einen oder zwei Spieler, in dem jeder der 15 Charaktere eingesetzt werden kann.
Aaahh!!! Real Monsters (USA)	In diesem Spiel zur gleichnamigen Nickelodeon Serie kontrollierst du die drei Monster Ickis, Krumm und Oblina, um den letzten Test zum Abschluss des mittleren Examens anzugehen. Bei dem Spiel handelt es sich um einen Puzzle Plattformer, bei dem du Spezialfähigkeit der drei Monster einsetzen musst, um dein Ziel zu erreichen.
Academia do Saber (Brazil) (Mega Drive 4)	Academia do Saber ist ein Puzzlespiel. Exklusive Veröffentlichung auf Mega Drive, in der Erinnerung an einige Konsolen von Tectoy produziert. Es wurde nie als Spielkassette produziert.
Addams Family Values (Europe) (En,Fr,De)	Schlüpfe bei diesem Abenteuer, das gewaltige Ausmaße annimmt, in die Rolle von Onkel Fester. - Arbeite mit all deinen Lieblingen aus der Addams Family bei deinem Versuch zusammen, Baby Pubert aus der Gewalt des teuflischen Ex-Kindermädchens Debbie Jelinsky zu befreien. - Setze alle Fester zur Verfügung stehenden Fähigkeiten und Waffen ein, um unzählige Rätsel zu lösen.
