#key	synopsis
10 Super Jogos (Brazil) (En)	This is a compilation containing the following 10 Megadrive games: 1. California Games 2. Columns 3. Flicky 4. Golden Axe 5. Revenge of Shinobi 6. Sega Soccer 7. Super Hang-On 8. Sonic the Hedgehog 9. Streets of Rage 10. Super Monaco GP
16t (Japan) (Sega Game Toshokan)	16t is a scrolling platform action game similar to Teddy Boy, in which the player controls a youngster in prison garb named Apple Gaikichi, who must eliminate all the enemies on each stage. Apple's only method of attack is throwing enormous 16 ton weights (thus the title), which can and will crush enemies in a bloody mess. However, these weights will bounce off each other, so the player must be careful to not let Apple get crushed himself. They are also not entirely unlimited, as the player can only hold five at once, and they must be allowed to recharge when Apple runs out. Enemies on each stage will appear from the top of the screen in waves, through a randomly cycling &quot;slots&quot; meter, and once all slots and enemies have been cleared, the player moves on to the next stage.
3 Ninjas Kick Back (USA)	You must help an old samurai to retrieve a dagger he once got as an award for his achievements in martial arts. The dagger was stolen by somebody who envied the old warrior - now he cannot give this prize to the warriors of the next generation. Choose one of the three young ninjas to help the old man! This is a traditional platform game based on the movie 3 Ninjas Kick Back. Each one of the three ninjas has unique weapons and abilities. All three of them can run, duck, crawl, climb, jump, and hang on trees, ropes, etc. You'll encounter many obstacles and enemies, both regular and boss-like, which you'll have to overcome and defeat.
6-Pak (USA)	6-PAK is a compilation of six of SEGA's most popular &quot;franchise&quot; games released in the early days of the Genesis. Included are the following: 1. Columns 2. Golden Axe 3. Revenge of Shinobi 4. Sonic the Hedgehog 5. Streets of Rage 6. Super Hang-On
688 Attack Sub (USA, Europe)	An early submarine game with ten missions which can be played with both American and Soviet attack submarines. The game focuses on realism with several stations the player can use (sonar, weapons, navigation, helm, radio and periscope) but most duties can be delegated to crew members. The graphics are mostly close-up views of the control panels but in some occasions they feature digitized images of surface ships and crew.
A Ressha de Ikou MD (Japan)	A Ressha de Ikou MD is a real-time railroad simulation game, and part of the A-Train series from Artdink. Based on the first two games in the series, in each scenario the player must use the resources at hand to build a railroad connecting from one end of a map to the other. During the day, the titular &quot;A-Train&quot; can be controlled, by which the player can build tracks and stations. During the night, train schedules can be modified. As the player builds, development will spring up around the tracks and stations, bringing in income by which more tracks and stations can be built. The game offers a total of five different scenarios of increasing difficulty, ranging from a practice scenario for beginners to very difficult scenarios for experienced players. There are also three different game speed settings available.
Aa Harimanada (Japan)	Aa Harimanada is a sumo wrestling game based on the manga and anime created by Kei Sadayasu. As in the real sport, the goal is to knock the opponent out of the ring. However, it is not a particularly realistic interpretation of sumo, playing much like a traditional 1-vs-1 fighting game. There are grabs, throws, and special moves, and the player can also win by knockout by draining the opponent's stamina. There is a single-player mode that follows the story of protagonist Harimanada, as well as a versus mode for one or two players where any of 15 characters can be used.
Aaahh!!! Real Monsters (USA)	In this game, based on popular Nickelodeon comics, you control three monsters: Ickis, Oblina, and Krumm. The Gromble, a headmaster in monster school, needs you to perform the final test - monster Midterm Exam - in order to prove yourselves to be real monsters. You should collect trash, throw it on people, and scare them! This is a platform game, where you control three characters. Each one of them has a special move that is often used to solve puzzles and overcome obstacles: Ickis can fly for a short time, Oblina can reach high ledges, and Krumm can scan off-screen areas. They can also collect monster books, that will teach them to scare people. Help the three monsters to graduate!
Academia do Saber (Brazil) (Mega Drive 4)	Academia do Saber is a puzzle game. Exclusive release on Mega Drive, in the memory of some consoles produced by Tectoy. It has never been produced as a game cartridge.
Addams Family Values (Europe) (En,Fr,De)	The evil Debbie Jelinksi is harming the Addams family once again... She has kidnapped Baby Pubert, and Uncle Fester is the one who must find him and to bring him back to his loving family. The game is based on the live-action movie of the same name. Addams Family Values is an action adventure game with slight RPG elements (you gain more hit points while proceeding in the game, can upgrade your equipment and special attacks). You control Fester, by moving him around, fighting regular enemies and bosses, talking to members of Addams household, and occasionally solving puzzles. The combat is pure action, Zelda-style.
Addams Family, The (USA, Europe)	The Addams Family is a platform game based on the characters and settings from the movie (which, in turn, is based on the famous 1960's television series, which in turn is based on Charles Addams cartoon of the same name, which was featured in the magazine, The New Yorker, in the 30's). The game takes place towards the end of the movie: the Addams Family has been evicted from their home by a court order issued by a backstabbing attorney (there's one for the books), Tully Alford. Even worse, the other Addamses: Morticia, Pugsley, Wednesday, Granny and Lurch have gone missing. As Gomez, you must tour the Addams mansion in search of your lost family, battling out mysterious monsters and evading traps, and eventually face your nemesis, Tully.
Advanced Busterhawk Gley Lancer (World) (Ratalaika Games)	A side-scrolling sci-fi shooter, Gleylancer casts you as Lucia, a young pilot in the Space Fleet of starfighters that hijacks the experimental Gleylancer fighter to go explore the outer borders of known space in search of her missing father. Along the way Lucia will have to shoot down dozens of enemies in standard shooter fashion, while avoiding destruction and collecting power-ups that extend her ship's energy, upgrade weapons and gather screen-clearing bombs. The Gleylancer comes equipped with two hovering satellites that can receive weapon upgrades of their own, and can lock their positions at specific angles to increase your firepower and protect the player from enemy attacks. Features only a single-player campaign with two different endings depending on how the final stages are completed (e.g. if Lucia's father is rescued or not).
Advanced Daisenryaku - Deutsch Dengeki Sakusen (Japan) (Rev A)	Advanced Daisenryaku: Deutsch Dengeki Sakusen commonly referred to simply as Advanced Daisenryaku, is a 1991 strategy game developed jointly by Sega and SystemSoft and published by Sega for the Sega Mega Drive exclusively in Japan. It is part of SystemSoft's Daisenryaku series of strategy games, and is one of the few retail Mega Drive games to have online play compatibility via Sega Meganet. It also started the Advanced Daisenryaku line, all of which have been published by Sega. Sega and now-renamed SystemSoft Alpha rereleased the game in 2006 as part of Sega Ages 2500. In 2002-2006, Nebelwurfer fan-translated the game to English as Advanced Military Commander along with a translated manual.
Adventures of Batman & Robin, The (USA)	Based on the award-winning TV series, The Adventures of Batman and Robin pits the player against the diabolical Mr. Freeze who wants to free Gotham with a huge ice cannon and his hired help of other Gotham super villains: The Joker, Mad Hatter, and Two-Face. The player can take the role of either Batman or Robin but this choice doesn't make a difference regarding gameplay. This is a side-scrolling action game. The player basically walks from left to right while fighting numerous foes in hand-to-hand combat. Weapons which are found during the levels are used to shoot enemies from a greater distance. These weapons can also be upgraded by picking up the corresponding symbols. There are overall four areas (one for each villain) with three levels each, including a film studio or the Gotham University. While most stages are typical fighting levels with occasional 3D effects there are also a few flying ones where the player uses the Batwing or a jet pack.
Adventures of Mighty Max, The (USA)	The Adventures of Mighty Max is based on the TV cartoon Mighty Max which in turn is based on a series of toys. Max is a kid who possesses a magic cap that allows you to travel across different world and to save people who get in trouble in other dimensions. But his archenemy, the demonic Skull Master, has recently locked all the portals Max was using for inter-dimensional travel. However, the Skull Master has kept some of the portals for himself, keeping there some of his destructive weapons. It's time to destroy those weapons and to stop Skull Master! This is a platform game in which you control Max himself or one of his two side-kicks (that doesn't influence the gameplay). You travel through several different worlds. Your goal is to find Skull Master's weapons, which are scattered around the level, and to destroy them. The levels are timed, and there are also plenty of enemies who will disturb you on your way to the goal.
Adventures of Rocky and Bullwinkle and Friends, The (USA)	The Adventures of Rocky and Bullwinkle is the video game adaptation of the 60's cartoon series staring Bullwinkle, a moose, and Rocky, a flying squirrel. The game plays out much like an episode of the show. The story begins at the dedication of the Frostbite Falls Rocky and Bullwinkle museum. Unfortunately, the not-so-nice Boris and Natasha have disguised themselves as security guards for the museum and managed to steal some of the priceless artifacts. Bullwinkle and Rocky must track down the stolen artifacts and return order to Frostbite Falls. Most of the action is of the side-scrolling platformer variety, but along the way, you will get to play lots of mini-games involving characters from the show. During the platforming sections you can switch instantly between the two protagonists. Both play differently: Bullwinkle can throw bombs at enemies and Rocky can fly for short instances.
Aero the Acro-Bat (USA)	You play as bat Aero, who have to stop the mad scientist Edgar Ektor, who is trying to rid the world of amusement and fun. So you jump through the circus-style levels, using different kinds of machines such as catapults, cannons, bubble machines, platforms, etc., collecting various power-ups such as cheese, soda, keys, clocks, etc. and avoiding lethal obstacles.
Aero the Acro-Bat 2 (USA)	In the sequel to Aero the Acro-Bat you have to defeat evil industrialist Edgar Ektor once again. He is back and again with bad ideas, so you - in the role of Aero - have to find and destroy him before he carries out his diabolical &quot;Plan B&quot;. Like in the last installment, you have to jump, escape lethal obstacles and progress in time. This game features more moves for Aero, more mechanisms to use and more items to collect.
Aerobiz (USA)	You are the CEO of an airline company. Your goal is to become the most successful airline in the world by connecting all 22 cities with air routes, maintain a profit, and meet the required quota of passengers. If you cannot turn a profit for a year or meet the victory conditions in 32 years you lose. Some strategic decisions you must make include negotiating for open air routes, purchasing or selling aircraft, invest in branch offices and hotels, advertise your airline and set budgets. You must also pay attention to statistics like quarterly and annual sales reports, as well as city data. World events also affect your airline, from natural disasters to war and even the Olympic games, all of which will affect how many passengers you get. All the planes in the game are based on real-life aircraft, such as the Boeing 747 and the Concorde.
Aerobiz Supersonic (USA)	It's the beginning of the 21st century and competition in the airline industry is heating up. As a young, ambitious CEO, it's up to you to make sure your airline is a survivor and not just another casualty. To succeed, you will have to make some tough decisions including where to fly, which planes to purchase and how to attract visitors to the cities you service. Your goal: to differentiate your airline from the rest while still turning a profit. Get ready to make some tough decisions! If you make the right ones, your planes will dominate the skies of the 21st century!
After Burner II (USA, Europe)	Similar to its predecessor, the premise of After Burner II is to get on the F-14 Tomcat and fly mission after mission of shooting planes out of the sky. At your disposal is a vulcan cannon (basically a machine gun) and a limited number of missiles. In some versions of the game the guns fire automatically all the time. Sometimes you come across a friendly supply plane and if you dock with it you can replenish your missiles. The game is viewed from behind the plane with you fighting wave after wave of enemy fighters. But at heart it offers the usual shooter mechanics, meaning you spend most of your time dodging and shooting. You also can speed up and slow down to deal with enemies which appear behind you.
Air Buster (USA)	Air Buster is a fast side-scrolling shooter. The player controls a small craft through different levels with many enemies. Every level ends with a boss and some section speed up the gameplay, offering fast obstacle courses both horizontally and vertically scrolling. Flying orange pods release many power-ups at once, enhancing the ships with new or more powerful lasers, wing men and shields. The player can also hold the fire key to charge a blast that removes all enemy bullets from the screen and deals damage to all enemies. With an unforgiving difficulty, every hit is fatal, but the game can be continued from any points as long as there are lives and credits left. The game can be played with two players cooperatively.
Air Diver (USA)	A terrorist organization led by a fanatic in the Middle East has brought together a military force able to hold the world hostage, backed by hostile governments. The player boards an F-119 stealth fighter and must stay undetected while taking out all opposition. Although technically a stealth fighter, no stealth elements are involved. After choosing a one of the many locations, the player flies from a realistic cockpit view, with enemies trying to destroy your aircraft. In solo missions the player takes out all opposition using bullets and lock-on missiles. All stats, including time before you are out of fuel and enemies on the radar, are shown in the HUD. The craft can move left and right, and use a boost to do sideways rolls or loops to get behind enemies. Some shots can be taken, causing body damage, but incoming missiles are fatal and must be shot down or avoided. Alongside regular enemies, there are boss planes too and missions take place worldwide at different times of day.
Air Hockey (Europe) (Sega Reactor)	Air Hockey is a game of skill in which you have to use a mallet to hit a puck which must enter your opponent's goal. In this title you can face an artificial intelligence or another player.
