#key	synopsis
10 Super Jogos (Brazil) (En)	&quot;10 Super Jogos&quot; est une compilation de 10 jeux pour le marché sud américain. Les jeux inclu dans cette compilation sont : 1. California Games 2. Columns 3. Flicky 4. Golden Axe 5. Revenge of Shinobi 6. Sega Soccer 7. Super Hang-On 8. Sonic the Hedgehog 9. Streets of Rage 10. Super Monaco GP
16t (Japan) (Sega Game Toshokan)	16 tonnes est un jeu d'action sortie sur Sega Mega Drive en 1991 développer par le service Toshokan de Sega Game. Dans 16 tonnes, vous incarnez un programmeur informatique qui entre dans son ordinateur pour déboguer un programme en écrasant les bogues avec des poids de 16 tonnes. Les niveaux sont une série de plates-formes aussi bien horizontalement que verticalement.
3 Ninjas Kick Back (USA)	3 Ninjas Kick Back sur Sega Megadrive est un jeu de plates-formes tiré du film d'action éponyme. Le joueur incarne l'un des trois jeunes ninjas et doit aider un samouraï à retrouver une dague, volée par son plus grand rival. Chacun des 3 personnages possède ses propres caractéristiques et correspond à un style de jeu particulier.
6-Pak (USA)	6-PAK est une compilation de six des jeux les plus populaires sortis au début de la Sega Genesis.(megadrive) Celle-ci regroupe les titres Columns, Golden Axe, The Revenge of Shinobi, Sonic the Hedgehog, Streets of Rage et Super Hang-On.
688 Attack Sub (USA, Europe)	Devenez le capitaine d'un sous-marin à travers 10 missions dans un monde en conflit. En plus de grimper et d'abaisser le périscope, vous devrez contrôler tous les éléments de navigation pour contrôler la trajectoire, la distance par rapport aux fonds marins, le sonar pour détecter la présence ennemie et d'autres facteurs qui devront être maîtrisés pour atteindre les objectifs.
A Ressha de Ikou MD (Japan)	A Ressha de Ikou, parfois appelé &quot;Take the A-Train&quot; est une série de jeux vidéo de gestion et de simulation d'entreprise ferroviaire développé par le studio japonais Artdink. Apparu en 1985 au Japon, la série comprend huit épisodes principaux mais seuls les 3e, 4e, 5e et 8e épisodes ont été édités en occident.
Aa Harimanada (Japan)	Aa Harimanada est un jeu de sumo basé sur le manga et l'anime créé par Kei Sadayasu. Comme dans le vrai sport, le but est de faire sortir l'adversaire du ring. Cependant, ce n'est pas une interprétation particulièrement réaliste du sumo, se jouant un peu comme un jeu de combat traditionnel 1 contre 1. Il y a des saisies, des lancers et des mouvements spéciaux, et le joueur peut également gagner par KO. Il existe un mode solo qui suit l'histoire du protagoniste Harimanada, ainsi qu'un mode versus pour un ou deux joueurs où l'un des 15 personnages peut être utilisé.
Aaahh!!! Real Monsters (USA)	Aaahh!!! Real Monsters vous permet d'évoluer dans le monde de la bande dessinée de Nickelodeon du même nom. Ickis, Oblina et Krumm doivent passer leurs examens afin de devenir de vrais monstres. Chacun dispose de sa propre technique spéciale et il est possible de contrôler le monstre de son choix à tout moment. Il faut user d'astuce pour résoudre les puzzles et effrayer un maximum d'ennemis !
Academia do Saber (Brazil) (Mega Drive 4)	Academia do Saber est un jeu de puzzle. Sortie en exclusivité sur Mega Drive, dans la mémoire de certaines consoles produites par Tectoy. Il n'a jamais été produit en cartouche de jeux.
Addams Family Values (Europe) (En,Fr,De)	Un nouveau membre est arrivé au domicile des Addams: Pubert, le troisième enfant de la famille. Après une longue quête pour trouver une nounou, la candidate idéale, une femme mystérieuse nommée Debbie Jelinsky, semble finalement être apparue. La vérité, c'est que Debbie est un tueur en série connu sous le nom de The Black Widow. Il a l'intention d'épouser Fester, puis de l'éliminer et de saisir la fortune d'Addams, mais après de nombreuses tentatives infructueuses, il décide d'être plus direct et d'enlever Pubert. Immédiatement, toute la famille se met en branle pour trouver le bébé, mais ce sera Fester qui mettra le plus d'efforts dans la tâche. Il devra parcourir les vastes terrains du manoir, rassembler des indices et se frayer un chemin pour finalement mettre fin aux plans fous de Debbie.
