#key	synopsis
10 Super Jogos (Brazil) (En)	Questa è una compilation contenente i seguenti 10 giochi Megadrive: 1. California Games 2. Columns 3. Flicky 4. Golden Axe 5. Revenge of Shinobi 6. Sega Soccer 7. Super Hang-On 8. Sonic the Hedgehog 9. Streets of Rage 10. Super Monaco GP
16t (Japan) (Sega Game Toshokan)	6t è un gioco d'azione a piattaforme a scorrimento simile a Teddy Boy, in cui il giocatore controlla un giovane in abiti da prigione di nome Apple Gaikichi, che deve eliminare tutti i nemici in ogni livello. L'unico metodo di attacco di Apple è lanciare enormi pesi da 16 tonnellate (da cui il titolo), che possono e schiacceranno i nemici in un pasticcio sanguinoso. Tuttavia, questi pesi rimbalzeranno l'uno sull'altro, quindi il giocatore deve stare attento a non lasciare che Apple si schiacci. Inoltre, non sono del tutto illimitati, poiché il giocatore può tenerne solo cinque in una volta e devono essere autorizzati a ricaricarsi quando Apple si esaurisce. I nemici su ogni livello appariranno dalla parte superiore dello schermo a ondate, attraverso un misuratore di &quot;slot&quot; che scorre in modo casuale, e una volta che tutti gli slot ei nemici sono stati eliminati, il giocatore passa al livello successivo.
3 Ninjas Kick Back (USA)	Hai visto per la prima volta Rocky, Colt e Tum Tum sul grande schermo quando le loro abilità nelle arti marziali e le loro imprese estreme hanno salvato l'onore di nonno Mori e hanno sconfitto un malvagio trafficante di armi. Ora tocca a te! In questa avventura ricca di azione, diventerai uno dei 3 ninja. Ed è qui che inizia il divertimento. Animali selvaggi e ninja sempre più selvaggi attaccano! Un trio di rocker heavy metal distanziati uniscono le forze con il malvagio Koga in uno sforzo totale per farti sporcare. Ma se salvi il nonno Mori e il suo pugnale cerimoniale, avrai l'ultima risata... e sbloccherai una stanza segreta piena di più oro di Fort Knox!
6-Pak (USA)	6-PAK è una raccolta di sei dei giochi più popolari del franchise SEGA rilasciati nei primi giorni di del Genesis. Sono inclusi i seguenti: 1. Columnsnn2. Golden Axenn3. Revenge of Shinobinn4. Sonic the Hedgehognn5. Streets of Ragenn6. Super Hang-On
688 Attack Sub (USA, Europe)	Un gioco di sottomarini con dieci missioni che possono essere giocate con sottomarini d'attacco americani e sovietici. Il gioco si concentra sul realismo con diversi strumenti che il giocatore può utilizzare (sonar, armi, navigazione, timone, radio e periscopio) ma la maggior parte dei compiti può essere delegata ai membri dell'equipaggio. La grafica è per lo più vista ravvicinata dei pannelli di controllo, ma in alcune occasioni presenta immagini digitalizzate di navi di superficie e dell'equipaggio.
A Ressha de Ikou MD (Japan)	A Ressha de Ikou MD è un gioco di simulazione ferroviaria in tempo reale e fa parte della serie A-Train di Artdink. Basato sui primi due giochi della serie, in ogni scenario il giocatore deve utilizzare le risorse a disposizione per costruire una ferrovia che collega da un'estremità all'altra di una mappa. Durante il giorno, il titolare &quot;A-Train&quot; può essere controllato, con il quale il giocatore può costruire binari e stazioni. Durante la notte, gli orari dei treni possono essere modificati. Man mano che il giocatore costruisce, lo sviluppo nascerà attorno ai binari e alle stazioni, portando entrate con cui è possibile costruire più binari e stazioni. Il gioco offre un totale di cinque diversi scenari di difficoltà crescente, che vanno da uno scenario di pratica per principianti a scenari molto difficili per giocatori esperti. Sono disponibili anche tre diverse impostazioni di velocità di gioco.
Aa Harimanada (Japan)	Aa Harimanada è un gioco di wrestling di sumo basato sul manga e sull'anime creato da Kei Sadayasu. Come nel vero sport, l'obiettivo è battere l'avversario fuori dal ring. Tuttavia, non è un'interpretazione particolarmente realistica del sumo, poiché gioca in modo molto simile a un tradizionale gioco di combattimento 1 contro 1. Ci sono prese, lanci e mosse speciali, e il giocatore può anche vincere per knockout prosciugando la resistenza dell'avversario. C'è una modalità single-player che segue la storia del protagonista Harimanada, così come una modalità versus per uno o due giocatori in cui è possibile utilizzare uno qualsiasi dei 15 personaggi.
Aaahh!!! Real Monsters (USA)	Aaahh !!! Real Monsters on Megadrive è un gioco di piattaforma che ti consente di evolvere nel mondo dei fumetti di Nickelodeon con lo stesso nome. Ickis, Oblina e Krumm devono superare gli esami per diventare dei veri mostri. Ognuno ha la sua tecnica speciale ed è possibile controllare il mostro di tua scelta in qualsiasi momento. Devi usare l'astuzia per risolvere i puzzle e spaventare il maggior numero possibile di nemici!
Academia do Saber (Brazil) (Mega Drive 4)	Academia do Saber è un gioco di puzzle. Uscita esclusiva su Mega Drive, nella memoria di alcune console prodotte da Tectoy. Non è mai stato prodotto come cartuccia di gioco.
Addams Family Values (Europe) (En,Fr,De)	La malvagia Debbie Jelinksi sta danneggiando ancora una volta la famiglia Addams... Ha rapito Baby Pubert e zio Fester è colui che deve trovarlo e riportarlo alla sua amorevole famiglia. Il gioco è basato sull'omonimo film live-action. Addams Family Values è un gioco di avventura d'azione con lievi elementi RPG (guadagni più punti ferita mentre procedi nel gioco, puoi aggiornare il tuo equipaggiamento e attacchi speciali). Controlli Fester, spostandolo, combattendo nemici e boss regolari, parlando con i membri della famiglia Addams e occasionalmente risolvendo enigmi. Il combattimento è pura azione, in stile Zelda.
Addams Family, The (USA, Europe)	Morticia è stata rapita! Lo Zio Fester ha perduto la memoria ed è vittima di un incantesimo di Abigail Craven. nnSolamente Gomez può riuscire a salvare la situazione sconfiggendo il malvagio Il Giudice! nnHai il coraggio di affrontare questo viaggio in un'atmosfera da far venire i brividi!? nn
Advanced Busterhawk Gley Lancer (World) (Ratalaika Games)	Gleylancer, uno sparatutto fantascientifico a scorrimento laterale, ti interpreta nei panni di Lucia, una giovane pilota della flotta spaziale di caccia stellari che dirotta il combattente sperimentale Gleylancer per esplorare i confini esterni dello spazio conosciuto alla ricerca del padre scomparso. Lungo la strada, Lucia dovrà abbattere dozzine di nemici in modalità sparatutto standard, evitando la distruzione e raccogliendo potenziamenti che estendono l'energia della sua nave, potenziano le armi e raccolgono bombe per ripulire lo schermo. Il Gleylancer è dotato di due satelliti sospesi che possono ricevere aggiornamenti delle armi da soli e possono bloccare le loro posizioni ad angoli specifici per aumentare la tua potenza di fuoco e proteggere il giocatore dagli attacchi nemici. Presenta solo una campagna per giocatore singolo con due finali diversi a seconda di come vengono completate le fasi finali (ad esempio se il padre di Lucia viene salvato o meno).
Advanced Daisenryaku - Deutsch Dengeki Sakusen (Japan) (Rev A)	Advanced Daisenryaku: Deutsch Dengeki Sakusen comunemente indicato semplicemente come Advanced Daisenryaku, è un gioco di strategia del 1991 sviluppato congiuntamente da Sega e SystemSoft e pubblicato da Sega per Sega Mega Drive esclusivamente in Giappone. Fa parte della serie di giochi di strategia Daisenryaku di SystemSoft ed è uno dei pochi giochi Mega Drive al dettaglio ad avere compatibilità con il gioco online tramite Sega Meganet. Ha anche avviato la linea Advanced Daisenryaku, tutte pubblicate da Sega. Sega e ora ribattezzato SystemSoft Alpha hanno rilasciato nuovamente il gioco nel 2006 come parte di Sega Ages 2500. Nel 2002-2006, Nebelwurfer ha tradotto il gioco in inglese come comandante militare avanzato insieme a un manuale tradotto.
Adventures of Batman & Robin, The (USA)	In questa avventura, basata sulla pluripremiata serie TV, l'arcinemico di Batman, il signor Cold, intende trasformare Gotham in un grande ghiacciaio. A peggiorare le cose, si é accordato con Joker, Two-Face e altri malfattori per eliminare i nostri eroi una volta per tutte.
