#key	synopsis
10 Super Jogos (Brazil) (En)	10 Super Jogos é uma compilação de 10 jogos icônicos do Mega Drive, lançada pela primeira vez no Brasil em 2002 e, em seguida, lançada na Ásia sob o nome &quot;Mega Games 10&quot; : 1. California Games 2. Columns 3. Flicky 4. Golden Axe 5. Revenge of Shinobi 6. Sega Soccer 7. Super Hang-On 8. Sonic the Hedgehog 9. Streets of Rage 10. Super Monaco GP
16t (Japan) (Sega Game Toshokan)	16t é um jogo de ação de plataforma semelhante ao Teddy Boy lançado exclusivamente no serviço Sega Game Toshokan (e nas várias compilações que embalam esses jogos), no qual o jogador controla um jovem programador vestido de prisioneiro chamado Apple Gaikichi, que deve eliminar todos os inimigos em cada fase e assim limpar os bugs de seu programa. O único método de ataque de Apple é lançar enormes pesos de 16 toneladas (por isso o título), que pode e irá esmagar os inimigos em uma confusão sangrenta. No entanto, esses pesos vão quicar uns aos outros, então o jogador deve ter cuidado para não deixar Apple ser esmagado. Eles também não são inteiramente ilimitados, assim que o jogador só pode segurar cinco de uma vez, e eles devem recarregados quando Apple ficar sem. Os inimigos em cada fase aparecerão do topo da tela em ondas, através de um aleatório medidor de &quot;slots&quot; e uma vez que todos os slots e inimigos forem limpos, o jogador passa para a próxima fase.
3 Ninjas Kick Back (USA)	Você deve ajudar um velho samurai a recuperar um punhal que ele uma vez recebeu como prêmio por suas realizações em artes marciais. O punhal foi roubado por alguém que invejava o velho guerreiro - agora ele não pode dar esse prêmio aos guerreiros da próxima geração. Escolha um dos três jovens ninjas para ajudar o velho! Este é um jogo de plataforma tradicional baseado no filme &quot;3 Ninjas Contra-Atacam&quot;. Cada um dos três ninjas tem armas e habilidades únicas. Todos os três podem correr, desviar, rastejar, subir, pular, e pendurar em árvores, cordas, etc. Você encontrará muitos obstáculos e inimigos, tanto comuns como os chefões que você terá que superar e vencer.
6-Pak (USA)	Um é pouco! Dois é bom! 6 é demais! Sonic the Headgehog: O jogo que deu origem à série com o ouriço mais famoso dos video games. Experimente desafiar as leis da gravidade com saltos, rodopios e loopings incríveis. Golden Axe: Um Bárbaro, uma Amazona e um Anão contando com armas e magias especiais, e dispostos a trocar suas vidas pela liberdade de seu reino. Columns: O clássico e divertido jogo de quebra-cabeças que vai desafiar a sua mente. Além de, é claro, sua habilidade. Super Hang-On: Pise fundo neste emocionante campeonato de motociclismo e prepare-se para raspar os joelhos no asfalto rodando sobre duas rodas a mais de 200 km/h. Streets of Rage: O maior combate das ruas. Três jovens lutadores colocam suas vidas em risco para fazer com que a cidade em que eles moram volte a ser um lugar decente para se viver. Revenge of Shinobi: A Organização de Neo Zeed está planejando dominar o mundo. Como advertência a você, eles mataram seu Sensei e sequestraram sua bela Naoko. Utilize seus ensinamentos e habilidades ninjas para aniquilar seus inimigos.
688 Attack Sub (USA, Europe)	Um primitivo jogo de submarino com dez missões que podem ser jogadas com os submarinos de ataque americanos e soviéticos. O jogo se concentra no realismo com várias estações que o jogador pode usar (sonar, armas, navegação, leme, rádio e periscópio), mas a maioria das tarefas pode ser delegada aos membros da tripulação. Os gráficos são na maioria das vezes visões de perto dos painéis de controle, mas em algumas ocasiões eles apresentam imagens digitalizadas de navios na superfície e tripulação.
A Ressha de Ikou MD (Japan)	A Ressha de Ikou MD é um jogo de simulação de estrada de ferro em tempo real, e parte da série de jogos &quot;A-Train&quot; da Artdink. Com base nos dois primeiros jogos da série, em cada cenário o jogador deve usar os recursos à mão para construir uma ferrovia conectando de uma extremidade de um mapa para o outro. Durante o dia, o titular &quot;A-Train&quot; pode ser controlado, através do qual o jogador pode construir pistas e estações. Durante a noite, os horários dos trens podem ser modificados. Assim que o jogador constrói, o desenvolvimento surge em torno das pistas e estações, trazendo renda pelo qual mais pistas e estações podem ser construídas. O jogo oferece um total de cinco cenários diferentes de dificuldade crescente, variando de um cenário de prática para iniciantes a cenários muito difíceis para jogadores experientes. Há também três diferentes configurações de velocidade do jogo disponíveis.
Aa Harimanada (Japan)	Aa Harimanada é um jogo de sumô baseado no mangá e animê criado por Kei Sadayasu. Como no esporte real, o objetivo é empurrar o adversário pra fora do ringue. No entanto, não é uma interpretação particularmente realista de sumô, parecendo muito mais com um tradicional jogo de luta 1-vs-1. Há agarrões, lances, e movimentos especiais, e o jogador também pode ganhar por nocaute drenando resistência do oponente. Existe um modo para um jogador que segue a história do protagonista Harimanada, bem como um modo versus para um ou dois jogadores onde qualquer um dos 15 personagens pode ser usado.
Aaahh!!! Real Monsters (USA)	Neste jogo, baseado no desenho da Nickelodeon &quot;AAAHH!!! Monstros&quot;, você controla três monstros: Ickis, Oblina e Krumm. O Gromble, um diretor na escola de monstros, precisa de você para realizar o teste final - exame de Meio-período dos Monstros - a fim de provarem ser verdadeiros monstros. Você deve coletar lixo, jogá-lo em pessoas, e assustá-las! Este é um jogo de plataforma, onde você controla três personagens. Cada um deles tem um movimento especial que é frequentemente usado para resolver enigmas e superar obstáculos: Ickis pode voar por um curto período de tempo, Oblina pode alcançar saliências elevadas, e Krumm pode varrer áreas fora da tela. Eles também podem coletar livros de monstros, que vão ensiná-los a assustar as pessoas. Ajude os três monstros a se formar!
Academia do Saber (Brazil) (Mega Drive 4)	Jogo de quebra-cabeça. Lançado exclusivamente para Mega Drive, na memória de alguns consoles produzidos pela Tectoy. Jamais foi lançado em mídia física.
Addams Family Values (Europe) (En,Fr,De)	A malvada Debbie Jelinksi está prejudicando a família Addams, mais uma vez ... Ela sequestrou o bebê Pubert, e o tio Chico é o único que deve encontrá-lo e trazê-lo de volta para sua amorosa família. O jogo é baseado no filme &quot;A Família Addams 2&quot;. Addams Family Values é um jogo de ação e aventura com pequenos elementos RPG (você ganha mais pontos de vida enquanto progride no jogo, pode aprimorar seu equipamento e ataques especiais). Você controla Tio Chico, movendo-o ao redor, lutando contra inimigos comunes e chefões, conversando com os membros da família Addams, e ocasionalmente resolvendo enigmas. O combate é pura ação, estilo Zelda.
