#key	name	year	genre	developer	players
3 Ninjas Kick Back (USA)	3 Ninjas Kick Back	1994	Platform	Malibu Interactive	1-2
A-Rank Thunder - Tanjou-hen (Japan)	A-rank Thunder Tanjouhen	1993	Role Playing Game	Nippon Telenet	1
A-X-101 (USA) (RE)	A/X-101	1994	Shoot'em Up	Micronet	1
Adventures of Batman and Robin, The (USA)	The Adventures of Batman & Robin	1995	Racing, Driving	Clockwork Tortoise	1
Adventures of Willy Beamish, The (USA)	The Adventures of Willy Beamish	1993	Adventure / Point and Click/Adventure	Dynamix	1
After Armageddon Gaiden - Majuu Toushouden Eclipse (Japan)	After Armageddon Gaiden : Majuu Toushouden Eclipse	1994	Role Playing Game	Pandora Box	1
After Burner III (USA)	After Burner III	1992	Shooter / Plane, FPV/Shooter	SEGA	1
AH3 - Thunderstrike (USA)	AH-3 Thunderstrike	1993	Shoot'em Up / Vertical/Simulation/Shoot'em Up	Core Design	1
Aisle Lord (Japan)	Aisle Lord	1992	Role Playing Game	Wolf Team	1
Alshark (Japan)	Alshark	1993	Role Playing Game	Polydor	1
Amazing Spider-Man vs. The Kingpin, The (USA)	The Amazing Spider-Man vs. The Kingpin	1993	Platform	SEGA	1
Android Assault - The Revenge of Bari-Arm (USA)	Android Assault : The Revenge of Bari-Arm	1994	Shoot'em Up / Horizontal/Shoot'em Up	Human Entertainment	1
Annett Futatabi (Japan)	Anetto Futatabi	1993	Beat'em Up	Wolf Team	1
Aoki Ookami to Shiroki Mejika - Genchou Hishi (Japan)	Aoki Ookami to Shiroki Meshika: Genchou Hishi	1993	Strategy	Koei	1-2
Arcus I, II, III (Japan)	Arcus I-II-III	1993	Compilation/Role Playing Game	Wolf Team	1
Arslan Senki (Japan)	Arslan Senki	1993	Role Playing Game	SEGA	1
AX-101 (Japan)	A/X-101	1994	Shoot'em Up	Micronet	1
Bakuden - The Unbalanced Zone (Japan)	Bakuden Unbalance Zone	1994	Adventure	Sony Music Entertainment	1
Bari-Arm (Japan)	Android Assault : The Revenge of Bari-Arm	1994	Shoot'em Up / Horizontal/Shoot'em Up	Human Entertainment	1
Batman Returns (USA)	Batman Returns	1992	Platform	SEGA	1
Battle Fantasy (Japan) (Rev A)	Revengers of Vengeance	1994	Fighting	Micronet	1-2
Battlecorps (USA)	Battlecorps	1994	Simulation	Core Design	1
BC Racers (USA)	BC Racers	1994	Racing, Driving	Core Design	1-2
Beast II (Europe)	Shadow of the Beast II	1994	Adventure	Reflections Interactive	1
Bill Walsh College Football (USA)	Bill Walsh College Football	1993	Sports / Football (American)/Sports	Visual Concepts	1-4
Black Hole Assault (Japan)	Blackhole Assault	1992	Fighting	Micronet	1-2
Blackhole Assault (USA)	Blackhole Assault	1992	Fighting	Micronet	1-2
Bloodshot (Europe) (En,Fr,De,Es)	Bloodshot	1994	Shooter / FPV/Shooter	Domark	1-2
Bouncers (USA)	Bouncers	1994	Sports / Basketball/Sports	Dynamix	1-2
Bram Stoker's Dracula (USA)	Bram Stoker's Dracula	1994		Psygnosis	1
Brutal - Paws of Fury (USA)	Brutal : Paws of Fury	1995	Fighting	GameTek	1-2
Burai - Yatsudama no Yuushi Densetsu (Japan)	Burai: Hachigyoku no Yuushi Densetsu	1992	Japanese RPG/Adventure/Role Playing Game	SEGA	1
Cadillacs and Dinosaurs - The Second Cataclysm (USA, Brazil) (RE)	Cadillacs and Dinosaurs : The Second Cataclysm	1994	Shooter	Rocket Science Games	1-2
Captain Tsubasa (Japan)	Captain Tsubasa	1994	Sports / Football (Soccer)/Sports	Tecmo	1-2
CD Sonic the Hedgehog (Japan) (Beta) (1992-12-04)	Sonic the Hedgehog CD	1993	Platform	Sonic Team	1
Championship Soccer '94 (USA) (En,Fr,De,It)	Championship Soccer '94	1994	Sports / Football (Soccer)/Sports	Psygnosis	1-2
Chuck Rock (USA)	Chuck Rock	1992	Platform	Core Design	1
Chuck Rock II - Son of Chuck (USA)	Chuck Rock II : Son of Chuck	1993	Platform	Core Design	1
Cliffhanger (USA)	Cliffhanger	1993	Platform	Malibu Games	1
Cobra Command (USA)	Cobra Command	1992	Shoot'em Up/Simulation	SEGA	1
Colors of Modern Rock, The (USA)	The Colors of Modern Rock	1993	Music and Dancing	Digital Pictures	1
Compton's Interactive Encyclopedia (USA) (Version 2.00S)	Compton's Interactive Encyclopedia	1994	Various	The Learning Company	1
Corpse Killer (USA)	Corpse Killer	1994	Shooter / FPV/Lightgun Shooter/Shooter	Digital Pictures	1
Cosmic Fantasy Stories (Japan)	Cosmic Fantasy Stories	1992	Role Playing Game	Shin-Nihon Laser Soft	1
Crime Patrol (USA)	Crime Patrol	1994		American Laser Games	1-2
