#name	crc	size	key
3 Ninjas Kick Back (USA)	9d4d85ae	1433	3 Ninjas Kick Back (USA)
A-Rank Thunder - Tanjou-hen (Japan)	1bc8093b	7155	A-Rank Thunder - Tanjou-hen (Japan)
A-X-101 (USA) (RE)	5dd5c2a1	229	A-X-101 (USA) (RE)
AH3 - Thunderstrike (USA)	b3cbb90d	1445	AH3 - Thunderstrike (USA)
AX-101 (Japan)	6c514d73	198	AX-101 (Japan)
Adventures of Batman and Robin, The (Europe)	3707494b	856	Adventures of Batman and Robin, The (USA)
Adventures of Batman and Robin, The (USA)	28438349	927	Adventures of Batman and Robin, The (USA)
Adventures of Willy Beamish, The (USA)	7e070f1f	2000	Adventures of Willy Beamish, The (USA)
Adventures of Willy Beamish, The (USA) (Alt)	7447d75c	2090	Adventures of Willy Beamish, The (USA)
After Armageddon Gaiden - Majuu Toushouden Eclipse (Japan)	c03dc2bc	5972	After Armageddon Gaiden - Majuu Toushouden Eclipse (Japan)
After Burner III (Europe)	aa2d3b9e	1445	After Burner III (USA)
After Burner III (Japan)	fd01bb95	1433	After Burner III (USA)
After Burner III (USA)	c5c57986	1386	After Burner III (USA)
Aisle Lord (Japan)	a37922eb	1926	Aisle Lord (Japan)
Alshark (Japan)	02c403b6	3965	Alshark (Japan)
Amazing Spider-Man vs. The Kingpin, The (Europe)	0c2c6c1a	1841	Amazing Spider-Man vs. The Kingpin, The (USA)
Amazing Spider-Man vs. The Kingpin, The (USA)	e9bdce95	1825	Amazing Spider-Man vs. The Kingpin, The (USA)
Amazing Spider-Man vs. The Kingpin, The (USA) (Rev 1)	76c2fb46	1929	Amazing Spider-Man vs. The Kingpin, The (USA)
Android Assault - The Revenge of Bari-Arm (USA)	63303b57	2703	Android Assault - The Revenge of Bari-Arm (USA)
Annett Futatabi (Japan)	eea216b7	3663	Annett Futatabi (Japan)
Aoki Ookami to Shiroki Mejika - Genchou Hishi (Japan)	02f49f76	13302	Aoki Ookami to Shiroki Mejika - Genchou Hishi (Japan)
Arcus I, II, III (Japan)	7163cee2	2504	Arcus I, II, III (Japan)
Arslan Senki (Japan)	11ee9e13	6767	Arslan Senki (Japan)
BC Racers (Europe) (Demo) (Green Disc)	54c7f6bb	378	BC Racers (USA)
BC Racers (Europe) (Demo) (Yellow Disc)	5617749a	381	BC Racers (USA)
BC Racers (Europe) (En,Fr,De)	5f1b8ea4	1566	BC Racers (USA)
BC Racers (USA)	53959ce3	1356	BC Racers (USA)
Bakuden - The Unbalanced Zone (Japan)	c265a599	4866	Bakuden - The Unbalanced Zone (Japan)
Bari-Arm (Japan)	b2223278	2114	Bari-Arm (Japan)
Batman Returns (Europe)	422f5580	2460	Batman Returns (USA)
Batman Returns (Europe) (Alt)	c6efd142	2586	Batman Returns (USA)
Batman Returns (USA)	5c5d239a	2420	Batman Returns (USA)
Batman Returns (USA) (Alt)	851658a1	2546	Batman Returns (USA)
Battle Fantasy (Japan) (Rev A)	c981377b	6642	Battle Fantasy (Japan) (Rev A)
Battlecorps (Europe) (Demo)	619a1d5d	345	Battlecorps (USA)
Battlecorps (Europe) (En,Fr,De,Es)	8105828f	5351	Battlecorps (USA)
Battlecorps (Japan)	3cdf0130	5705	Battlecorps (USA)
Battlecorps (USA)	828bd519	5605	Battlecorps (USA)
Beast II (Europe)	d4b40075	1685	Beast II (Europe)
Beast II (Europe) (Demo)	b7f75e44	1671	Beast II (Europe)
