#key	style	ss_system_id
3 Ninjas Kick Back (USA)	box-2D	20
A-Rank Thunder - Tanjou-hen (Japan)	box-2D	20
A-X-101 (USA) (RE)	box-2D	20
AH3 - Thunderstrike (USA)	box-2D	20
AX-101 (Japan)	box-2D	20
Adventures of Batman and Robin, The (USA)	box-2D	20
Adventures of Willy Beamish, The (USA)	box-2D	20
After Armageddon Gaiden - Majuu Toushouden Eclipse (Japan)	box-2D	20
After Burner III (USA)	box-2D	20
Aisle Lord (Japan)	box-2D	20
Alshark (Japan)	box-2D	20
Amazing Spider-Man vs. The Kingpin, The (USA)	box-2D	20
Android Assault - The Revenge of Bari-Arm (USA)	box-2D	20
Annett Futatabi (Japan)	box-2D	20
Aoki Ookami to Shiroki Mejika - Genchou Hishi (Japan)	box-2D	20
Arcus I, II, III (Japan)	box-2D	20
Arslan Senki (Japan)	box-2D	20
BC Racers (USA)	box-2D	20
Bakuden - The Unbalanced Zone (Japan)	box-2D	20
Bari-Arm (Japan)	box-2D	20
Batman Returns (USA)	box-2D	20
Battle Fantasy (Japan) (Rev A)	box-2D	20
Battlecorps (USA)	box-2D	20
Beast II (Europe)	box-2D	20
Bill Walsh College Football (USA)	box-2D	20
Black Hole Assault (Japan)	box-2D	20
Blackhole Assault (USA)	box-2D	20
Bloodshot (Europe) (En,Fr,De,Es)	box-2D	20
Bouncers (USA)	box-2D	20
Bram Stoker's Dracula (USA)	box-2D	20
Brutal - Paws of Fury (USA)	box-2D	20
Burai - Yatsudama no Yuushi Densetsu (Japan)	box-2D	20
Cadillacs and Dinosaurs - The Second Cataclysm (USA, Brazil) (RE)	box-2D	20
Captain Tsubasa (Japan)	box-2D	20
Championship Soccer '94 (USA) (En,Fr,De,It)	box-2D	20
Chuck Rock (USA)	box-2D	20
Chuck Rock II - Son of Chuck (USA)	box-2D	20
Cliffhanger (USA)	box-2D	20
Cobra Command (USA)	box-2D	20
Colors of Modern Rock, The (USA)	box-2D	20
Compton's Interactive Encyclopedia (USA) (Version 2.00S)	box-2D	20
Corpse Killer (USA)	box-2D	20
Cosmic Fantasy Stories (Japan)	box-2D	20
Crime Patrol (USA)	box-2D	20
Cyborg 009 (Japan)	box-2D	20
Daihoushinden (Japan)	box-2D	20
Dark Wizard (USA)	box-2D	20
Dark Wizard - Yomigaerishi Yami no Madoushi (Japan)	box-2D	20
Death Bringer (Japan)	box-2D	20
Demolition Man (USA)	box-2D	20
