#key	synopsis
3 Ninjas Kick Back (USA)	3 Ninjas Kick Back auf Mega CD ist ein Plattformspiel, das auf dem gleichnamigen Actionfilm basiert. Der Spieler spielt einen von drei jungen Ninjas und muss einem Samurai helfen, einen Dolch zu finden, der von seinem größten Rivalen gestohlen wurde. Jeder der 3 Charaktere hat seine eigenen Eigenschaften und entspricht einem bestimmten Spielstil.
A-Rank Thunder - Tanjou-hen (Japan)	Dieses Rollenspiel wurde nur in Japan veröffentlicht, und das aus gutem Grund: Es ist ein Versuch, eine Tokusatsu-Serie (wie X-Or) in ein Videospiel umzusetzen! Sie verkörpern den jungen Thunder (?), der in einem scheinbar wissenschaftlichen Komplex aufwacht. Schnell wird er von einem zwielichtigen Kerl mit großem Hut, Schnurrbart und schwarzer Brille erwischt. Dann beginnt eine Dialogphase (alle wichtigen Dialoge werden verdoppelt) und zu verschiedenen Zeitpunkten werden wir aufgefordert, Entscheidungen zu treffen.
A-X-101 (USA) (RE)	AX-101 auf Mega CD ist ein futuristisches Ego-Shooter-Spiel, dessen Ziel es ist, die Menschheit vor außerirdischen Angriffen zu schützen. Der Spieler spielt einen Raumschiffpiloten und muss die Kanone bei Weltraumkämpfen, Luftschlachten und manchmal auch in unterirdischen Umgebungen bedienen. Es stehen 3 Waffentypen zur Verfügung: die einfache Kanone, die viel stärkere Nachladekanone sowie Bomben, die vorsichtig gehandhabt werden müssen, da ihre Anzahl begrenzt ist.
Adventures of Batman and Robin, The (USA)	In The Adventures of Batman and Robin sind Robin und Commissioner Gordon verschwunden. Der Dunkle Ritter vermutet, dass einer oder mehrere der üblichen Verdächtigen darin verwickelt sein könnten, darunter Poison Ivy, Riddler und der Joker. Er macht sich in seinem treuen Batmobil auf den Weg, um die Situation zu bereinigen. Ein Großteil des Spiels besteht aus 3D-Action hinter dem Steuer des Batmobils. Es gibt auch Levels, in denen der Titelheld mit dem Batwing einen Angriff aus der Luft starten muss. Zwischen den Levels wird der Spieler mit einer Reihe von Zwischensequenzen verwöhnt, die fast eine ganze exklusive Episode von Batman: The Animated Series umfassen, auf der das Spiel basiert.
Adventures of Willy Beamish, The (USA)	Willy Beamish ist ein Junge, der gerne herumalbert und Spaß hat. Natürlich kommen ihm alle Erwachsenen in die Quere, indem sie ihn zwingen, zur Schule zu gehen, sein Zimmer aufzuräumen usw. Aber jetzt, wo die Schule für den Sommer aus ist, ist Willy fest entschlossen, sich zu amüsieren und vielleicht sogar seinen Lieblingsfrosch den Froschsprungwettbewerb gewinnen zu lassen. Doch Willy hat die Angewohnheit, in Schwierigkeiten zu geraten, und das bedeutet natürlich, dass es eine Herausforderung sein wird, da wieder herauszukommen.
After Armageddon Gaiden - Majuu Toushouden Eclipse (Japan)	Die Geschichte spielt in der Zukunft, Hunderte von Jahren nach der Ausrottung der Menschheit durch einen nuklearen Holocaust. Dämonen sind jetzt die Herrscher des Planeten, aber sie werden von einigen Außerirdischen/Robotern in den Kampf um die Herrschaft über die Erde verwickelt. Das Gameplay ähnelt Final Fantasy und ist nahezu identisch mit Last Armageddon. Die Kämpfe sind rundenbasiert und wie in „Last Armageddon“ verhindert das Blocken jeglichen Schaden durch den Feind.
After Burner III (USA)	After Burner III ist der dritte Teil der Arcade-Flugsimulationsreihe von Sega und führt dich zurück ins Cockpit der F-14 Tomcat, um mit deinem Arsenal an Sidewinder-Raketen und deiner treuen Vulkan-Kanone so viele Terroristenflugzeuge wie möglich zu bekämpfen. Der exklusive Titel für Sega-CD ist eigentlich eine Portierung von SEGAs Arcade-Kampfsim Strike Fighter, einer nur in Japan erschienenen Arcade-Version, die versuchte, das Sim-&quot;Lite&quot;-Gameplay von G-Loc Air Battle mit den Arcade-Gimmicks von After Burner zu kombinieren. So bietet das Spiel die Möglichkeit, sowohl im Cockpit als auch in der klassischen Third-Person-Perspektive zu spielen. Sowohl Nacht- als auch Tag-Szenarien sind jetzt verfügbar, mit Missionszielen, die neue Luft-Boden-Angriffe beinhalten. Das Spiel enthält 3 Spielmodi: Arcade, Timed und Hits. In Hits wird gezählt, wie viele Feinde man in bestimmten Wellen abschießen kann. Es ist Keine Multiplayer-Unterstützung verfügbar.
AH3 - Thunderstrike (USA)	Thunderhawk ist ein Actionspiel auf Mega-CD, das Ihnen die Kontrolle über einen Kampfhubschrauber in einer Reihe von sechs futuristischen Kampagnen gibt. Die Originalversion umfasst insgesamt 60 Operationen mit unterschiedlichen Zielsetzungen. Vor dem Flug in den Himmel kann der Spieler das eingeschiffte Arsenal anpassen. Die Pilotierung ist technisch, aber zugänglich, ohne so komplex zu sein wie andere Simulationen, die 1993 verfügbar waren.
Aisle Lord (Japan)	Aisle Lord ist ein 3D-Dungeon-RPG in der Tradition westlicher RPGs wie Wizardry und Might and Magic, obwohl die Geschichte und die Charakterentwicklung viel näher an RPGs im japanischen Stil mit einer festen Besetzung, die automatisch aufsteigt, angelehnt sind. Das gesamte Spiel, einschließlich Städte und Gebäudeinnenräume, wird aus der 3D-Perspektive einer dritten Person erkundet; Durch die einzelnen Räume und Übergangsbereiche wird im Stil eines Point-and-Click-Adventures navigiert. Die Kämpfe finden halbaktiv statt, wobei der Spieler jedem Charakter spezifische Befehle gibt, die er befolgt, bis er dazu aufgefordert wird, etwas anderes zu tun.
Alshark (Japan)	Ein junger Mann namens Sion Asmarn lebt mit seinem Vater, einem berühmten Forscher, in der Stadt Cosma auf dem Planeten Homu. Eines Tages fällt ein riesiger Meteorit auf den Planeten. Sions Vater macht sich mit dem Physiker Mamon Penrose auf den Weg, um den Vorfall zu untersuchen. Sion und seine Freundin Shoko, Mamons Tochter, wagen sich in die Schlucht, in die der Meteorit gefallen ist, doch sie sehen, wie Mamon, der offenbar von einer geheimnisvollen Kraft besessen ist, Sions Vater tötet und dann flieht. Entschlossen, Licht in diese schreckliche Angelegenheit zu bringen, begeben sich die beiden jungen Leute auf eine Reise, die sie in verschiedene Ecken des Universums führt.
Amazing Spider-Man vs. The Kingpin, The (USA)	Die Stadt New York ist sicherlich ein großartiger Ort, aber nicht, wenn dort das kriminelle Element sein Unwesen treibt. Zum Glück hat die NYPD den heldenhaften Spider-Man an ihrer Seite! Doch nun teilt einer der größten Verbrecher der Stadt, Wilson Fisk, alias The Kingpin, der Presse mit, dass eine irgendwo in New York platzierte Bombe innerhalb von 24 Stunden explodieren wird. Er beschuldigt direkt Spider-Man, der am Ende die Polizei im Nacken hat. Du musst die Bombe finden und dein Image wiederherstellen, aber Dr. Octopus, Electro und Mysterio werden versuchen, dir den Weg zu versperren.
