#key	synopsis
3 Ninjas Kick Back (USA)	You must help an old samurai to retrieve a dagger he once got as an award for his achievements in martial arts. The dagger was stolen by somebody who envied the old warrior - now he cannot give this prize to the warriors of the next generation. Choose one of the three young ninjas to help the old man! This is a traditional platform game based on the movie 3 Ninjas Kick Back. Each one of the three ninjas has unique weapons and abilities. All three of them can run, duck, crawl, climb, jump, and hang on trees, ropes, etc. You'll encounter many obstacles and enemies, both regular and boss-like, which you'll have to overcome and defeat.
A-Rank Thunder - Tanjou-hen (Japan)	This RPG was only released in Japan, and for good reason: it is an attempt to transpose a Tokusatsu series (X-Or like) in video game! You incarnate the young Thunder (?) who wakes up in what seems to be a scientific complex. Quickly, he gets caught by a shady guy with a big hat, a mustache and black glasses. Then begins a dialogue phase (all importants dialogues are doubled), and at different moments, we are invited to take decisions.
A-X-101 (USA) (RE)	The game is an on-rails shooter, with gameplay seen from a first-person cockpit perspective. The player's ship moves automatically through pre-rendered space and planetary environments and only the targeting crosshair can be moved freely. Laser Cannons and Fusion Warheads are available to hit the numerous enemies. Lasers have unlimited ammunition but need a few moments time to recharge. The warheads function as smart bombs and clear the screen of enemies, but are available only in limited supply. They are restocked when reaching a certain score. The ship's energy shield functions as a life bar. Between the shooting levels, there are transitional cutscenes, pre-rendered in the same way as the actual gameplay.
Adventures of Batman and Robin, The (USA)	In The Adventures of Batman and Robin, Robin and Commissioner Gordon have both gone missing. The Dark Knight suspects that one or more of the usual suspects might be involved, including Poison Ivy, Riddler, and The Joker. He sets out in his trusty Batmobile to set the situation right. Much of the game consists of 3D driving action behind the wheel of the Batmobile. There are also levels in which the Caped Crusader must stage an aerial assault using the Batwing. In between levels, the player is treated to a series of cutscenes which comprise nearly an entire exclusive episode of Batman: The Animated Series, upon which the game is based.
Adventures of Willy Beamish, The (USA)	Willy Beamish is a kid who likes to goof off and have fun. Naturally all the grown-ups get in the way by making him go to school, making him clean his room, etc. But now that's school's out for the summer, Willy is determined to have a good time and maybe even have his pet frog win the frog jumping contest. However Willy has a habit of getting into trouble, and naturally that means it will be a challenge to get out of it. The Adventures of Willy Beamish is a point-and-click graphical adventure. You play Willy Beamish, an eight year-old kid who is just trying to get through life without losing his lunch money. But he'll have to deal with parents, teachers, babysitters and bratty sisters. The player must solve different puzzles to ensure Willy can progress, get out of trouble and generally avoid ending up grounded. The in-game time progresses even if no action is taken. This means many puzzles have to be solved in a certain time frame or rely on being in the right place at the right time. A special aspect of this game is a bar which shows Willy's relationship to his parents. It gets affected by the way certain situations are resolved, e.g. it increases if Willy refuses to play with his sister, and when it is full they send Willy to a military school and the game is lost.
After Armageddon Gaiden - Majuu Toushouden Eclipse (Japan)	The story takes place in the future, hundreds of years after the extinction of mankind due to a nuclear holocaust. Demons are the rulers of the planet now, but they are engaged in battle for the dominion of the earth by some aliens/robots. The gameplay is similar to Final Fantasy and nearly identical to Last Armageddon. Battles are turn based and, like in Last Armageddon, blocking prevents all the damage from the enemy.
After Burner III (USA)	The third in Sega's arcade flight sim series, After Burner III takes you back to the cockpit of the F-14 Tomcat in order to take on as many terrorist airplanes as you can with your arsenal of sidewinder missiles and your trusty vulcan cannon. A Sega CD exclusive, the title is actually a port of SEGA's arcade fight-sim Strike Fighter, a Japan-only arcade release that attempted to mix the sim &quot;lite&quot; gameplay of G-Loc Air Battle with After Burner's arcade gimmicks. As such, the game features the ability to play both in the cockpit as well as in the classic third person perspective. Both night and day scenarios are now available, with mission objectives that include new air-ground strikes. Includes 3 gameplay modes: Arcade, Timed and &quot;Hits&quot; which measures how many enemies you can shoot down in specific waves. No multiplayer support available.
AH3 - Thunderstrike (USA)	Thunderhawk is an action game on Mega-CD that gives you control of a combat helicopter in a series of six futuristic campaigns. The original version includes a total of 60 operations with various objectives. Before flying in the sky, the player can adapt the embarked arsenal to suit it. Piloting is technical but accessible, without being as complex as other simulations available in 1993.
Aisle Lord (Japan)	Aisle Lord is a 3D dungeon RPG in the tradition of western RPGs such as Wizardry and Might and Magic, though the story and character progression is much closer to Japanese style RPGs with a fixed cast that levels up automatically. The entire game, including towns and building interiors, is explored from a 3D third-person perspective; individual rooms and transitional areas are navigated in a point-and-click adventure game style. Battles play out in a semi-active fashion, with the player giving each character specific commands, which they will follow until instructed to do otherwise.
Alshark (Japan)	Alshark is set in a futuristic world where mankind has conquered the space and brought civilization to many planets. You play as a young boy named Shion who lives together with his father. One day, the father of his girlfriend Shoko gets possessed by a mysterious evil force and as a result kills Shion's father. Shion must now investigate this terrible affair and to discover what was the dark force that lead to it. The game is a traditional Japanese-style RPG (your characters level up, equip a variety of weapons and armor, participate in turn-based combat on a limited battlefield) with some space combat (you can buy various gadgets to upgrade your spaceship, making it more effective in combat and stronger in different ways). The Turbo CD version features improved graphics and voice-overs.
Amazing Spider-Man vs. The Kingpin, The (USA)	The city of New York is certainly a great place to be, but not when there's the criminal element running about. Lucky for the NYPD, there's also the heroic Spider-Man on their side! But now one of the biggest criminals in the city, Wilson Fisk, a.k.a. The Kingpin, tells the press that a bomb planted somewhere in New York will detonate within 24 hours. He directly accuses Spider-Man, who ends up with the police on his back. You have to find the bomb and restore your image, but Dr. Octopus, Electro and Mysterio will try to block your way.
Android Assault - The Revenge of Bari-Arm (USA)	Launched by the alien planet Zias, an armada of androids has crushed the Earth's conventional space fleet. Desperate and defeated, The United Nations of Earth has no choice but to counterattack with its own living, fighting machine, Bari-Arm. Upgrade weapons to get the awesome firepower of the Thundercracker, Burning Wave and Chase Cannon.
Annett Futatabi (Japan)	The story takes place two years after 'El Viento'. After being rescued from certain sacrifice by Earnest Evans, Annet travels across Europe and encounters a group that wants a pendant in her possession. After being ambushed by them she escapes and begins a quest to protect the world from destruction.
Aoki Ookami to Shiroki Mejika - Genchou Hishi (Japan)	Genghis Khan II: Clan of the Gray Wolf is an action / strategy game. At the beginning of the game, it is possible to choose between a world conquest, or the Mongol conquest. In the first one, you must conquer all countries in order to build the World as you wish it to be. In the second one, you play the great Temujin and you must unite all the little tribes of Mongolia.
