#key	synopsis
3 Ninjas Kick Back (USA)	3 Ninjas Kick Back es un juego de plataformas tradicional, basado en la película 3 Ninjas contraatacan. Cada uno de los tres ninjas tiene armas y habilidades únicas. Los tres pueden correr, agacharse, arrastrarse, trepar, saltar, y colgarse en los árboles, cuerdas, etc Te encontrarás con muchos obstáculos y enemigos, tanto regulares como jefes, que tendrás que superar y vencer.
A-Rank Thunder - Tanjou-hen (Japan)	Este juego de rol solo se lanzó en Japón, y por una buena razón: ¡es un intento de convertir una serie Tokusatsu (género X-Gold) en un videojuego! Encarnamos al joven Thunder (?) Que se despierta en lo que parece ser un complejo científico. Rápidamente, se le acercó una señorita con un gran sombrero, un bigote y lentes oscuros. Luego comienza una fase de diálogo totalmente duplicada (este será el caso para todos los diálogos importantes) en la que se nos lleva, en un momento dado, a elegir una actitud.
A-X-101 (USA) (RE)	El juego es un juego de disparos sobre railes, con un juego visto desde la perspectiva de una cabina en primera persona. La nave del jugador se mueve automáticamente a través de entornos planetarios previamente renderizados, y solo el objetivo puede moverse libremente. Los cañones láser y las ojivas de fusión están disponibles para golpear a innumerables enemigos. Los láseres tienen munición ilimitada, pero necesitan unos momentos para recargarse. Las ojivas actúan como bombas inteligentes y despejan la pantalla de los enemigos, pero solo están disponibles en cantidades limitadas. Se reponen al alcanzar un cierto puntaje. El escudo de energía de la nave actúa como una barra de salud. Entre los niveles de disparo hay escenas de transición, renderizadas previamente de la misma manera que el juego real.
Adventures of Batman and Robin, The (USA)	Robin y el comisionado Gordon desaparecieron misteriosamente. Batman sospecha que algo está mal. ¿Tus amigos sucumbirán a la peligrosa hierba venenosa? ¿Riddler dejará a Batman sin respuesta? ¿Tendrá el Joker la última risa esta vez? ¡Sintoniza el CD de Sega para descubrirlo! Animaciones exclusivas hechas por los creadores de la serie de televisión &quot;The Adventures of Batman & Robin&quot; . - Chase criminales a bordo del Batmóvil o cruza los cielos de Gotham City en Batwing. Gráficos en 3D tan increíbles que los obstáculos y los delincuentes parecen estar saliendo de la pantalla.
Adventures of Willy Beamish, The (USA)	Willy Beamish es un niño al que le gusta burlarse y divertirse. Naturalmente, todos los adultos se interponen al hacerlo ir a la escuela, hacer que limpie su habitación, etc. Pero ahora que la escuela está cerrada para el verano, Willy está decidido a pasar un buen rato y tal vez incluso gane su rana mascota El concurso de saltos de rana. Sin embargo, Willy tiene la costumbre de meterse en problemas y, naturalmente, eso significa que será un desafío salir de él. Las aventuras de Willy Beamish es una aventura gráfica de apuntar y hacer clic. Interpretas a Willy Beamish, un niño de ocho años que solo está tratando de sobrevivir sin perder el dinero del almuerzo. Pero tendrá que tratar con padres, maestros, niñeras y hermanas malcriadas. El jugador debe resolver diferentes acertijos para asegurarse de que Willy pueda progresar, salir de problemas y, en general, evitar terminar castigado. El tiempo en el juego progresa incluso si no se toman medidas. Esto significa que muchos acertijos deben resolverse en un período de tiempo determinado o confiar en estar en el lugar correcto en el momento correcto. Un aspecto especial de este juego es un bar que muestra la relación de Willy con sus padres. Se ve afectado por la forma en que se resuelven ciertas situaciones, p. Ej. aumenta si Willy se niega a jugar con su hermana, y cuando está lleno lo envían a una escuela militar y el juego se pierde.
After Armageddon Gaiden - Majuu Toushouden Eclipse (Japan)	La historia tiene lugar en el futuro, cientos de años después de la extinción de la humanidad debido a un holocausto nuclear. Los demonios ahora gobiernan el planeta, pero están involucrados en una batalla despiadada por el dominio de la tierra con ciertos alienígenas / robots. La jugabilidad es similar a Final Fantasy y casi idéntica a Last Armageddon. Las batallas se basan en turnos y, como en Last Armageddon, el bloqueo evita todo daño del enemigo.
After Burner III (USA)	El tercero en la serie de simulación de vuelo arcade de Sega, After Burner III te lleva de vuelta a la cabina del F-14 Tomcat para poder tomar tantos aviones terroristas como puedas con tu arsenal de misiles Sidewinder y tu fiel cañón vulcan. Exclusivo de Sega CD, el título es en realidad un puerto del juego de pelea arcade de SEGA Strike Fighter, un lanzamiento arcade solo para Japón que intentó mezclar el modo de juego sim &quot;lite&quot; de G-Loc Air Battle con los trucos arcade de After Burner. Como tal, el juego presenta la capacidad de jugar tanto en la cabina como en la perspectiva clásica en tercera persona. Ya están disponibles los escenarios de la noche y el día, con objetivos de la misión que incluyen nuevos ataques aéreos. Incluye 3 modos de juego: Arcade, Timed y &quot;Hits&quot; que mide cuántos enemigos puedes derribar en oleadas específicas. No hay soporte multijugador disponible.
AH3 - Thunderstrike (USA)	Thunderhawk es un juego de acción en Mega-CD que te da el control de un helicóptero de combate en una serie de seis campañas futuristas. La versión original incluye un total de 60 operaciones con diversos objetivos. Antes de volar en el cielo, el jugador puede adaptar el arsenal embarcado para que se adapte a él. El pilotaje es técnico pero accesible, sin ser tan complejo como otras simulaciones disponibles en 1993.
Aisle Lord (Japan)	Aisle Lord es un juego de rol de mazmorras 3D, la historia y el personaje están cerca de los juegos de rol de estilo japonés, con un reparto fijo que Upa automáticamente. Todo el juego, incluidas las ciudades y los interiores, se explora desde una perspectiva 3D en tercera persona; Las habitaciones individuales y las áreas de transición se navegan en un estilo de juego de aventura de apuntar y hacer clic. Las batallas tienen lugar semi-activamente, con el jugador dando a cada personaje comandos específicos que seguirán hasta que se les indique lo contrario.
Alshark (Japan)	Alshark en Mega CD es un juego de rol que tiene lugar en un universo futurista donde la humanidad ha conquistado el espacio, dispersando la civilización en muchos planetas. El jugador encarna a Shiron, un joven que vive bajo el hogar familiar. La historia comienza cuando el padre de Shiron es asesinado por uno de sus parientes, aparentemente controlado por un espíritu maligno. Shiron decide investigar esta desaparición repentina y trata de encontrar el espíritu maligno.
Amazing Spider-Man vs. The Kingpin, The (USA)	Spider-Man vs. Kingpin en Mega-CD es un juego de acción / plataforma en el que juegas a ser el hombre araña. Wilson Fisk, alias The Kingpin, le dice a la prensa que una bomba colocada en algún lugar de Nueva York explotará en 24 horas. Acusa directamente a Spider-Man, que se queda con la policía a la espalda. Tienes que encontrar la bomba y reconstruir tu escudo de armas, pero Octopus, Electro y Mysterio intentarán bloquearte.
Android Assault - The Revenge of Bari-Arm (USA)	Android Assault es un shoot'em up con desplazamiento vertical. También se conoce como Bari-Arm en Japón. Técnicas variadas de ataque, 7 niveles largos, gran jefe, una banda sonora agradable y una jugabilidad perfecta. La dificultad es progresiva pero debes admitir que la etapa final es realmente difícil.
Annett Futatabi (Japan)	Annet Futatabi en Mega-CD es el episodio final de una trilogía que incluye los juegos Earnest Evans y El Viento. A diferencia de sus predecesores, Annet Futatabi ya no es un juego de plataformas, sino un clásico shoot'em up. Juegas como Annette, una chica con poderes mágicos muy poderosos, e intentas salvar el mundo. Toda una historia !
Aoki Ookami to Shiroki Mejika - Genchou Hishi (Japan)	Genghis Khan II: Clan of the Grey Wolf es un juego de acción / estrategia en Mega-CD. Al comienzo del juego, puedes elegir entre una conquista mundial o la conquista mongol. En el primero, debes conquistar todos los países para construir el mundo como desees. En el segundo encarnas al gran Temujin y debes reunir a todas las pequeñas tribus de Mongolia.
Arcus I, II, III (Japan)	Arcus I-II-III es un juego RPG (de mazmorras) en primera persona lanzado exclusivamente en Sega Mega-CD en Japón. Combina los primeros tres juegos de la serie Arcus (del Wolf Team); Arcus, Arcus II: Silent Symphony y Arcus III, lanzados originalmente para computadoras japonesas entre 1988 y 1991.
Arslan Senki (Japan)	Arslan Senki es un videojuego de rol lanzado en 1993 en Mega-CD en Japón. Está basado en la serie de novelas The Chronicles of Arslân de Yoshiki Tanaka, también adaptada en manga y anime.
AX-101 (Japan)	El juego es un juego de disparos sobre railes, con un juego visto desde la perspectiva de una cabina en primera persona. La nave del jugador se mueve automáticamente a través de entornos planetarios previamente renderizados, y solo el objetivo puede moverse libremente. Los cañones láser y las ojivas de fusión están disponibles para golpear a innumerables enemigos. Los láseres tienen munición ilimitada, pero necesitan unos momentos para recargarse. Las ojivas actúan como bombas inteligentes y despejan la pantalla de los enemigos, pero solo están disponibles en cantidades limitadas. Se reponen al alcanzar un cierto puntaje. El escudo de energía de la nave actúa como una barra de salud. Entre los niveles de disparo hay escenas de transición, renderizadas previamente de la misma manera que el juego real.
Bakuden - The Unbalanced Zone (Japan)	El juego comienza con una loca introducción y una música devastadora antes de llegar a un juego en el que cuatro personajes no anunciados rompen la pared de la habitación de un hombre pobre y tú eres el pobre ... En este juego puedes ejercer acciones simples como mirar, atrapar, usar, hablar y tener descripciones de objetos. Está lleno de humor, pero aquí está el problema, todo está en japonés, por lo que es difícil entender la historia y los chistes (¡a menos que hables japonés!).
Bari-Arm (Japan)	Android Assault es un shoot'em up con desplazamiento vertical. También se conoce como Bari-Arm en Japón. Técnicas variadas de ataque, 7 niveles largos, gran jefe, una banda sonora agradable y una jugabilidad perfecta. La dificultad es progresiva pero debes admitir que la etapa final es realmente difícil.
Batman Returns (USA)	Ábrase paso por el hostil tráfico en el Batmobile, corra velozmente por las cloacas en el Batskiboat o aniquile a los gorilas de Gotham uno a uno.
Battle Fantasy (Japan) (Rev A)	Revengers of Vengeance es una combinación de RPG, tirador vertical y juego de lucha con un estilo de fantasía / anime. Hay diez personajes disponibles, cada uno con su propia historia animada y técnicas de lucha. Debes elegir un héroe y guiar sus estadísticas para crear un luchador formidable capaz de derrotar al Rey Demonio y liberar la tierra.
Battlecorps (USA)	Battlecorps es un juego gigante que tiene lugar en un planeta minero conocido como el mundo de Mandlebrot. La supercomputadora de colonias se ha infectado con un virus y ahora las máquinas gigantes del planeta se están volviendo en contra de las personas que las crearon. Debes pilotar tu máquina de ataque bípedo a través de 12 misiones para reiniciar la computadora. Los gráficos en este juego usan sprites escalados y rotados para lograr un entorno 3D. El efecto es similar a otros juegos de Core Design para el CD de Sega.
BC Racers (USA)	BC Racers es un juego de carreras en Mega-CD. Directamente inspirado en el peculiar mundo de Chuck Rock, el título te permite ponerte al volante de Side Cars en carreras más locas que las demás. El juego ofrece cuatro niveles de dificultad diferentes, cada uno compuesto por 8 circuitos que tienen lugar en 8 entornos distintos (selva, aldea prehistórica, desierto, selva nocturna, etc.).
Beast II (Europe)	Esencialmente, un desplazamiento lateral los golpeó, pero con una historia épica y rompecabezas. La introducción, ahora un clásico de Amiga, muestra a Mage Zelek secuestrando a su hermana pequeña y el objetivo del juego es rescatarla. En el camino, una variedad de acertijos, sub-misiones y monstruos realmente desagradables persiguen cada paso.
Bill Walsh College Football (USA)	Este juego de fútbol americano cuenta con 24 equipos universitarios de la temporada 1993 y 24 de los equipos universitarios de todos los tiempos desde 1978. Los modos de juego incluyen exhibición, playoffs y playoffs de todos los tiempos. El libro de jugadas consta de 56 jugadas ofensivas y 52 jugadas defensivas. Con condiciones meteorológicas variables (viento, lluvia y nieve), y tres opciones en cuanto al tiempo que dura un cuarto.
Black Hole Assault (Japan)	Según Blackhole Assault, en el siglo XXII la tecnología de la Tierra avanza hasta el punto en que la exploración del sistema solar inmediato no solo es posible, sino necesaria debido a las limitaciones de recursos. Los humanos intentan cosechar los recursos de todo el sistema solar, pero se han encontrado con problemas de los invasores alienígenas. Depende de una pequeña fuerza de humanos que reconocen y entienden la amenaza de enfrentar a los alienígenas de frente. El arma de elección en este juego es la máquina antropomorfizada cibernética, o C.A.M. La cámara. es un gran robot que lucha 1 contra 1 contra robots alienígenas. Toda la jugabilidad en Blackhole Assault gira en torno a la acción de lucha de robots de una sola ronda, 1 contra 1. Hay 10 escenarios contra los cuales golpear a los robots, incluidos varios planetas y lunas alrededor del sistema solar. El juego tiene 4 modos diferentes. El modo de historia principal es la Operación BHA. El modo de exhibición permite a los jugadores personalizar partidos hasta los robots que usará cada jugador y el fondo para jugar. El modo de exhibición se puede configurar para permitir que uno o incluso ambos luchadores sean controlados por la computadora. Además, el juego tiene modos de torneo y liga.
