#key	synopsis
3 Ninjas Kick Back (USA)	3 Ninjas Kick Back sur Mega CD est un jeu de plates-formes tiré du film d'action éponyme. Le joueur incarne l'un des trois jeunes ninjas et doit aider un samouraï à retrouver une dague, volée par son plus grand rival. Chacun des 3 personnages possède ses propres caractéristiques et correspond à un style de jeu particulier.
A-Rank Thunder - Tanjou-hen (Japan)	Ce RPG est sorti uniquement au Japon, et pour cause : il s'agit d'une tentative de transposition d'une série Tokusatsu (genre X-Or) en jeu vidéo ! On incarne le jeune Thunder (?) qui se réveille dans ce qui sembe être un complexe scientifique. Rapidement, il se fait aborder par un type louche avec un grand chapeau, une moustache et des lunettes noires. Commence alors une phase de dialogue entièrement doublée (ce sera le cas de tous les dialogues importants) dans laquelle on est amené, à un moment donné, à choisir une attitude..
A-X-101 (USA) (RE)	AX-101 sur Mega CD est un shoot'em up futuriste en vue à la première personne dont l'objectif est de protéger l'humanité d'attaques extraterrestres. Le joueur incarne un pilote de vaisseau spatial et doit manier le canon lors de joutes spatiales, aériennes et parfois dans des environnements souterrains. 3 types d'armes sont disponibles : le canon simple, le canon rechargé beaucoup plus puissant ainsi que des bombes à manier avec précaution car limitées en nombre.
Adventures of Batman and Robin, The (USA)	The Adventures of Batman & Robin est un jeu d'action sur Mega-CD. Incarnez l'homme chauve-souris et son fidèle acolyte Robin, qui utiliseront tous deux leurs gadgets pour défaire l'infâme Mr. Freeze dans ce jeu inspiré du dessin animé. Mais ce ne sera pas le seul ennemi car d'autres méchants se joindront au combat avec parmi eux le Joker ou encore Double Face.
Adventures of Willy Beamish, The (USA)	The Adventures of Willy Beamish sur Mega CD est un jeu d'aventure au style cartoon prononcé et non dénué d'humour. Le joueur incarne Willy, un jeune écolier dont le rêve est de placer sa grenouille sur la plus haute place du podium au concours de sauts. Pour avancer dans l'histoire, il faut résoudre de nombreuses énigmes et braver tous les obstacles liés à son jeune âge, du proviseur à la baby-sitter sans oublier les sempiternelles punitions parentales.
After Armageddon Gaiden - Majuu Toushouden Eclipse (Japan)	L'histoire se déroule dans le futur, des centaines d'années après l'extinction de l'humanité due à un holocauste nucléaire. Les démons dirigent maintenant la planète, mais ils sont engagés dans une bataille sans mercis pour la domination de la terre avec certains aliens / robots. Le gameplay est similaire à Final Fantasy et presque identique à Last Armageddon. Les combats sont au tour par tour et, comme dans Last Armageddon, le blocage prévient tous les dégâts de l'ennemi.
After Burner III (USA)	After Burner III sur Mega CD est un jeu d'action qui projette le joueur en pleine guerre du Golfe. Prenez les commandes du F14 et engagez le combat avec les armes à disposition à savoir un canon, des missiles et n'oubliez pas d'esquiver les tirs adverses. Trois modes sont présents : une campagne (enchaînement de niveaux) et deux modes défis où l'objectif est d'atteindre le score le plus élevé.
AH3 - Thunderstrike (USA)	Thunderhawk est un jeu d'action sur Mega-CD qui vous donne les commandes d'un hélicoptére de combat dans une série de six campagnes futuristes. La version originale comprend un total de 60 opérations aux objectifs variés. Avant de se lancer dans les airs, le joueur peut adapter à sa convenance l'arsenal embarqué. Le pilotage est technique et accessible, sans pour autant être aussi complexe que d'autres simulations de l'époque.
Aisle Lord (Japan)	Aisle Lord sur Mega-CD est un jeu de rôle se déroulant dans un univers médiéval fantastique. C'est l'exploration de donjons qui est à l'honneur dans ce titre où il vous faudra faire preuve de courage pour pénétrer dans ces dédales remplis de pièges et de créatures hostiles à votre présence.
Alshark (Japan)	Alshark sur Mega CD est un jeu de rôle prenant place dans un univers futuriste où l'humanité a conquis l'espace, éparpillant la civilisation sur de nombreuses planètes. Le joueur incarne Shiron, un jeune homme vivant sous le foyer familial. L'histoire débute lorsque le père de Shiron est assassiné par l'un de ses proches, apparemment contrôlé par un esprit maléfique. Shiron décide alors d'enquêter sur cette subite disparition et tente de retrouver l'esprit maléfique.
Amazing Spider-Man vs. The Kingpin, The (USA)	Spider-Man vs. The Kingpin sur Mega-CD est un jeu d'action/plates-formes dans lequel vous incarnez l'homme-araignée. Wilson Fisk alias The Kingpin déclare à la presse qu'une bombe placée quelque part dans New York va exploser d'ici 24 heures. Il accuse directement Spider-Man, qui se retrouve avec la police sur le dos. Vous devez trouver la bombe et redorer votre blason, mais Octopus, Electro et Mysterio tenteront de vous barrer la route.
Android Assault - The Revenge of Bari-Arm (USA)	Android Assault est un shoot'em up à scrolling vertical. Il est également connu sous le nom de Bari-Arm au Japon. Techniquement irréprochable, 7 longs niveaux, des boss énormes, une bande son agréable et une jouabilité parfaite. La difficulté est progressive mais il faut bien admettre que le stage final est vraiment difficile. Les amateurs de boulettes seront comblés !
Annett Futatabi (Japan)	Annet Futatabi sur Mega-CD est l'épisode final d'une trilogie incluant les jeux Earnest Evans et El Viento. Contrairement à ses prédécesseurs, Annet Futatabi n'est plus un jeu de plates-formes mais un shoot'em up classique. Vous incarnez Annette, jeune fille aux pouvoirs magiques très puissants, et tentez de sauver le Monde. Toute une histoire !
Aoki Ookami to Shiroki Mejika - Genchou Hishi (Japan)	Genghis Khan II : Clan of the Grey Wolf est un jeu d'action/stratégie sur Mega-CD. En début de partie, il est possible de choisir entre une conquête mondiale, ou la conquête mongole. Dans la première, vous devez conquérir tous les pays afin de bâtir le Monde comme vous le souhaitez. Dans la deuxième vous incarnez le grand Temujin et vous devez réunir toutes les petites tribus de la Mongolie.
Arcus I, II, III (Japan)	Arcus I-II-III est un jeu RPG (donjon) à la première personne sorti exclusivement sur Sega Mega-CD au Japon. Il combine les trois premiers jeux de la série Arcus (de Wolf Team); Arcus, Arcus II: Silent Symphony et Arcus III, initialement sortis pour les ordinateurs japonais entre 1988 et 1991.
Arslan Senki (Japan)	Arslan Senki est un jeu vidéo de rôle sorti en 1993 sur Mega-CD au Japon. Il est basé sur la série de romans Les Chroniques d'Arslân de Yoshiki Tanaka, également adapté en manga et anime.
AX-101 (Japan)	AX-101 sur Mega CD est un shoot'em up futuriste en vue à la première personne dont l'objectif est de protéger l'humanité d'attaques extraterrestres. Le joueur incarne un pilote de vaisseau spatial et doit manier le canon lors de joutes spatiales, aériennes et parfois dans des environnements souterrains. 3 types d'armes sont disponibles : le canon simple, le canon rechargé beaucoup plus puissant ainsi que des bombes à manier avec précaution car limitées en nombre.
Bakuden - The Unbalanced Zone (Japan)	Le jeu commence par une intro des plus cinglées et une musique ravageuse avant de déboucher sur un jeu dans lequel quatre personnages déboulent sans prévenir en cassant le mur de la chambre d'un pauvre type et, vous, vous êtes justement ce pauvre type.... Dans ce jeu vous pouvez exercer les actions simples comme regarder, prendre, utiliser, parler et avoir des descriptions d'objets. C'est rempli d'humour mais voilà le problème, c'est que tout est en japonais, donc il est difficile de comprendre l'histoire et les blagues...
Bari-Arm (Japan)	Android Assault est un shoot'em up à scrolling vertical. Il est également connu sous le nom de Bari-Arm au Japon. Techniquement irréprochable, 7 longs niveaux, des boss énormes, une bande son agréable et une jouabilité parfaite. La difficulté est progressive mais il faut bien admettre que le stage final est vraiment difficile. Les amateurs de boulettes seront comblés !
Batman Returns (USA)	Batman Returns sur Mega-CD est un jeu d'action qui permet au joueur d'incarner le célèbre homme chauve-souris. L'objectif du jeu est de faire baisser l'insécurité à Gotham City à bord de votre Batmobile, du Batskiboat (Jet-Ski dans les égouts) ou directement en combat singulier.
Battle Fantasy (Japan) (Rev A)	Par l'introduction on est en droit d'attendre un RPG vu que tous les éléments de l'heroic fantasy sont réunis : châteaux, dragons, lutins, ogres, elfes, chevaliers... et bien pas du tout ! Ces personnages sont tous de valeureux combattants que vous devrez affronter en combat singulier. Dès que le combat commence, la déception nous gagne : les graphismes sont moyens mais passent encore, le plus gros défaut restant la jouabilité. En effet, l'animation est catastrophique, les déplacements et les coups sont d'une rare lenteur, les prises spéciales ne sortent vraiment pas facilement, bref tout ce qui peut gâcher le plaisir pour ce genre de jeu. Si l'idée de base partait d'un bon sentiment, le résultat est un échec, dommage car l'intro nous laissait présager de bons moments, tant pis !
Battlecorps (USA)	Battlecorps sur Mega CD est un jeu d'action qui prend place sur la planète Mandlebrot's World où un virus informatique a renversé les machines contre leurs créateurs. 12 missions durant, pilotez votre robot bipède, combattez les machines hostiles pour venir à bout de l'ordinateur central, investigateur du mal qui ronge votre planète.
BC Racers (USA)	BC Racers est un jeu de courses sur Mega-CD. Directement inspiré de l'univers décalé de Chuck Rock, le titre permet de se mettre au volant de Side Cars dans des courses toutes plus déjantées les unes que les autres. Le jeu propose quatre niveaux de difficulté différents, composés chacun de 8 circuits qui prennent place dans 8 environnements distincts (jungle, village préhistorique, désert, jungle nocturne, etc.).
Beast II (Europe)	Shadow of the Beast 2 sur Mega CD est un jeu mêlant plates-formes, action et réflexion. Dans ce second opus, le héros est à la recherche de sa soeur, kidnappée par le mage Zelek. Pour la retrouver, il traverse les mondes de Karamoon et affronte toutes sortes de créatures (monstres, dragons...).
Bill Walsh College Football (USA)	Bill Walsh College Football est un jeu de football américain sur Mega-CD. Ce jeu s'intéresse particulièrement à la ligue étudiante très appréciée aux États-Unis. Choisissez parmi les équipes les plus prestigieuses et faites honneur à votre université. Le titre propose les 25 équipes de la saison 92 auxquelles viennent s'ajouter une sélection de 25 équipes de légendes (Pitt '80, Auburn '83, Florida '84, Brigham Young University Provo' 84, Texas '81, Notre Dame '88...).
Black Hole Assault (Japan)	Black Hole Assault sur Mega CD est un jeu de combat futuriste. L'action se déroule courant 22ème siècle, alors que l'exploration du système solaire n'est plus seulement possible mais nécessaire pour la survie de l'humanité. Incarnez l'une des machines au choix et battez-vous contre des aliens dans une des 10 planètes et lunes réalisées.
Blackhole Assault (USA)	Black Hole Assault sur Mega CD est un jeu de combat futuriste. L'action se déroule courant 22ème siècle, alors que l'exploration du système solaire n'est plus seulement possible mais nécessaire pour la survie de l'humanité. Incarnez l'une des machines au choix et battez-vous contre des aliens dans une des 10 planètes et lunes réalisées.
Bloodshot (Europe) (En,Fr,De,Es)	Nous sommes en l'an 2049 et une armée extraterrestre est sur le point d'envahir tout le système solaire. Vous avez été choisi et l'armée vous a implanté une puce &quot;Battle Frenzy&quot; faisant de vous le meilleur soldat au monde. Avancez dans les vaisseaux ennemis pour les anéantir de l'intérieur et utilisez toutes les armes à votre disposition pour vaincre cette menace.
Bouncers (USA)	Bouncers sur Mega CD est un jeu d'action où le joueur incarne un ballon de basket. A l'instar du basket-ball, l'objectif est de marquer plus de points que l'adversaire en faisant des paniers. La difficulté est qu'il faut s'aider du ballon adverse pour atteindre le précieux sésame. Différents bonus peuvent aider à remporter la partie, soit en augmentant le nombre de points, soit en augmentant temporairement les capacités de votre avatar.
