#key	synopsis
3 Ninjas Kick Back (USA)	3 Ninjas Kick Back é um tradicional jogo de plataforma, baseado no filme 3 Ninjas Contra-atacam. Cada um dos três ninjas tem armas e habilidades únicas. Os três podem correr, aguachar, rastejar, subir, pular e pendurar em árvores, cordas, etc. Você encontrará muitos obstáculos e inimigos, tanto regulares quanto chefões, que você terá que superar e vencer.
A-Rank Thunder - Tanjou-hen (Japan)	Esse RPG foi lançado só no Japão, e por uma boa razão: é uma tentativa de retratar a série Tokusatsu (X-Or like) no video game! Você encarna o jovem Thunder(?) Quem acorda no que parece ser um complexo científico. Rapidamente, ele é pego por um cara sombrio com um grande chapéu, um bigode e óculos escuros. Então começa uma fase de diálogo (todos os diálogos importantes são dublados) e, em diferentes momentos, somos convidados a tomar decisões.
A-X-101 (USA) (RE)	O jogo é um shooter on-rails, com uma jogabilidade vista a partir de uma perspectiva de cabine de primeira pessoa. A nave do jogador se move automaticamente através de ambientes planetários e pré-renderizados, e apenas o alvo pode ser movido livremente. Canhões de laser e ogivas de fusão estão disponíveis para acertar os inúmeros inimigos. Os lasers têm munição ilimitada, mas precisam de alguns momentos para recarregar. As ogivas funcionam como bombas inteligentes e limpam a tela dos inimigos, mas estão disponíveis apenas em quantidade limitada. Eles são reabastecidos ao atingir uma determinada pontuação. O escudo de energia do navio funciona como uma barra de vida. Entre os níveis de disparo, há cenas de transição, pré-renderizadas da mesma maneira que a jogabilidade real.
Adventures of Batman and Robin, The (USA)	Robin e o Comissário Gordon desapareceram misteriosamente. Batman suspeita que alguma coisa esta errada. Será que seus amigos irão sucumbir nas mãos da perigosa Erva Venenosa? Será que o Charada vai deixar Batman sem resposta? Será que o Coringa vai rir por último desta vez? Sintonize no Sega CD para descobrir!!! - Animações exclusivas feitas pelos criadores da série de TV &quot;As Aventuras de Batman & Robin&quot;. - Persiga os criminosos à bordo do Batmóvel ou cruze os céus de Gotham City no Batwing. - Gráficos em 3D tão incríveis que os obstáculos e os criminosos parecem estar saindo da tela.
Adventures of Willy Beamish, The (USA)	The Adventures of Willy Beamish surgiu nos PCs em 1991 e no ano seguinte recebeu uma versão melhorada em CD para essa mesma plataforma. O port para Sega CD é baseado nesta última, com um enredo que cobre quatro dias das férias de verão de Willy, um garoto comum de 8 anos que deve lidar com seus pais, babás e valentões em situações do dia-a-dia. Como em todo point & click, existem objetos a serem inspecionados e quebra-cabeças que precisam ser resolvidos. Por conta dos longos loadings do Sega CD, foi incluído nessas telas um minigame em que o jogador controla algumas esferas.
After Armageddon Gaiden - Majuu Toushouden Eclipse (Japan)	A história se passa no futuro, centenas de anos após a extinção da humanidade devido ao holocausto nuclear. Os demônios são os governantes do planeta agora, mas eles estão engajados na batalha pelo domínio da terra por alguns alienígenas / robôs. A jogabilidade é semelhante a Final Fantasy e quase idêntica ao Last Armageddon. As batalhas são baseadas em turnos e, como no Last Armageddon, o bloqueio previne todos os danos do inimigo.
After Burner III (USA)	O terceiro na série de simuladores de vôo arcade da Sega. After Burner III leva você de volta a um F-14 Tomcat, para enfrentar o maior número possível de aviões terroristas com seu arsenal de mísseis e seu fiel canhão vulcano. Exclusivo para o Sega CD, o título é na verdade uma versão do Strike Fighter, um arcade lançado no Japão que tentou misturar a jogabilidade &quot;fácil&quot; do G-Loc Air Battle com os truques de After Burner. O jogo apresenta camera interna e externa, ou seja, você tem a capacidade de jogar com a visão interna da aeronave (cockpit), ou na versão clássica do lado de fora do avião.
AH3 - Thunderstrike (USA)	Thunderhawk é um jogo de ação para o Sega-CD que lhe dá o controle de um helicóptero de combate em uma série de seis campanhas futuristas. A versão original inclui um total de 60 operações com vários objetivos. Antes de voar no céu, o jogador pode adaptar o arsenal embarcado para se adequar a ele. A pilotagem é técnica, mas acessível, sem ser tão complexa quanto outras simulações disponíveis em 1993.
Aisle Lord (Japan)	Aisle Lord é um RPG de masmorra em 3D na tradição dos RPGs ocidentais, como Wizardry e Might and Magic, embora a história e o personagem estejam muito mais próximos dos RPGs de estilo japonês, com um elenco fixo que Upa automaticamente. O jogo inteiro, incluindo cidades e interiores, é explorado a partir de uma perspectiva 3D em terceira pessoa; salas individuais e áreas de transição são navegadas em um estilo de jogo de aventura point-and-click. Batalhas acontecem de forma semi-ativa, com o jogador dando a cada personagem comandos específicos, que eles seguirão até que sejam instruídos a fazer o contrário.
Alshark (Japan)	Alshark é ambientado em um mundo futurista onde a humanidade conquistou o espaço e colonizou muitos outros planetas. Você joga como um garoto chamado Shion que vive junto com seu pai. Um dia, o pai de sua namorada Shoko é possuído por uma misteriosa força do mal e, como resultado, mata o pai de Shion. Shion deve agora investigar este caso terrível e descobrir qual foi a força das trevas que levou a ele. O jogo é um RPG de estilo japonês tradicional (seus personagens sobem de nível, possui uma variedade de armas e armaduras, participa de combates baseados em turnos em um campo de batalha limitado) com algum combate espacial (você pode comprar vários dispositivos para melhorar sua espaçonave e a tornar mais eficaz em combate e mais forte de maneiras diferentes).
