#key	name	year	genre	developer	players
32X Sample Program - PWM Sound Demo (USA) (Demo)	ZZZ(notgame):#NONGAME	1993	Action / Adventure/Action	Novotrade	1
After Burner Complete (Japan, USA) (En)	After Burner	1995	Shooter / Plane, TPV/Shooter	Rutubo Games	1
Amazing Spider-Man, The - Web of Fire (USA)	The Amazing Spider-Man : Web of Fire	1996	Platform / Fighter Scrolling/Platform	BlueSky Software	1
BC Racers (USA)	BC Racers	1995	Racing, Driving	Core Design	1-2
Blackthorne (USA)	Blackthorne	1995	Platform / Shooter Scrolling/Platform	Interplay	1
Brutal - Above the Claw (USA)	Brutal Unleashed : Above the Claw	1995	Fighting	GameTek	1-2
ClayFighter 2 (USA) (Proto)	ClayFighter 2	1995	Fighting / 2D/Fighting	Interplay	1-2
Cosmic Carnage (Japan, USA) (En)	Cosmic Carnage	1994	Fighting	Givro	1-2
Darxide (Europe) (En,Fr,De,Es)	Darxide	1996	Shooter / Vehicle, TPV/Shooter	Frontier Developments	1
Doom (Japan, USA) (En)	Doom	1994	Shooter/Shooter / FPV	id Software	1
Ecco the Dolphin (USA) (Auto Demo)	ZZZ(notgame):#NONGAME	1993	Action / Adventure/Action	Novotrade	1
FIFA Soccer 96 (Europe) (En,Fr,De,Es,It,Sv)	FIFA Soccer 96	1995	Sports / Football (Soccer)/Sports	Extended Play Productions	1-4
Golf Magazine Presents - 36 Great Holes Starring Fred Couples (Japan, USA) (En)	Golf Magazine presents 36 Great Holes starring Fred Couples	1995	Sports / Golf/Sports	Flashpoint Productions	1-8
Knuckles' Chaotix (Japan, USA) (En)	Knuckles' Chaotix	1995	Platform	Sonic Team	1-2
Kolibri (USA, Europe)	Kolibri	1995	Shoot'em Up / Horizontal/Shoot'em Up	Novotrade	1-2
Mars Check Program (USA) (Auto Demo)	ZZZ(notgame):#NONGAME	1993	Action / Adventure/Action	Novotrade	1
Mars Sample Program - Gnu Sierra (USA) (Auto Demo)	ZZZ(notgame):#NONGAME	1993	Action / Adventure/Action	Novotrade	1
Mars Sample Program - Pharaoh (USA) (Auto Demo)	ZZZ(notgame):#NONGAME	1993	Action / Adventure/Action	Novotrade	1
Mars Sample Program - Runlength Mode Test (USA) (Auto Demo)	ZZZ(notgame):#NONGAME	1993	Action / Adventure/Action	Novotrade	1
Mars Sample Program - Texture Test (USA) (Auto Demo)	ZZZ(notgame):#NONGAME	1993	Action / Adventure/Action	Novotrade	1
Metal Head (Japan, USA) (En,Ja)	Metal Head	1995	Shooter/Shooter / FPV	SEGA	1
Mortal Kombat II (Japan, USA) (En)	Mortal Kombat II	1994	Fighting / Versus/Fighting	Probe Software	1-2
Motocross Championship (USA)	Motocross Championship	1995	Racing, Driving/Motorcycle race TPV/Sports	Artech Studios	1-2
NBA Jam - Tournament Edition (World)	NBA Jam Tournament Edition	1995	Sports / Basketball/Sports	Iguana Entertainment	1-4
NFL Quarterback Club (World)	Nfl Quarterback Club	1995	Sports / Football (American)/Sports	Iguana Entertainment	1-5
Pinocchio (Europe) (Proto)	Pinocchio	1995	Action / Adventure/Action	Virgin	1
Pitfall - The Mayan Adventure (USA)	Pitfall : The Mayan Adventure	1995	Platform/Platform / Run & Jump	Big Bang Software	1
Primal Rage (USA, Europe)	Primal Rage	1995	Fighting	Probe Entertainment	1-2
RBI Baseball '95 (USA)	RBI Baseball '95	1995	Sports / Baseball/Simulation/Sports	Atari	1-2
Sangokushi IV (Japan)	Sangokushi IV	1995	Role Playing Game	Koei	1
Soulstar X (USA) (Proto)	Soulstar X	1995	Shooter	Core Design	1
Space Harrier (Japan, USA) (En)	Space Harrier	1994	Shooter / TPV/Shooter	SEGA	1
Spot Goes to Hollywood (USA) (Proto)	Spot Goes to Hollywood	1995	Platform	Eurocom	1
Star Trek - Starfleet Academy - Starship Bridge Simulator (USA)	Star Trek, Starfleet Academy : Starship Bridge Simulator	1995	Simulation / SciFi/Lightgun Shooter/Simulation	High Voltage	1-2
Star Wars Arcade (USA)	Star Wars Arcade	1994	Shooter / Plane, FPV/Shooter	LucasArts	1-2
Stellar Assault (USA, Europe)	Shadow Squadron	1995	Shoot'em Up	SEGA	1-2
T-MEK (USA, Europe)	T-Mek	1995	Shooter / Vehicle, FPV/Shooter	Time Warner Interactive	1-2
Tempo (Japan, USA) (En)	Tempo	1995	Platform	SEGA	1
Toughman Contest (USA, Europe)	Toughman Contest	1995	Sports / Boxing/Fighting/Sports	Visual Concepts	1-2
Virtua Fighter (Japan, USA) (En)	Virtua Fighter	1995	Fighting / 3D/Fighting	SEGA	1-2
Virtua Hamster (USA) (Proto)	Virtua Hamster	2009	Racing, Driving	SEGA	1
Virtua Racing Deluxe (USA)	Virtua Racing Deluxe	1994	Racing, Driving	SEGA	1-2
World Series Baseball Starring Deion Sanders (USA)	World Series Baseball Starring Deion Sanders	1995	Sports / Baseball/Sports	Blue Sky Software	1-2
WWF Raw (World)	WWF Raw	1995	Sports / Fighting/Sports	Sculptured Software	1-4
WWF WrestleMania - The Arcade Game (USA)	WWF WrestleMania : The Arcade Game	1995	Sports / Fighting/Sports	Sculptured Software	1-2
X-Men (USA) (Proto)	X-Men			Western Technologies	
Zaxxon's Motherbase 2000 (Japan, USA) (En)	Zaxxon's Motherbase 2000	1995	Shoot'em Up / Diagonal/Shoot'em Up	CSK Research Institute	1-2
