#name	crc	size	key
After Burner Complete (Europe)	029106f5	2097152	After Burner Complete (Japan, USA) (En)
After Burner Complete (Japan, USA) (En)	204044c4	2097152	After Burner Complete (Japan, USA) (En)
Amazing Spider-Man, The - Web of Fire (USA)	29dce257	3145728	Amazing Spider-Man, The - Web of Fire (USA)
Amazing Spider-Man, The - Web of Fire (USA) (Beta)	38a1863f	3145728	Amazing Spider-Man, The - Web of Fire (USA)
BC Racers (USA)	936c3d27	3145728	BC Racers (USA)
Blackthorne (USA)	d1a60a47	3145728	Blackthorne (USA)
Brutal - Above the Claw (USA)	7a72c939	3145728	Brutal - Above the Claw (USA)
ClayFighter 2 (USA) (Proto)	59701755	1048576	ClayFighter 2 (USA) (Proto)
Cosmic Carnage (Europe)	9f3fdbc2	3145728	Cosmic Carnage (Japan, USA) (En)
Cosmic Carnage (Japan, USA) (En)	7c7be6a2	3145728	Cosmic Carnage (Japan, USA) (En)
Cosmic Carnage (Japan, USA) (En) (Beta 1)	d4166241	3145728	Cosmic Carnage (Japan, USA) (En)
Cosmic Carnage (Japan, USA) (En) (Beta 2)	7b58141c	4194304	Cosmic Carnage (Japan, USA) (En)
Cosmic Carnage (Japan, USA) (En) (Beta 3)	d8b04c24	3145728	Cosmic Carnage (Japan, USA) (En)
Cosmic Carnage (Japan, USA) (En) (Beta 4)	e483498b	3145728	Cosmic Carnage (Japan, USA) (En)
Cosmic Carnage (Japan, USA) (En) (Beta 5)	c6867772	3145728	Cosmic Carnage (Japan, USA) (En)
Cosmic Carnage (Japan, USA) (En) (Beta 6)	bfe27f56	3145728	Cosmic Carnage (Japan, USA) (En)
Cosmic Carnage (Japan, USA) (En) (Beta 7)	f04f4366	3145728	Cosmic Carnage (Japan, USA) (En)
Cosmic Carnage (Japan, USA) (En) (Beta 8)	cf89175f	3145728	Cosmic Carnage (Japan, USA) (En)
Darxide (Europe) (En,Fr,De,Es)	22d7c906	2097152	Darxide (Europe) (En,Fr,De,Es)
Doom (Europe)	53734e3a	3145728	Doom (Japan, USA) (En)
Doom (Japan, USA) (En)	208332fd	3145728	Doom (Japan, USA) (En)
Doom (Japan, USA) (En) (Beta 1)	646d5c47	4194304	Doom (Japan, USA) (En)
Doom (Japan, USA) (En) (Beta 2)	8d757b51	3894824	Doom (Japan, USA) (En)
Doom (Japan, USA) (En) (Beta 3)	102678b3	3760828	Doom (Japan, USA) (En)
