#key	style	ss_system_id
After Burner Complete (Japan, USA) (En)	box-3D	19
Amazing Spider-Man, The - Web of Fire (USA)	box-3D	19
BC Racers (USA)	box-3D	19
Blackthorne (USA)	box-3D	19
Brutal - Above the Claw (USA)	box-3D	19
ClayFighter 2 (USA) (Proto)	box-3D	19
Cosmic Carnage (Japan, USA) (En)	box-3D	19
Darxide (Europe) (En,Fr,De,Es)	box-3D	19
Doom (Japan, USA) (En)	box-3D	19
FIFA Soccer 96 (Europe) (En,Fr,De,Es,It,Sv)	box-3D	19
Golf Magazine Presents - 36 Great Holes Starring Fred Couples (Japan, USA) (En)	box-3D	19
Knuckles' Chaotix (Japan, USA) (En)	box-3D	19
Kolibri (USA, Europe)	box-3D	19
Metal Head (Japan, USA) (En,Ja)	box-3D	19
Mortal Kombat II (Japan, USA) (En)	box-3D	19
Motocross Championship (USA)	box-3D	19
NBA Jam - Tournament Edition (World)	box-3D	19
NFL Quarterback Club (World)	box-3D	19
Pinocchio (Europe) (Proto)	box-3D	19
Pitfall - The Mayan Adventure (USA)	box-3D	19
Primal Rage (USA, Europe)	box-3D	19
RBI Baseball '95 (USA)	box-3D	19
Sangokushi IV (Japan)	box-3D	19
Soulstar X (USA) (Proto)	box-3D	19
Space Harrier (Japan, USA) (En)	box-3D	19
Spot Goes to Hollywood (USA) (Proto)	box-3D	19
Star Trek - Starfleet Academy - Starship Bridge Simulator (USA)	box-3D	19
Star Wars Arcade (USA)	box-3D	19
Stellar Assault (USA, Europe)	box-3D	19
T-MEK (USA, Europe)	box-3D	19
Tempo (Japan, USA) (En)	box-3D	19
Toughman Contest (USA, Europe)	box-3D	19
Virtua Fighter (Japan, USA) (En)	box-3D	19
Virtua Hamster (USA) (Proto)	box-3D	19
Virtua Racing Deluxe (USA)	box-3D	19
WWF Raw (World)	box-3D	19
WWF WrestleMania - The Arcade Game (USA)	box-3D	19
World Series Baseball Starring Deion Sanders (USA)	box-3D	19
X-Men (USA) (Proto)	box-3D	19
Zaxxon's Motherbase 2000 (Japan, USA) (En)	box-3D	19
