#key	synopsis
After Burner Complete (Japan, USA) (En)	Directement issu des salles d'arcade, After Burner sur Megadrive 32X vous permet de vous installer dans le cockpit d'un F-14 Thunder Cat pour une série de missions en haute altitude. Ce shoot'em up vous donne accès à tout l'armement que l'on peut attendre d'un avion de combat dont les précieux missiles.
Amazing Spider-Man, The - Web of Fire (USA)	Spider-Man : Web of Fire est un jeu de plates-formes sur Megadrive 32X. Le joueur contrôle l'homme araignée qui combat l'organisation néonazie, H.Y.D.R.A. et les the New Enforcers. Il est possible de recevoir l'assistance de Daredevil en collectionnant les pièces &quot;DD&quot; répandues dans la ville de New York.
BC Racers (USA)	BC Racers est un jeu de courses sur Megadrive 32X. Directement inspiré de l'univers décalé de Chuck Rock, le titre permet de se mettre au volant de Side Cars dans des courses toutes plus déjantées les unes que les autres. Le jeu propose quatre niveaux de difficulté différents, composés chacun de 8 circuits qui prennent place dans 8 environnements distincts (jungle, village préhistorique, désert, jungle nocturne, etc.).
Blackthorne (USA)	Depuis des temps immémoriaux, l'harmonie du monde de Tuul est régie par deux pierres sacrées renfermant l'essence de grands rois du passé. Ces deux artefacts, symbolisant respectivement la lumière et les ténèbres, sont en possession des deux rois qui règnent sur Tuul. Le roi Vlaros, champion de la lumière, règne sur Androth tandis que Sarlac domine Ka'dra'suul, dont les habitants, vénérant les ténèbres, ont fini par se transformer en monstres diaboliques au fil des générations. Sarlac et ses hordes envahissent Androth par surprise. Le roi Vlaros crée un portail dimensionnel et expédie son fils unique, Kyle, sur la Terre, pour préserver la pierre de la lumière. Deux décennies plus tard, Kyle est devenu un soldat d'élite, dressé pour tuer. Il est temps de pour lui de revenir sur Tuul et d'y briser la tyrannie de Sarlac. Le jeune héritier devra explorer plusieurs lieux sinistres et parvenir à la sortie de chaque zone sans perdre la vie.
Brutal - Above the Claw (USA)	Brutal Unleashed sur Megadrive 32X est un jeu de combat où les 12 personnages sont des animaux (lapin, ours, crocodile). Au-delà des traditionnels modes solo et à 2, le jeu propose un mode turbo où les combats se veulent plus nerveux.
ClayFighter 2 (USA) (Proto)	ClayFighter 2 : Judgment Clay est la suite de ClayFighter, et est sorti sur la Super Nintendo Entertainment System au début de 1995. À un moment donné, sa sortie était également prévue sur le Sega 32X pendant la même période, mais malgré la publicité, cette version a été annulée pour des raisons inconnues. Le titre du jeu est une référence au film Terminator 2: Judgment Day.
Cosmic Carnage (Japan, USA) (En)	Cosmic Carnage est un jeu de combat sur Megadrive 32X dans lequel s'affrontent violemment militaires et fugitifs dans un décor galactique. Doté ou non d'une armure, chaque personnage possède ses propres caractéristiques. Le dénouement des combats peut être agrémenté d'une fatalité qui découpe bien souvent le corps du vaincu en petits morceaux.
Darxide (Europe) (En,Fr,De,Es)	Darxide sur Megadrive 32X est un shoot'em up. Le joueur prend les commandes d'un vaisseau spatial de combat pour défendre sa base d'attaques extraterrestres et d'astéroïdes. Décomposé en 12 missions, le jeu met un arsenal varié à disposition du pilote (lasers, canons, bombes).
Doom (Japan, USA) (En)	Doom est un jeu de tir à la première personne sur 32X directement inspiré du titre éponyme sorti en 1993 sur PC. Les 8 armes disponibles sont précieuses pour survivre aux attaques répétées dans les méandres des divers labyrinthes. De la tronçonneuse au canon à Plasma sans oublier le fusil à pompe et le lance-roquettes, tous les ingrédients sont en place pour se lancer à l'assaut des créatures maléfiques.
FIFA Soccer 96 (Europe) (En,Fr,De,Es,It,Sv)	FIFA Soccer 96 sur Megadrive 32X est un jeu de football où le joueur commande des équipes nationales ou des sélections internationales. Doté de la licence d'exploitation FIFA, Fifa 96 offre un choix d'équipes exhaustif comprenant des championnats prestigieux (Angleterre, Italie, Espagne) ou moins connus du grand public (Brésil, Pays-Bas, Ecosse). Trois modes de jeu sont mis à disposition : Match amical, Ligue (Championnat) et Tournoi.
Golf Magazine Presents - 36 Great Holes Starring Fred Couples (Japan, USA) (En)	36 Great Holes starring Fred Couples est un jeu de golf sur Megadrive 32X. Le joueur incarne Frederick Stephen Couples, Golfeur Professionnel de la PGA qui s'exerce au cours de tournois divers ou de parties sans enjeu. Du vent au club adapté au terrain, de nombreux critères sont à prendre en compte pour ne pas envoyer votre petite balle blanche à l'extérieur du parcours.
Knuckles' Chaotix (Japan, USA) (En)	Knucles Chaotix est un jeu de plates-formes sur Megadrive 32X. Dans cet opus tiré de la série Sonic The Hedgehog, le joueur commande deux personnages reliés par un élastique formé d'anneaux. Incarnez l'un des quatre personnages disponibles (Knuckles, Espio, Mighty, Charmy Bee, Vector) et usez efficacement de l'attraction de l'élastique pour déjouer les pièges tendus par l'infâme docteur Robotnik.
Kolibri (USA, Europe)	Kolibri est un shoot'em up sur Megadrive 32X. L'histoire débute à l'instant même où un crystal maléfique entre en collision avec la Terre et infecte l'ensemble de ses habitants en dégageant des ondes maléfiques. Le joueur incarne un Colibri qui doit se battre pour réinsuffler le souffle originel du crystal pur à sa planète.
Metal Head (Japan, USA) (En,Ja)	Metal Head est un jeu d'action sur Megadrive 32X. Le soft se déroule cinq ans après la création de la Fédération Mondiale. La guerre a été évitée, mais des cellules terroristes menacent la stabilité de la fédération. Vous êtes aux commandes d'un tank blindé Metal Head et vous devez utiliser toutes les armes à votre disposition pour capturer les terroristes.
