#key	name	year	genre	developer	players
007 James Bond (Japan) (Othello Multivision)	007 James Bond	1983	Shooter	Tsukuda Original	1
Bank Panic (Japan)	Bank Panic	1985	Shooter	Sanritsu Denki	1
Black Onyx, The (Japan)	The Black Onyx	1987	Role Playing Game	Bullet Proof Software	1
Bomb Jack (Japan, Australia) (Ja)	Bomb Jack	1985	Platform	Tehkan	1-2
Borderline (Japan, Europe, Australia, New Zealand) (En)	Borderline	1983	Shooter	Compile	1
C_So! (Japan)	C_So!	1985	Platform / Run & Jump/Platform	Compile	1
Castle, The (Japan)	The Castle	1986	Platform	ASCII	1
Chack'n Pop (Japan)	Chack'n Pop	1985	Action / Labyrinth/Action	SEGA AM2	1-2
Challenge Derby (Japan) (Othello Multivision)	Challenge Derby	1984	Horse racing/Sports with animals	Tsukuda Original	1
Champion Baseball (Japan, Australia, New Zealand) (Ja)	Champion Baseball	1983	Sports / Baseball/Sports	SEGA	1-2
Champion Billiards (Japan)	Champion Billiards	1986	Sports / Pool/Sports	Compile	1-2
Champion Boxing (Japan, New Zealand) (Ja)	Champion Boxing	1984	Sports / Boxing/Sports	SEGA	1-2
Champion Golf (Japan, Europe, Australia, New Zealand) (Ja)	Champion Golf	1983	Sports / Golf/Sports	Logitec	
Champion Ice Hockey (Japan)	Champion Ice Hockey	1985	Sports / Hockey/Sports	SEGA	1-2
Champion Kendou (Japan)	Champion Kendou	1986	Sports	SEGA	1-2
Champion Pro Wrestling (Japan)	Champion Pro Wrestling	1985	Sports / Wrestling/Sports	SEGA AM2	1-2
Champion Soccer (Japan, Europe) (Ja)	Champion Soccer	1984	Sports / Football (Soccer)/Sports	SEGA	1-2
Champion Tennis (Japan, Europe, Australia, New Zealand) (Ja)	Champion Tennis	1983	Sports / Tennis/Sports	SEGA	1-2
Championship Lode Runner (Japan, Australia) (Ja)	Championship Lode Runner	1985	Platform / Run & Jump/Platform	Compile	1
Choplifter (Japan, Australia) (Ja)	Choplifter	1985	Shoot'em Up / Horizontal/Shoot'em Up	Compile	1
Complete Arcade Pack Collection, The (New Zealand) (SF-7000)	Complete Arcade Pack Collection, The				
Congo Bongo (Japan)	Congo Bongo	1983	Platform	SEGA	1
Doki Doki Penguin Land (Japan)	Dokidoki Penguin Land	1985	Puzzle	SEGA	1-2
Dragon Wang (Japan)	Dragon Wang	1985	Platform / Fighter Scrolling/Platform	SEGA	1-2
Drol (Japan, Australia) (Ja)	Drol	1985	Platform / Run & Jump/Platform	SEGA	1
Elevator Action (Japan)	Elevator Action	1985	Platform / Shooter Scrolling/Platform	SEGA	1
Exerion (Japan, Europe, Australia, New Zealand) (En)	Exerion	1983	Shoot'em Up	SEGA	1-2
Flicky (Japan, New Zealand) (Ja)	Flicky	1985	Platform / Run & Jump/Platform	SEGA	1
Girl's Garden (Japan, Australia) (Ja)	Girl's Garden	1984	Adventure	SEGA	1-2
Golgo 13 (Japan)	Golgo 13	1984	Shooter	SEGA	1
GP World (Japan)	GP World	1985	Racing, Driving	SEGA	1
Gulkave (Japan)	Gulkave	1986	Shoot'em Up	Compile	1-2
Guzzler (Japan) (Othello Multivision)	Guzzler	1983	Action / Labyrinth/Action	Tsukuda Original	1
H.E.R.O. (Japan)	H.E.R.O.	1985	Platform	SEGA	1-2
Hang On II (Japan, Australia) (Ja)	Hang-On II	1985	Motorcycle race TPV/Racing, Driving	SEGA	1
Home Mahjong (Japan)	Home Mahjong	1984	Asiatic board game/Mahjong	SEGA	1-2
Hustle Chumy (Japan)	Hustle Chumy	1984	Platform / Run & Jump/Platform	Compile	1
Hyper Sports (Japan)	Hyper Sports	1985	Sports / Multisports/Sports	Konami	1-2
Lode Runner (Japan, Europe, Australia) (En)	Lode Runner	1984	Platform/Platform / Run & Jump	SEGA	1
Mahjong (Japan)	Mahjong	1983	Asiatic board game/Mahjong	SEGA	1
Monaco GP (Japan, Europe, Australia, New Zealand) (Ja)	Monaco GP	1984	Racing, Driving	SEGA	1
N-Sub (Japan, Europe, Australia, New Zealand) (Ja)	N-Sub	1983	Shooter / Space Invaders Like/Shooter	Compile	1-2
Ninja Princess (Japan, Australia) (Ja)	Ninja Princess	1986	Shooter	SEGA	1
Okamoto Ayako no Match Play Golf (Japan) (Othello Multivision)	Okamoto Ayako no Match Play Golf	1984	Sports / Golf/Sports	Tsukuda Original	1-2
Orguss (Japan, Europe, Australia, New Zealand) (En)	Orguss	1984	Shoot'em Up	SEGA	1
Othello (Japan)	Othello	1985	Asiatic board game	SEGA	1-2
Pacar (Japan, Europe, Australia, New Zealand) (En)	Pacar	1984	Action / Labyrinth/Action	SEGA	1
Pachinko (Japan)	Pachinko	1983	Casino	SEGA	1
Pachinko II (Japan)	Pachinko II	1984	Casino	SEGA	1
Pitfall II - The Lost Caverns (Japan)	Pitfall II : The Lost Caverns	1985	Platform	SEGA AM2	1-2
Pop Flamer (Japan, Europe, Australia, New Zealand) (En)	Pop Flamer	1983	Action / Labyrinth/Action	SEGA	1-2
Q-bert (Japan) (Othello Multivision)	Q*bert	1983	Platform	Tsukuda Original	1
Rock n' Bolt (Japan)	Rock n' Bolt	1985	Puzzle	SEGA AM2	1-2
Safari Hunting (Japan, Europe, Australia, New Zealand) (Ja)	Safari Hunting	1983	Shooter	Compile	1-2
