#name	crc	size	key
007 James Bond (Japan) (Othello Multivision)	90160849	16384	007 James Bond (Japan) (Othello Multivision)
007 James Bond (Japan) (Othello Multivision) (Alt)	a8b5b57f	40960	007 James Bond (Japan) (Othello Multivision)
Bank Panic (Japan)	d8a87095	32768	Bank Panic (Japan)
Black Onyx, The (Japan)	26ecd094	32768	Black Onyx, The (Japan)
Bomb Jack (Japan, Australia) (Ja)	ea0f2691	32768	Bomb Jack (Japan, Australia) (Ja)
Borderline (Japan, Europe, Australia, New Zealand) (En)	0b4bca74	16384	Borderline (Japan, Europe, Australia, New Zealand) (En)
C_So! (Japan)	be7ed0eb	32768	C_So! (Japan)
Castle, The (Japan)	092f29d6	32768	Castle, The (Japan)
Chack'n Pop (Japan)	d37bda49	32768	Chack'n Pop (Japan)
Challenge Derby (Japan) (Othello Multivision)	c5f014dc	40960	Challenge Derby (Japan) (Othello Multivision)
Challenge Derby (Japan) (Rev 1) (Othello Multivision)	c91551da	16384	Challenge Derby (Japan) (Othello Multivision)
Challenge Derby (Japan) (Rev 1) (Othello Multivision) (Alt)	02bc891f	40960	Challenge Derby (Japan) (Othello Multivision)
Champion Baseball (Japan)	5970a12b	16384	Champion Baseball (Japan, Australia, New Zealand) (Ja)
Champion Baseball (Japan, Australia, New Zealand) (Ja)	c0c16fa7	40960	Champion Baseball (Japan, Australia, New Zealand) (Ja)
Champion Billiards (Japan)	62b21e31	32768	Champion Billiards (Japan)
Champion Boxing (Japan) (Rev 1)	f8b2ac1d	32768	Champion Boxing (Japan, New Zealand) (Ja)
Champion Boxing (Japan, New Zealand) (Ja)	26f947d1	32768	Champion Boxing (Japan, New Zealand) (Ja)
Champion Golf (Japan) (Rev 1)	5a904122	32768	Champion Golf (Japan, Europe, Australia, New Zealand) (Ja)
Champion Golf (Japan, Europe, Australia, New Zealand) (Ja)	868419b5	32768	Champion Golf (Japan, Europe, Australia, New Zealand) (Ja)
Champion Ice Hockey (Japan)	bdc05652	32768	Champion Ice Hockey (Japan)
Champion Kendou (Japan)	10cdebce	32768	Champion Kendou (Japan)
Champion Pro Wrestling (Japan)	372fe6bc	32768	Champion Pro Wrestling (Japan)
Champion Soccer (Japan, Europe) (Ja)	6f39719e	16384	Champion Soccer (Japan, Europe) (Ja)
Champion Tennis (Japan, Europe, Australia, New Zealand) (Ja)	7c663316	8192	Champion Tennis (Japan, Europe, Australia, New Zealand) (Ja)
Championship Lode Runner (Japan, Australia) (Ja)	11db4b1d	32768	Championship Lode Runner (Japan, Australia) (Ja)
Choplifter (Japan, Australia) (Ja)	732b7180	32768	Choplifter (Japan, Australia) (Ja)
Choplifter (Japan, Australia) (Ja) (Beta)	ff435469	32768	Choplifter (Japan, Australia) (Ja)
Complete Arcade Pack Collection, The (New Zealand) (SF-7000)	ad19c0a0	163840	Complete Arcade Pack Collection, The (New Zealand) (SF-7000)
Congo Bongo (Japan)	5eb48a20	24576	Congo Bongo (Japan)
Congo Bongo (Japan, Europe) (Ja) (Rev 1) (Alt)	f1506565	40960	Congo Bongo (Japan)
