#key	style	ss_system_id
007 James Bond (Japan) (Othello Multivision)	mixrbv2	109
Bank Panic (Japan)	mixrbv2	109
Black Onyx, The (Japan)	mixrbv2	109
Bomb Jack (Japan, Australia) (Ja)	mixrbv2	109
Borderline (Japan, Europe, Australia, New Zealand) (En)	mixrbv2	109
C_So! (Japan)	mixrbv2	109
Castle, The (Japan)	mixrbv2	109
Chack'n Pop (Japan)	mixrbv2	109
Challenge Derby (Japan) (Othello Multivision)	mixrbv2	109
Champion Baseball (Japan, Australia, New Zealand) (Ja)	mixrbv2	109
Champion Billiards (Japan)	mixrbv2	109
Champion Boxing (Japan, New Zealand) (Ja)	mixrbv2	109
Champion Golf (Japan, Europe, Australia, New Zealand) (Ja)	mixrbv2	109
Champion Ice Hockey (Japan)	mixrbv2	109
Champion Kendou (Japan)	mixrbv2	109
Champion Pro Wrestling (Japan)	mixrbv2	109
Champion Soccer (Japan, Europe) (Ja)	mixrbv2	109
Champion Tennis (Japan, Europe, Australia, New Zealand) (Ja)	mixrbv2	109
Championship Lode Runner (Japan, Australia) (Ja)	mixrbv2	109
Choplifter (Japan, Australia) (Ja)	mixrbv2	109
Congo Bongo (Japan)	mixrbv2	109
Doki Doki Penguin Land (Japan)	mixrbv2	109
Dragon Wang (Japan)	mixrbv2	109
Drol (Japan, Australia) (Ja)	mixrbv2	109
Elevator Action (Japan)	mixrbv2	109
Exerion (Japan, Europe, Australia, New Zealand) (En)	mixrbv2	109
Flicky (Japan, New Zealand) (Ja)	mixrbv2	109
GP World (Japan)	mixrbv2	109
Girl's Garden (Japan, Australia) (Ja)	mixrbv2	109
Golgo 13 (Japan)	mixrbv2	109
Gulkave (Japan)	mixrbv2	109
Guzzler (Japan) (Othello Multivision)	mixrbv2	109
H.E.R.O. (Japan)	mixrbv2	109
Hang On II (Japan, Australia) (Ja)	mixrbv2	109
Home Mahjong (Japan)	mixrbv2	109
Hustle Chumy (Japan)	mixrbv2	109
Hyper Sports (Japan)	mixrbv2	109
Lode Runner (Japan, Europe, Australia) (En)	mixrbv2	109
Mahjong (Japan)	mixrbv2	109
Monaco GP (Japan, Europe, Australia, New Zealand) (Ja)	mixrbv2	109
N-Sub (Japan, Europe, Australia, New Zealand) (Ja)	mixrbv2	109
Ninja Princess (Japan, Australia) (Ja)	mixrbv2	109
Okamoto Ayako no Match Play Golf (Japan) (Othello Multivision)	mixrbv2	109
Orguss (Japan, Europe, Australia, New Zealand) (En)	mixrbv2	109
Othello (Japan)	mixrbv2	109
Pacar (Japan, Europe, Australia, New Zealand) (En)	mixrbv2	109
Pachinko (Japan)	mixrbv2	109
Pachinko II (Japan)	mixrbv2	109
Pitfall II - The Lost Caverns (Japan)	mixrbv2	109
Pop Flamer (Japan, Europe, Australia, New Zealand) (En)	mixrbv2	109
Q-bert (Japan) (Othello Multivision)	mixrbv2	109
Rock n' Bolt (Japan)	mixrbv2	109
Safari Hunting (Japan, Europe, Australia, New Zealand) (Ja)	mixrbv2	109
Safari Race (Japan, Europe, Australia, New Zealand) (Ja)	mixrbv2	109
San-nin Mahjong (Japan) (Othello Multivision)	mixrbv2	109
Sega Flipper (Japan, Europe, Australia, New Zealand) (En)	mixrbv2	109
Sega-Galaga (Japan, Australia) (Ja)	mixrbv2	109
Serizawa Hachidan no Tsumeshougi (Japan)	mixrbv2	109
Shinnyushain Tooru-kun (Japan)	mixrbv2	109
Sindbad Mystery (Japan, Europe, Australia, New Zealand) (En)	mixrbv2	109
Soukoban (Japan, Australia) (Ja)	mixrbv2	109
Space Armor (Japan) (Othello Multivision)	mixrbv2	109
Space Invaders (Japan)	mixrbv2	109
Space Mountain (Japan) (Othello Multivision)	mixrbv2	109
Space Slalom (Japan)	mixrbv2	109
Star Force (Japan, Australia) (Ja)	mixrbv2	109
Star Jacker (Japan)	mixrbv2	109
Super Tank (Japan)	mixrbv2	109
Wonder Boy (Japan, Australia) (Ja)	mixrbv2	109
Yamato (Japan, Europe, Australia, New Zealand) (En)	mixrbv2	109
Zaxxon (Japan)	mixrbv2	109
Zippy Race (Japan, Australia) (Ja)	mixrbv2	109
Zoom 909 (Japan)	mixrbv2	109
