#key	name	year	genre	developer	players
20 em 1 (Brazil)	20 Em 1	1995	Compilation	Tectoy	1
A-Team Music, The (Europe) (Proto) (Sound Data)	ZZZ(notgame):#NONGAME			Maxim	
Ace of Aces (Europe, Brazil) (En)	Ace of Aces	1991	Shooter / Plane, FPV/Shoot'em Up/Simulation/Shooter	Artech Studios	1
Acerte o Alvo (Brazil) (Mega Drive 4)	Acerte O Alvo	2007	Puzzle	Tectoy	1
Action Fighter (Japan, Europe) (En)	Action Fighter	1986	Racing, Driving	SEGA	1-2
Addams Family, The (Europe)	The Addams Family	1993	Platform	Ocean	1
Aerial Assault (USA, Brazil) (En)	Aerial Assault	1990	Shoot'em Up / Horizontal/Shoot'em Up	Sanritsu Denki	1
After Burner (World)	After Burner	1988	Shooter / Plane, TPV/Shooter	SEGA	1
Air Rescue (Europe, Brazil) (En)	Air Rescue	1992	Simulation	Sims	1
Aladdin (Europe, Brazil) (En)	Aladdin	1994	Platform	Disney Software	1
Alex Kidd - High-Tech World (USA, Europe, Brazil) (En)	Alex Kidd : High-Tech World	1989	Platform	SEGA	1
Alex Kidd - The Lost Stars (World)	Alex Kidd : The Lost Stars	1988	Platform	SEGA	1
Alex Kidd in Miracle World (World) (En) (Sega Ages)	Alex Kidd in Miracle World	1986	Platform/Platform / Run & Jump	SEGA	1
Alex Kidd in Shinobi World (USA, Europe, Brazil) (En)	Alex Kidd in Shinobi World	1990	Platform	SEGA	1
Alf (USA)	Alf	1989	Adventure	Nexa	1
Alien 3 (Europe, Brazil) (En)	Alien 3	1992	Platform	Probe Software	1-2
Alien Storm (Europe, Brazil) (En)	Alien Storm	1991	Beat'em Up	SEGA	1
Alien Syndrome (USA, Europe, Brazil) (En)	Alien Syndrome	1988	Shooter / Run and Gun/Shooter/Shoot'em Up	Sanritsu Denki	1-2
Altered Beast (USA, Europe, Brazil) (En)	Altered Beast	1989	Beat'em Up	SEGA	1
Andre Agassi Tennis (Europe, Brazil) (En)	Andre Agassi Tennis	1993	Sports / Tennis/Sports	Epyx	1-2
Arcade Smash Hits (Europe)	Arcade Smash Hits	1992	Compilation	Climax	1-2
Argos no Juujiken (Japan) (En)	Argos no Juujiken	1988	Platform	Salio	1-2
Ariel - The Little Mermaid (Brazil) (En)	Ariel - The Little Mermaid	1993	Platform	BlueSky Software	1
Assault City (Europe, Brazil) (En) (Light Phaser)	Assault City	1990	Lightgun Shooter	Sanritsu Denki	1
Asterix (Europe, Brazil) (En,Fr)	Astérix	1992	Platform	SEGA	1-2
Asterix and the Great Rescue (Europe, Brazil) (En,Fr,De,Es,It)	Astérix and the Great Rescue	1994	Platform	Core Design	1
Asterix and the Secret Mission (Europe, Brazil) (En,Fr,De)	Astérix and the Secret Mission	1994	Platform	SEGA	1
Astro Warrior & Pit Pot (Europe)	Astro Warrior & Pit Pot	1986	Compilation	SEGA	1-2
Astro Warrior (Japan, USA, Brazil) (En)	Astro Warrior	1986	Shoot'em Up / Vertical/Shoot'em Up	SEGA	1-2
Ayrton Senna's Super Monaco GP II (Europe, Brazil) (En)	Ayrton Senna's Super Monaco GP II	1992	Racing, Driving	SEGA	1
Aztec Adventure (World)	Aztec Adventure : The Golden Road to Paradise	1988	Puzzle/Strategy	SEGA	1
