#name	crc	size	key
20 em 1 (Brazil)	f0f35c22	262144	20 em 1 (Brazil)
3D Gunner (USA) (Beta)	56dcb2d4	32768	Missile Defense 3-D (USA, Europe, Brazil) (En)
Ace of Aces (Europe, Brazil) (En)	887d9f6b	262144	Ace of Aces (Europe, Brazil) (En)
Acerte o Alvo (Brazil) (Mega Drive 4)	b3440203	65536	Acerte o Alvo (Brazil) (Mega Drive 4)
Action Fighter (Japan, Europe) (En)	d91b340d	131072	Action Fighter (Japan, Europe) (En)
Action Fighter (Japan, Europe) (En) (Beta)	e2d765ad	131072	Action Fighter (Japan, Europe) (En)
Action Fighter (USA, Europe, Brazil) (En) (Rev 1)	3658f3e0	131072	Action Fighter (Japan, Europe) (En)
Addams Family, The (Europe)	72420f38	262144	Addams Family, The (Europe)
Aerial Assault (Europe, Brazil) (En)	ecf491cf	262144	Aerial Assault (USA, Brazil) (En)
Aerial Assault (USA, Brazil) (En)	15576613	262144	Aerial Assault (USA, Brazil) (En)
After Burner (World)	1c951f8e	524288	After Burner (World)
Air Rescue (Europe, Brazil) (En)	8b43d21d	262144	Air Rescue (Europe, Brazil) (En)
Aladdin (Europe, Brazil) (En)	c8718d40	524288	Aladdin (Europe, Brazil) (En)
Aleste (Japan) (En)	d8c4165b	131072	Power Strike (USA, Europe, Brazil) (En)
Alex Kidd - High-Tech World (USA, Europe, Brazil) (En)	013c0a94	131072	Alex Kidd - High-Tech World (USA, Europe, Brazil) (En)
Alex Kidd - High-Tech World (USA, Europe, Brazil) (En) (Beta)	2d7fabb2	131072	Alex Kidd - High-Tech World (USA, Europe, Brazil) (En)
Alex Kidd - The Lost Stars (World)	c13896d5	262144	Alex Kidd - The Lost Stars (World)
Alex Kidd in Miracle World (USA, Europe)	17a40e29	131072	Alex Kidd in Miracle World (World) (En) (Sega Ages)
Alex Kidd in Miracle World (USA, Europe, Brazil) (En) (Rev 1)	aed9aac4	131072	Alex Kidd in Miracle World (World) (En) (Sega Ages)
Alex Kidd in Miracle World (World) (En) (Sega Ages)	50a8e8a7	131072	Alex Kidd in Miracle World (World) (En) (Sega Ages)
Alex Kidd in Miracle World (World) (Ja) (Sega Ages)	6f5f3daa	131072	Alex Kidd in Miracle World (World) (En) (Sega Ages)
Alex Kidd in Shinobi World (USA, Europe, Brazil) (En)	d2417ed7	262144	Alex Kidd in Shinobi World (USA, Europe, Brazil) (En)
Alex Kidd no Miracle World (Japan)	08c9ec91	131072	Alex Kidd in Miracle World (World) (En) (Sega Ages)
Alf (USA)	82038ad4	131072	Alf (USA)
Alien 3 (Europe, Brazil) (En)	b618b144	262144	Alien 3 (Europe, Brazil) (En)
Alien Storm (Europe, Brazil) (En)	7f30f793	262144	Alien Storm (Europe, Brazil) (En)
Alien Syndrome (Japan) (En)	4cc11df9	262144	Alien Syndrome (USA, Europe, Brazil) (En)
