#key	style	ss_system_id
20 em 1 (Brazil)	box-3D	2
Ace of Aces (Europe, Brazil) (En)	box-3D	2
Acerte o Alvo (Brazil) (Mega Drive 4)	box-3D	2
Action Fighter (Japan, Europe) (En)	box-3D	2
Addams Family, The (Europe)	box-3D	2
Aerial Assault (USA, Brazil) (En)	box-3D	2
After Burner (World)	box-3D	2
Air Rescue (Europe, Brazil) (En)	box-3D	2
Aladdin (Europe, Brazil) (En)	box-3D	2
Alex Kidd - High-Tech World (USA, Europe, Brazil) (En)	box-3D	2
Alex Kidd - The Lost Stars (World)	box-3D	2
Alex Kidd in Miracle World (World) (En) (Sega Ages)	box-3D	2
Alex Kidd in Shinobi World (USA, Europe, Brazil) (En)	box-3D	2
Alf (USA)	box-3D	2
Alien 3 (Europe, Brazil) (En)	box-3D	2
Alien Storm (Europe, Brazil) (En)	box-3D	2
Alien Syndrome (USA, Europe, Brazil) (En)	box-3D	2
Altered Beast (USA, Europe, Brazil) (En)	box-3D	2
Andre Agassi Tennis (Europe, Brazil) (En)	box-3D	2
Arcade Smash Hits (Europe)	box-3D	2
Argos no Juujiken (Japan) (En)	box-3D	2
Ariel - The Little Mermaid (Brazil) (En)	box-3D	2
Assault City (Europe, Brazil) (En) (Light Phaser)	box-3D	2
Asterix (Europe, Brazil) (En,Fr)	box-3D	2
Asterix and the Great Rescue (Europe, Brazil) (En,Fr,De,Es,It)	box-3D	2
Asterix and the Secret Mission (Europe, Brazil) (En,Fr,De)	box-3D	2
Astro Warrior & Pit Pot (Europe)	box-3D	2
Astro Warrior (Japan, USA, Brazil) (En)	box-3D	2
Ayrton Senna's Super Monaco GP II (Europe, Brazil) (En)	box-3D	2
Aztec Adventure (World)	box-3D	2
BMX Trial - Alex Kidd (Japan) (En)	box-3D	2
Back to the Future Part II (Europe, Brazil) (En)	box-3D	2
Back to the Future Part III (Europe)	box-3D	2
Baku Baku (Brazil) (En)	box-3D	2
Bank Panic (Europe, Brazil) (En)	box-3D	2
Basketball Nightmare (Europe, Brazil) (En)	box-3D	2
Batman Returns (Europe, Brazil) (En)	box-3D	2
Battle Out Run (Europe, Brazil) (En)	box-3D	2
Battlemaniacs (Brazil) (En)	box-3D	2
Black Belt (USA, Europe, Brazil) (En)	box-3D	2
Blade Eagle 3-D (World)	box-3D	2
