#key	synopsis
20 em 1 (Brazil)	20 em 1 ist eine Zusammenstellung von 20 Minispielen für das SEGA Master System, die exklusiv in Brasilien veröffentlicht wurde. 20 em 1 enthält Aktivitäten, die gute Reflexe erfordern, um Fallen oder anderen Autofahrern auszuweichen, sowie Action-Minispiele, in denen Sie so viele Gegner wie möglich abschießen müssen, um die meisten Punkte zu erzielen. Alle Spiele dauern eine Minute, können aber nach Belieben neu gestartet werden, um Ihren Rekord zu schlagen und in jedem Minispiel eine Trophäe zu gewinnen.
A-Team Music, The (Europe) (Proto) (Sound Data)	Dies ist kein Spiel, sondern ein Modul, mit dem Sie die Farben und Peripheriegeräte Ihres Master Systems testen können.
Ace of Aces (Europe, Brazil) (En)	Ace of Aces versetzt Sie in das Cockpit der Mosquito, dem waghalsigen RAF-Jagdbomber des Zweiten Weltkriegs. Es ist eine atemberaubende Luftkampfsimulation, die das berauschende Gefühl des Fliegens mit dem nervenzerfetzenden Druck der feindlichen Konfrontation verbindet. Während des Zweiten Weltkriegs schossen Mosquitos 659 feindliche Flugzeuge und 500 V-Buzz-Bomben ab. Ihre einzigen Verbündeten sind Ihr Verstand, Ihre Waffen und Ihr Radar. Sind Sie der Herausforderung gewachsen? Schießen Sie die Nazi-Bomber ab, versenken Sie die U-Boote, entkommen Sie den V-Buzz-Bomben und halten Sie die feindlichen Züge an, um die Kriegsgefangenen zu befreien. Sollst du um einen Sturm herumfliegen oder um ihn herum? Navigieren Sie sorgfältig, ziehen Sie Ihre Geheimdienstberichte und Karten zu Rate, um eine Entscheidung zu treffen. Wähle deine Waffen und deinen Treibstoff mit Bedacht - wenn du einmal in einer Mission bist, gibt es kein Zurück mehr.
Acerte o Alvo (Brazil) (Mega Drive 4)	Ihr Ziel ist es, dass der Ball die andere Seite des Bildschirms erreicht. Dazu müssen Sie den Ball so werfen, dass er die blauen Wände trifft und so die Hindernisse ablenkt. Aber seien Sie vorsichtig! Der Ball darf nicht die roten Wände treffen, sonst verlieren Sie den Ball! Wenn Sie alle Bälle verlieren, haben Sie das Spiel verloren! Seien Sie vorsichtig und viel Glück!
Action Fighter (Japan, Europe) (En)	Dies ist ein Top-Down vertikal scrollenden Shooter, in dem du am Anfang ein Motorrad fährst. Du bist am Anfang ziemlich anfällig für Angriffe, aber Power-Ups kommen in Form eines Sega-Vans, an den du andocken musst. Beim ersten Mal Andocken erhält man doppeltes Feuer, beim zweiten Mal eine Rakete, beim dritten ein hinteres Kraftfeld und beim vierten Unverwundbarkeit. Durch das Zerstören von Autos und Motorrädern, die auf deinem Weg erscheinen, kannst du die Buchstaben A-F sammeln. Wenn du A bis D sammelst, kannst du in einen Sportwagen wechseln, der weniger anfällig für Angriffe ist, aber nicht so wendig. Sammle alle Buchstaben, um dich in ein High-Tech-Flugzeug verwandeln zu können. Dies ist die letzte Stufe einer der fünf Missionen. Nur das High-Tech-Flugzeug kann dich zu deinem Ziel führen, in dem sich dein Hauptziel versteckt. Es gibt auch ein Zeitlimit, innerhalb dessen du die Mission abschließen musst. Es ist ratsam, sich so schnell wie möglich in das High-Tech-Flugzeug zu verwandeln. Das Aufsammeln von Flaggen gibt dir Bonuspunkte. Bei 10.000 Punkten erhältst du ein zusätzliches Leben.
Addams Family, The (Europe)	The Addams Family ist ein Side-Scrolling-Platformer, der auf dem gleichnamigen Film basiert. Der Spieler schlüpft in die Rolle von Gomez, der nach seinen vermissten Familienmitgliedern sucht. Um sie zu finden, muss er sechs verschiedene Teile des Anwesens, z.B. den Wald, erkunden. Die Level sind einfache Plattform-Levels: Der Spieler bewegt sich von links nach rechts, während er viel springt und Gegnern ausweicht. Einige von ihnen können durch einen Sprung auf ihren Kopf erledigt werden. Der Hauptunterschied zu den anderen Versionen dieses Spiels ist ein einzigartiges Leveldesign. Es gibt auch eine Lebensanzeige, die es erlaubt, öfter getroffen zu werden, bevor man stirbt.
Aerial Assault (USA, Brazil) (En)	In Aerial Assault spielen Sie den Freedom Fighter, der fünf Ziele zerstören muss, darunter die Vinsk, den CB-53-Bomber, &quot;El&quot; und zwei Felsenfestungen. Während jeder der fünf Missionen treffen Sie auf feindliche Jets, Hubschrauber, U-Boote, Jeeps, Fallschirmbomben und verschiedene andere Gegner, die Sie zerstören müssen. Wenn Sie entweder die sich drehenden Kampfjets oder die kleinen fliegenden Hubschrauber abschießen, erhalten Sie ein Power-Up, mit dem Sie Ihre Feuerkraft verbessern oder verschlechtern können. Es gibt drei Schwierigkeitsstufen: &quot;Leicht&quot;, &quot;Normal&quot; und &quot;Schwer&quot;. Wenn Sie die Einstellung &quot;Leicht&quot; wählen, können Sie das Spiel nicht beenden.
After Burner (World)	Afterburner ist eine Umsetzung des gleichnamigen Arcade-Spiels. Das Ziel ist einfach: Verwenden Sie Ihre F-14 Tomcat und schießen Sie so viele Feinde wie möglich ab. Dieses Flugzeug hat zwei Waffen: Lock-On-Raketen und Vulcan-Kanonen (im Grunde Maschinengewehre). In einigen Versionen gibt es eine Option, um die Kanonen automatisch die ganze Zeit schießen zu lassen. Das Spiel wird aus der Sicht hinter dem Flugzeug gespielt, wobei Sie eine Welle nach der anderen von feindlichen Jägern bekämpfen. Aber im Grunde bietet es die übliche Shooter-Mechanik, d.h. Sie verbringen die meiste Zeit mit Ausweichen und Schießen. Manchmal stößt man auf ein befreundetes Versorgungsflugzeug und wenn man daran andockt, kann man seine Raketen wieder auffüllen.
Air Rescue (Europe, Brazil) (En)	Air Rescue ist ähnlich wie Choplifter! Sie sind der Fahrer eines Hubschraubers und das Ziel ist es, Geiseln zu retten, ohne von Soldaten, Jeeps, Panzern, Hubschraubern und bodengestützten Raketen abgeschossen zu werden, und sie zurück zur Basis zu bringen. Es passen maximal vier Geiseln gleichzeitig in den Hubschrauber, so dass mehrere Flüge notwendig sind. Sie können aus einer Vielzahl von Waffen wählen, mit denen Sie Feinde abschießen können. Es gibt fünf Runden, die Sie durch Vergnügungsparks, brennende Wolkenkratzer, Armeestützpunkte, versunkene U-Boote und Kavernen führen. Die Runde endet, wenn Sie die erforderliche Anzahl von Geiseln zu den Basen gebracht haben.
Aladdin (Europe, Brazil) (En)	Die 8-Bit-Systeme von Sega erhielten eine einzigartige Adaption des Disney-Zeichentrickfilms Aladdin aus dem Jahr 1992. Wie andere Versionen ist es ein seitlich scrollendes Actionspiel. Der Spieler steuert Aladdin und bahnt sich seinen Weg durch eine Vielzahl von Schauplätzen, darunter die Straßen von Agrabah, die Höhle der Wunder, den Palast des Sultans und mehr. Das Gameplay nimmt verschiedene Formen an: Einige Levels sind Verfolgungsjagden, bei denen Aladdin automatisch läuft, aber über Abgründe oder rollende Felsen und Fässer springen, herabfallenden Objekten ausweichen und vermeiden muss, von einer Wache erwischt zu werden. Andere Levels sind Platforming-Angelegenheiten: Aladdin muss laufen, springen und klettern, Schlüssel oder Schalter finden, um Türen zu öffnen, während er nach dem Ausgang sucht. Steine können eingesammelt und geworfen werden, um Feinde auszuschalten oder Knöpfe zu treffen, die sonst unerreichbar wären. Schließlich gibt es im Spiel auch mehrere Fahrten mit dem fliegenden Teppich, bei denen der Level automatisch rollt und der Spieler darauf achten muss, dass er alle Hindernisse im Weg umgeht.
