#key	synopsis
20 em 1 (Brazil)	20 em 1 (20 in 1) is a compilation of twenty previously unreleased games in a single cartridge, which came bundled with Tec Toy's Master System III Compact (Master System II in Europe and US). The games included are: The player is a construction worker trying to get falling tools with a bucket. He must get as many as he can until the time runs out. 2. The player is what looks like an alien machine, side scrolling over a planet collecting food and avoiding obstacles such as bombs. He must get as many as he can until the time runs out. 3. A skateboarding side scrolling game: the player must run as far as you he while avoiding obstacles such as holes in the street, until the time runs out. 4. The player is what seems to be a flea, running and jumping while the screen scrolls over a mountain of blocks, avoiding to get stuck behind the hills. 5. The player is a mouse trying to catch the cheese pieces that fall from the shelves. In order to do so, he can jump (by pressing button 1), and he must get as many as he can until the time runs out. 6. The player is a diver on a sunken ship, getting coins which fall from above, while avoiding being caught by a shark. He must get as many as he can until the time runs out. 7. A motocross racing game: the player must run down the road while avoiding obstacles trying to reach the next checkpoint before the time runs out. 8. An arcade racing game: the player must run down the street while avoiding getting hit by the other cars, until the time runs out. 9. The player is a little Brazilian Indian sailing his boat on a river, while avoiding obstacles such as rocks and arrows. He must get as far as he can until the time runs out. 10. A helicopter combat game. The player must shoot (by pressing button 1) the enemy helicopter as much as he can, avoiding to get hit, until the time runs out. 11. The player is a frog trying to catch the insects that fall from the sky. He must get as many as he can until the time runs out, while jumping from one victoria amazonica to another. He must project his tong (by pressing the button 1) in order to get the insects. 12. A classic space shooter. Fly your spaceship while the screen scrolls down, avoiding obstacles and shooting as many spaceships as he can, until the time runs out. 13. A side scrolling flight shooter. The player must shoot (by pressing button 1) as many balloons as he can while avoiding getting hit by other planes, until the time runs out. 14. A roller skating side scrolling game: the player must run as far as you he while avoiding obstacles such as logs in the street, until the time runs out. 15. A pong game with a twist: the player is a cooker trying to hit mini-pizzas inside an oven. The pizzas will bounce back if they don't get inside the oven. The player has 5 mini-pizzas and must try to hit as many as he can until the time runs out. 16. The player is a insecticide can trying to kill the insects that fall from the roof. He must kill as many as he can until the time runs out by shooting insecticide (by pressing the button 1) at them. 17. In this side scrolling game, the player is a boy who must run all the way right while shooting (by pressing button 1) other boys with his water gun, avoiding to get hit by them, before the time runs out. He must shoot as many boys as he can. 18. A skiing game: the player must race down the mountain while avoiding obstacles trying to reach the next checkpoint before the time runs out. 19. The player controls a police car running up the screen, while avoiding getting hit by other cars. He must get as far as he can, until the time runs out. 20. Another pong game: this time the player is at a squash court. He must try to hit the ball as much as he can until the time runs out. He has 3 balls. In order to win, the player must score a certain amount of points in each game (which vary from game to game). If the player scores less the specified amount, he loses. In the &quot;catch the object&quot; and shooter games (1, 2, 5, 6, 10, 11, 12, 13, 16 and 17), points are earned by catching or shooting objects. In racing games (3, 7, 8, 9, 14, 18 and 19), points are earned by the distance ran. In game 15 points are earned by hitting the oven; in game 20, by number of hits in the ball. In these games (15 and 20), the player can loose if he misses all his balls/pizzas. In game 4 no points are earned at all, and you'll loose if the character gets stuck and the screen scrolls over him. The game has only two songs, one played at the title screen, the other played during all gameplay. All the text in the game is in Portuguese.
Ace of Aces (Europe, Brazil) (En)	Ace of Aces puts you in the cockpit of the Mosquito, the Maverick RAF fighter bomber of World War II. It's white knuckle aerial combat simulation, combining the exhilaration of flight with the gut-wrenching pressure of enemy confrontation. During World War II, Mosquitos downed 659 enemy aircraft and 500 V-Buzz Bombs. Your only allies are your wits, your weapons and your radar. Are you equal to the challenge? Down the Nazi bombers, sink de U-boats, outrun the V-Buzz Bombs and stop the enemy trains to release the POWs. Should you fly around a storm or around? Navigate carefully, consult your intelligence reports and maps to make a decision. Choose your weapons and fuel wisely - once your're on a mission, there's no going back. Select one mission or any combination. If you complete all four successfully - and make it back alive - you'll become the most distinguished flight veteran of World War II - the Ace of Aces!
Acerte o Alvo (Brazil) (Mega Drive 4)	Your objective is to get the ball to reach the other side of the screen. For this, you must throw the ball so that it strikes the blue walls and thus deflects the obstacles. But be careful! The ball can not hit the red walls, or you will lose the ball! If you lose all the balls, you lose the game! Beware and good luck!
Action Fighter (Japan, Europe) (En)	This is a top down vertically scrolling shooter, in which you start off as a motorbike. You are quite vulnerable to attack at first, but power ups come in the form of a Sega van which you have to dock with. The first time you dock you get double fire, the second time gives you a rocket, the third gives a rear force field and the fourth invulnerablility. By destroying cars and bikes that appear on your way, you can collect A-F letters. Collecting A through to D allows you change into a sportscar which is less vulnerable to attack, but not as nimble. Collect all the letters in order to be able to transform into a high tech plane. This is the final stage of one of the five missions. Only the high tech plane can guide you to your destination in which your main target is hiding. There is also time limit in which you have to complete the mission. It is advisable to transform into the high tech plane as fast as it is possible. Picking up flags gives you bonus points with 10,000 points gaining you an extra life.
Addams Family, The (Europe)	The Addams Family is a side-scrolling platformer based on the movie of the same name. The player takes the role of Gomez who searches for his missing family members. To find them he has to explore six different parts of the mansion, e.g. the woods, which are basic platform levels: the player moves from left to right while jumping a lot and avoiding enemies. Some of them can be dispatched of by a jump on their heads. The main difference to the other versions of this game is a unique level design. There is also a life meter which allows to get hit more often before dying.
Aerial Assault (USA, Brazil) (En)	In Aerial Assault, you play the Freedom Fighter who must destroy five targets, including the Vinsk, CB-53 Bomber, &quot;El&quot;, and two cliff fortresses. During each of the five missions, you will encounter enemy jets, choppers, submarines, jeeps, parachute bombs, and several other enemies in which you must destroy. Shooting either the spinning fighters or the small flying helicopters will earn you a power-up that allows you to upgrade or downgrade your firepower. There are three difficult settings: &quot;Easy&quot;, &quot;Normal&quot;, and &quot;Hard&quot;. You will not be able to complete the game if you select the &quot;Easy&quot; setting.
After Burner (World)	Afterburner is a conversion of the arcade game of the same name. The goal is simple: use your F-14 Tomcat and shoot as many enemies as you can. This aircraft has two weapons: lock-on missiles and Vulcan cannons (basically machine guns). In some versions there is an option to let the cannons shoot automatically all the time. The game is viewed from behind the plane with you fighting wave after wave of enemy fighters. But at heart it offers the usual shooter mechanics, meaning you spend most of your time dodging and shooting. Sometimes you come across a friendly supply plane and if you dock with it you can replenish your missiles.
Air Rescue (Europe, Brazil) (En)	Air Rescue is similar to Choplifter!. You are a driver of a helicopter and the object is to rescue hostages without being shot down by soldiers, jeeps, tanks, choppers, and ground-based missiles, and bring them back to base. A maximum of four hostages can fit into the helicopter at any given time, so it is necessary to make more than one trip. You can choose from a variety of weapons that you can use to shoot down enemies. There are five rounds, which take you through theme parks, burning skyscrapers, army bases, sunken submarines, and caverns. The round ends when you have taken the required number of hostages to the bases.
Aladdin (Europe, Brazil) (En)	Sega's 8-bit systems received a unique adaptation of Disney's 1992 animated film Aladdin. Like other versions, it is a side-scrolling action game. The player controls Aladdin, making his way through a variety of locations, including the streets of Agrabah, the Cave of Wonders, the Sultan's palace and more. Gameplay takes several different forms: some levels are chases, where Aladdin runs automatically, but must be made to jump over chasms or rolling rocks and barrels, evade falling objects and avoid getting caught by a guard. Other levels are platforming affairs: Aladdin must run, jump and climb, find keys or switches to open doors while searching for the exit. Rocks can be collected and be thrown to dispatch enemies or hit buttons otherwise out of reach. Finally, there are also several magic carpet rides in the game, in which the level scrolls automatically and the player must make sure to avoid any obstacles in the way.
Alex Kidd - High-Tech World (USA, Europe, Brazil) (En)	Alex Kidd: High-Tech World is a platform game for Master System. The player embodies little Alex Kidd who must find eight card fragments to go and play in a brand new arcade. The game is broken down into action phases, fights in the forest against snarling ninjas, and adventure sequences where Alex has to talk to the locals to find the fragments and solve various puzzles.
