#key	synopsis
20 em 1 (Brazil)	20 en 1 es una compilación de juegos de Sega Master System que permite a los jugadores escoger entre 20 diferentes juegos. El título fue lanzado como un paquete de juegos de revisiones anteriores. En todos los juegos tienes 60 segundos para conseguir una determinada puntuación, que varía de juego en juego. En la mayoría de juegos solo dispones de los botones derecho y izquierdo, los cuales mueven al personaje su respectiva dirección, pero algunos permiten ejecutar saltos o disparo con botón 1 o 2.
A-Team Music, The (Europe) (Proto) (Sound Data)	No se trata de ningún juego, es un cartucho que sirve como test para probar los colores y los accesorios de Master System.
Ace of Aces (Europe, Brazil) (En)	Sobrevuelas Europa en tu avión. El armamento se ha elegido en función de tu misión: munición para la ametralladora, cohetes o granadas, es importante no sobrecargar el avión. Ace of Aces ofrece una amplia gama de opciones de combate en su menú. Cada uno de ellos corresponde a una técnica particular: además del combate aéreo, también hay que destruir un tren de mercancías y detener convoyes marítimos. Estas dos últimas situaciones le permiten utilizar la escotilla de liberación de bombas. Puedes navegar utilizando el mapa y tu brújula. Desgraciadamente, una vez que estás por debajo del techo de nubes, no puedes esperar ver al enemigo a través de la cabina... El tren o los barcos sólo son visibles a través de la escotilla de la aeronave, y sólo cuando se alcanza la altitud correspondiente.
Acerte o Alvo (Brazil) (Mega Drive 4)	Tu objetivo es conseguir que la pelota llegue al otro lado de la pantalla. Para esto, debes lanzar la pelota para que golpee las paredes azules y así desvíe los obstáculos. Pero ten cuidado! La pelota no puede golpear las paredes rojas, o perderás la pelota! Si pierdes todas las bolas, pierdes el juego! ¡Cuidado y buena suerte!
Action Fighter (Japan, Europe) (En)	Prepárate para desempeñar un papel como protagonista, en el increíble mundo del espionaje internacional. Recibirás cinco tareas diferentes, todas ellas llenas de acción y todo extremadamente peligroso. ¿Cuál es tu arma secreta? Un vehículo que se transforma en una docena de dispositivos letales diferentes. Tu motocicleta de alta velocidad se puede convertir en un coche personalizado y luego en un avión de reacción capaz de romper la barrera del sonido. Y todo en cuestión de segundos. ¿La prueba real? Saber cuándo usar cada arma. Porque elegir una máquina equivocada, en el momento equivocado, podrá resultar fatal.
Addams Family, The (Europe)	¡Han raptado a Morticia! El tio Fester ha perdido la memoria y está bajo el hechizo de Abigail Craven. Sólo Gómez puede levantar el dia y enfretarse al malvado Juez en un cimax de lo más grillado y fantasmal.
Aerial Assault (USA, Brazil) (En)	Es el siglo 21 y la N.A.C., un grupo terrorista temido de la galaxia, amenaza con destruir la Tierra. Han desarrollado una super arma &quot;EL&quot; capaz de destruir la capa de ozono de la Tierra. ¡Y han amenazado con usarlo! Como el mejor piloto de combate del mundo, te encuentras al mando de lo último en aviones de combate - el &quot; Freedon Figther.&quot; Armado con lo último en armas de alta tecnología. ¿Serás capaz de defender a la tierra contra la implacable N.A.C.? ¡Buena suerte!
After Burner (World)	El juego permite al jugador controlar un F-14 Tomcat que deberá destruir una serie de aviones enemigos a lo largo de 18 etapas. Al inicio del juego, el jugador despega desde un portaaviones llamado Sega Enterprise, que comparte un nombre similar a la utilizada en la película de 1986 Top Gun.
Air Rescue (Europe, Brazil) (En)	Métase con su helicóptero de rescate por pasajes subterráneos, vuele sobre ruinas en llamas y evite a sus traidores enemigos para salvar a los líderes del mundo de las manos de terroristas.
Aladdin (Europe, Brazil) (En)	Aladdin esquiva a los guardias en las calles de Agrabah, mientras intenta evitar las trampas disimuladas de la Cueva de las Maravillas y los peligros del Palacio del Sultán. Móntate en la Alfombra Mágica y cruza el imponente cielo. Luego desafía al Malvado Jafar a un duelo final de espadas y magia
Alex Kidd - High-Tech World (USA, Europe, Brazil) (En)	No todas las cosas son coser y cantar en la vida del Príncipe Heredero de Radactian. Cuando se abre la arcada del Mundo de la Alta Tecnologia, alguien del castillo rompe el mapa en ocho trozos. Pero es una arcada tan interesante que tienes que llegar a ella. ¡Es un juego emocionante para todos los muchachos como tú!
Alex Kidd - The Lost Stars (World)	¡Han robado las estrellas de los cielos del planeta Aries! Sólo una persona con sangre azul puede recuperarlas...esa es Alex Kidd. Acompáñele en un Viaje más allá del espacio, el tiempo y la imaginación para recuperar las estrellas de Aries.
Alex Kidd in Miracle World (World) (En) (Sega Ages)	Hace muchos siglos en el planeta Aries, vivía un chico llamado Alex Kidd. Durante siete años vivió en el Monte Eterno estudiando Shellcore, un arte antiguo que le hace a uno tan fuerte que puede romper rocas haciéndolas añicos. Un día, mientras abandonaba la montaña, encontró a un hombre moribundo que le dijo que la pacífica ciudad de Radaxian estaba en un grave peligro. Antes de que exhalara su último aliento, el hombre le dió a Alex un trozo de mapa y un medallón hecho de la piedra del sol. ¿Qué significa todo esto? La única forma de descubrirlo es viajando a través del Mundo Milagroso buscando las respuestas.
Alex Kidd in Shinobi World (USA, Europe, Brazil) (En)	Después de diez mil años, el una vez desaparecido Dark Ninja reaparece para realizar otro intento de conquista del Mundo Milagroso. ¡Alguien tendrá que pararle los pies de una vez para siempre! ¿Adivina quién es ese alguien, pues sí, Kidd, el príncipe que no conoce el miedo. ¡Él es el único que podrá hacerle frente!
Alf (USA)	Ayuda a ALF a intentar llegar a Marte para ver a sus amigos Skip y Rhonda! nnLa última aventura de ALF lo lleva fuera de la casa de los Tanner y le adentra en los suburbios, las profundidades de las cuevas subterráneas, el fondo del lago, e incluso la luna! nnMientras que ALF busca las piezas para construir su nave espacial, él es continuamente perseguido por el ATF (Alien Task Force) que no reparará en nada para evitar que ALF alcance su meta. Sin embargo, ALF no está completamente indefenso, ya que puede comprar y cambiar artículos que lo mantendrán lejos de sus garras.
Alien 3 (Europe, Brazil) (En)	Los Xenomorfos son rápidos, escupen ácido y estan justo ¡detrás de ti! No se tiene mucha visibilidad en estos conductos de aire. Es difícil respirar. Los estruja-caras pueden estar en cualquier parte. Debes encontrar el alien Nodriza. Cuanto más cerca estés más aliens encuentras...¡más vale que no sean ellos los que te encuentran a ti! Sigue diciéndote a ti mismo, &quot;todo esto no está pasando en realidad...¡sólo es un juego!
Alien Storm (Europe, Brazil) (En)	Los extraterrestres de forma cambiante se han hecho con la ciudad. Achicharre estas horribles criaturas y aplaste su tentativa de conquista global. ¡Entre en acción con lanzallamas, látigos eléctricos y más!
Alien Syndrome (USA, Europe, Brazil) (En)	Han llegado de más allá de las galaxias y han tomado a sus amigos como rehenes. Usted es un Soldado del Comando de Tierra. ¡Usted va a rescatarles!
Altered Beast (USA, Europe, Brazil) (En)	Eres un héroe resucitado de entre los muertos por el dios Zeus para rescatar a su hija Atenea. Con un escenario inspirado en la Antigua Grecia, debes luchar contra hordas de muertos vivientes y demonios, con un jefe al final de cada nivel hasta que te encuentres con el dios Neff, que tiene cautiva a la chica. El título Altered Beast se refiere a tus habilidades para cambiar de forma. En este juego de plataformas, puedes recolectar bolas espirituales al derrotar a los lobos de dos cabezas, lo que te permite mutar en diferentes bestias como un hombre lobo, un dragón, un tigre, un oso y otros dependiendo de la versión. Cada forma, ligada a un nivel, viene con habilidades especiales como vuelo y ataques poderosos, reemplazando fácilmente el conjunto básico de puñetazos y patadas en tu forma humana.
Andre Agassi Tennis (Europe, Brazil) (En)	El potente drive de Andre Agassi es tuyo. Conviértete en el mismo Agassi o juega contra él. Con 4 canchas, 8 jugadores de categoria, cada uno con un estilo de juego diferente, y un juez de silla que canta cada pelota, Andre Agassi Tennis es insuperable.
Arcade Smash Hits (Europe)	¡DEFIENDE ciudades de los interminables ataques nucleares en Missile Command®! ¡GOLPEA ladrillos con un bale y una pelota en Breakout®! ¡ERRADICA un montón de insectos mutantes del huerto en Centipede?! ¡Por primera vez, tres éxitos clásicos arcade del pasado aparecen juntos en un único cartucho con una jugabilidad ilimitada!
Argos no Juujiken (Japan) (En)	Un villano conocido como Ligar está a punto de conquistar la tierra de Argool. Tal es su poder que ningún ser vivo se atreve a enfrentarse a él. Pero el legendario guerrero Rygar se levanta de su tumba para restaurar la paz y la justicia. Armado con su famosa arma Diskarmor, Rygar comienza a recorrer las vastas tierras que conducen a la guarida del demonio, mientras sus secuaces tratarán detenerlo ... Rygar es un juego de acción de desplazamiento lateral. El jugador controla al héroe titular, avanzando por etapas pobladas por criaturas hostiles. Junto al Diskarmor, un arma que se parece a un escudo con una cadena unida a él, el héroe podrá usar otras armas, incluyendo proyectiles que se pueden disparar en cuatro direcciones. Varios &quot;poderes&quot; se dispersan a través de los niveles y se pueden recoger. Los efectos de estas poderes incluyen aumentar el poder de fuego del arma equipada, agregar tiempo al reloj, invisibilidad temporal, puntos extra, etc.
Ariel - The Little Mermaid (Brazil) (En)	El Rey Tritón y su hija Ariel, luchan contra los peligros de las profundidades. En el papel de Tritón rescata Ariel y destruye el camino de Ursula, la Bruja del Mar. Como Ariel lucha contra las criaturas embrujadas del mar y derrota a Ursula para salvar a Tritón y a los pobladores del mar.
Assault City (Europe, Brazil) (En) (Light Phaser)	¡Los robots se han vuelto locos! Fecha: Assault City, 2092 ¡Los robots se han amotinado! ¡El Control Central Computadorizado se encuentra en verdadero caos! ¡Los KillerBots (robots asesinos) armados se han vuelto locos y están reduciendo a los robots leales a chatarra y montones de servomotores funcionando sin control!
Asterix (Europe, Brazil) (En,Fr)	Panoramix, el Druida, cuya poción mágica ha impedido que su aldea caiga en manos de César, ¡ha sido raptado! ¡Únase a Asterix y Obelix en su intento de rescatar al druida y salvar la aldea!
Asterix and the Great Rescue (Europe, Brazil) (En,Fr,De,Es,It)	Panoramix el Druida e Idéfix han sido capturados por las malvadas fuerzas romanas. Utiliza tus pociones mágicas para ayudar a Astérix y Obélix luchar a través de 5 niveles para llegar hasta Roma y liberar a sus amiguetes de las garras del César.
Asterix and the Secret Mission (Europe, Brazil) (En,Fr,De)	Panoramix el druida se ha quedado sin poción mágica. Si se entera el César, la invasión estará asegurada. Asterix y Obelix parten para encontrar la hierbas necesarias. Una misión que les llevará por todo tipo de terrenos infectados de romanos, mares y rios, bosques y desiertos, templos y ruinas.
Astro Warrior & Pit Pot (Europe)	¡2 Super éxitos en un solo juego! nnHaz rendirse a los invasores y salva la galaxia en ASTRO WARRIOR. ¿Podrás encontrar un camino seguro a través de los mágicos laberintos en PIT POT?nn
Astro Warrior (Japan, USA, Brazil) (En)	Haga retroceder a los invasores y salve la galaxia con ASTRO WARRIOR.
