#key	synopsis
20 em 1 (Brazil)	20 em 1 est une compilation de 20 mini-jeux sur SEGA Master System sortie exclusivement au Brésil. 20 em 1 regroupe des activités nécessitant de bons réflexes pour esquiver les pièges ou les autres automobilistes ainsi que des mini-jeux d'action dans lesquels il faut abattre un maximum d'adversaires pour marquer le plus de points possible. Tous les jeux ont une durée d'une minute mais peuvent être relancés à volonté pour battre votre record et remporter un trophée dans chacun des mini-jeux.
Ace of Aces (Europe, Brazil) (En)	Vous survolez l'Europe à bord de votre avion. L'armement a été choisi en fonction de votre mission: munitions pour le fusil mitrailleur, roquettes ou grenades, il est important de ne pas surcharger l'avion. Ace of Aces propose dans son menu un grand choix de combats. Chacun d'eux correspond à une technique bien particulière : outre les combats aériens, vous devez également détruire un train de marchandises et stopper des convois maritimes. Ces deux dernières situations vous permettent d'utiliser la trappe de largage des bombes. Vous pouvez vous diriger à l'aide de la carte et de votre boussole. Malheureusement, une fois descendu au-dessous du plafond nuageux, inutile d'espérer voir l'ennemi par le cockpit... Le train ou les navires ne sont visibles que par la trappe ventrale de l'appareil, et ce, seulement lorsque vous atteignez l'altitude correspondante.
Acerte o Alvo (Brazil) (Mega Drive 4)	Votre objectif est que le ballon atteigne l'autre côté de l'écran. Pour cela, vous devez choisir sa position de départ ainsi que l'angle pour votre lancer. Rebondissez sur les murs bleus, mais évitez les murs rouges ! Reussirez vous à trouver la bonne trajectoire ?
Action Fighter (Japan, Europe) (En)	Action Fighter sur Master System est jeu d'action et de course. Le joueur incarne un agent du gouvernement qui doit effectuer une mission top secret. Il prend les commandes d'une moto pouvant se transformer en voiture puis en avion, en récupérant des lettres disséminées tout au long du parcours. Des camions estampillés Sega peuvent également améliorer le tir et la vitesse du véhicule.
Addams Family, The (Europe)	The Addams Family est un jeu de plates-formes sur Master System. L'histoire se situe vers la fin du film La Famille Addams alors que la famille est expulsée de son manoir par un avocat zélé. Comme si cela ne suffisait pas, on apprend que Morticia, Pugsley, Mercredi et les autres ont disparu ! Vous incarnez donc Gomez, seul rescapé, qui partira à la recherche de sa famille et affrontera tous ses ennemis jusqu'au dernier : l'avocat !
Aerial Assault (USA, Brazil) (En)	Dans Aerial Assault, l’'un des rares shot them up à scrolling horizontal de la Master system, vous êtes au commandes d’un appareil qui ressemble diablement à un F14 « Tomcat », et votre mission, si vous l'’acceptez, est de détruire une force militaire ennemie dont l'’arme principal est un puissant canon laser baptisé le « E.L. ». Cette armée dispose également d’une forteresse rocheuse, d'’un gigantesque bombardier et d'’un navire de guerre surarmé, qu'’il vous faudra également anéantir au cours des différents stages. L'’opposition à laquelle vous ferez face sera tout autant aérienne (chasseurs, bombardiers, hélicoptères) que terrestre (tanks, tourelles de DCA) ou même maritime (navires de guerre, sous marin).
After Burner (World)	Directement issu des salles d'arcade, After Burner sur Master System vous permet de vous installer dans le cockpit d'un F-14 Thunder Cat pour une série de missions en haute altitude. Ce shoot'em up vous donne accès à tout l'armement que l'on peut attendre d'un avion de combat dont les précieux missiles.
Air Rescue (Europe, Brazil) (En)	Air Rescue est un jeu d'action/tir sur Master System. Vous contrôlez un hélicoptère de sauvetage et vous devez secourir les otages qui sont aux mains des terroristes. Pour crier victoire, tirez sur les ennemis et dépliez votre échelle pour faire monter les prisonniers.
Aladdin (Europe, Brazil) (En)	Reprenant les différentes séquences du film d'animation de Disney, Aladdin sur Master System permet de retrouver tous les personnages de l'histoire. Ce jeu de plates-formes propose effectivement de suivre Aladdin des rues d'Agrabah aux couloirs du palais royal en passant bien sûr par la célèbre caverne aux merveilles. Le Génie est aussi de la partie et permet de gagner des bonus.
Alex Kidd - High-Tech World (USA, Europe, Brazil) (En)	Alex Kidd : High-Tech World est un jeu de plates-formes sur Master System. Le joueur incarne le petit Alex Kidd qui doit retrouver huit fragments de carte pour aller jouer dans une toute nouvelle salle d'arcade. Le jeu est décomposé en des phases d'action, des combats en forêts contre des ninjas hargneux, et des séquences d'aventures où Alex doit discuter avec les autochtones pour retrouver les fragments et résoudre diverses énigmes.
