#key	synopsis
20 em 1 (Brazil)	20 em 1 é uma compilação de jogos da Toy Tec que permite aos jogadores escolher entre 20 diferentes jogos. O título foi lançado exclusivamente no Brasil como um pacote de jogos, incluído com revisões posteriores do. Master System. Todos os jogos lhe dão 60 segundos para atingir uma determinada pontuação, que varia de jogo para jogo. Na maioria dos jogos os únicos botões disponíveis são Esquerda e Direita, que mover o personagem para a respectiva direção, mas alguns jogos permitem que você execute uma ação, como saltos ou tiro com o botão 1 ou 2.
Ace of Aces (Europe, Brazil) (En)	Sobrevoa a Europa no seu avião. O armamento foi escolhido de acordo com a sua missão: munições para a metralhadora, foguetes ou granadas, é importante não sobrecarregar o avião. Ace of Aces oferece uma vasta gama de opções de combate no seu menu. Cada uma delas corresponde a uma técnica particular: para além do combate aéreo, é necessário destruir também um comboio de mercadorias e parar os comboios marítimos. Estas duas últimas situações permitem-lhe utilizar a escotilha de libertação da bomba. Pode navegar usando o mapa e a sua bússola. Infelizmente, uma vez abaixo do tecto das nuvens, não se pode esperar ver o inimigo através do cockpit... O comboio ou navios só são visíveis através da escotilha do umbigo do avião, e depois só quando se atinge a altitude correspondente.
Acerte o Alvo (Brazil) (Mega Drive 4)	Seu objetivo é fazer a bolinha chegar ao outro lado da tela. Para isso, você deve lançar a bola de modo que ela rebata nas paredes azuis e assim desvie dos obstáculos. Mas cuidado! A bola não pode bater nas paredes vermelhas, ou você perderá a bola! Se você perder todas as bolas, você perde o jogo! Cuidado e boa sorte!
Action Fighter (Japan, Europe) (En)	Prepare-se para desempenhar um papel de protagonista no incrível mundo da espionagem internacional. Você terá cinco tarefas diferentes, todas repletas de ação e ainda assim extremamente perigosas. Qual é a sua arma secreta? Um veículo que se transforma em uma dúzia de diferentes dispositivos letais. Sua motocicleta de alta velocidade pode ser convertida em um carro personalizado e, em seguida, um avião a jato capaz de romper a barreira do som. E tudo em questão de segundos. É o teste real? Saber quando usar cada arma. Por que escolher a máquina errada, na hora errada, pode ser fatal.
Addams Family, The (Europe)	Morticia foi raptada! Tio Fester perdeu a memória e caiu sob o feitiço de Abigail Craven - só Gomez pode salvar o dia, finalmente confrontando o mal Judge! Você se atreve a enfrentar essa assustadora aventura?
Aerial Assault (USA, Brazil) (En)	É o século 21 e N.A.C., um grupo terrorista temido da galáxia, ameaça destruir a Terra. Eles desenvolveram um super arma &quot;EL&quot; capaz de destruir a camada de ozônio da Terra. E eles têm ameaçado usá-la! Como o melhor piloto de caça do mundo, você está no comando de um dos últimos aviões de combate - o &quot;Freedon Figther&quot;. Armado com as últimas armas de alta tecnologia. você será capaz de defender a terra contra a implacável N.A.C.? Boa sorte!
After Burner (World)	Este simulador permite ao jogador controlar um jato F-14 Tomcat que deve destruir uma série de jatos inimigos ao longo de 18 fases. No início do jogo você decola de um porta-aviões chamado Sega Enterprise, que compartilha um nome semelhante ao usado no filme de 1986 Top Gun.
Air Rescue (Europe, Brazil) (En)	Air Rescue é semelhante ao jogo Choplifter !. Você é o piloto de um helicóptero e o objetivo é resgatar reféns - sem ser abatido por soldados, jipes, tanques, helicópteros e mísseis terrestres - trazendo-os de volta à base. Existe um limite de 4 reféns por voo, portanto é necessário fazer mais de uma viagem. Você pode escolher entre uma variedade de armas para derrubar os inimigos. Há cinco fases, que passam por parques temáticos, arranha-céus queimando, bases do exército, submarinos e cavernas. A fase termina quando você resgata o número necessário de reféns para as bases.
Aladdin (Europe, Brazil) (En)	Meu caro amigo... esfregue esta embalagem mágica que 3 desejos seus serão realizados. 1º: Será concedida a você a maior aventura de todos os tempos. Você será levado à Arábia e entrará na pele do próprio Aladdin, com direito a namorar a princesa Jasmine, voar de tapete mágico, virar um príncipe e ganhar a amizade do macaquinho maus simpático do mundo. 2º: Você ganhará a habilidade necessária para atravessar as 6 fases de Aladdin, incluindo a Caverna dos Tesouros, os Telhados de Agrabah e o Palácio do Sultão, enfrentando os soldados e a magia negra do malvado Jafar. 3º e último: Você terá direito a mil e uma noites de diversão, animadas por 4 Mega de incríveis gráficos e pela trilha sonora que ganhou até um Oscar da Academia®! Agora, se ainda assim você não gostar de Aladdin... nem um Gênio resolve o seu problema!
Alex Kidd - High-Tech World (USA, Europe, Brazil) (En)	Alex e seus amigos precisam encontrar oito peças de um mapa inteligente escondido dentro do castelo para encontrar o novo Arcade. Obter todas as peças é apenas o começo, ele deve então lutar com ninjas assassinos em uma floresta, entrar na cidade para fazer as tarefas necessárias, obter um passe de viagem, em seguida, passar por uma segunda floresta cheia de outros perigos. A pergunta é: será que Alex vai fazer o seu caminho para o Arcade antes das 17:00? Alex Kidd: High-Tech World permite que você retome um jogo salvo. Tudo que você tem a fazer é digitar uma senha, e o jogo continua de onde você parou. O jogo é baseado no tempo, e os eventos só podem acontecer em determinados momentos. Por exemplo, certos personagens aparecerão a cada trinta minutos. Durante o jogo, você pode acessar uma tela de status, que ajuda a acompanhar o tempo e muito mais. Há seis andares dentro do castelo, incluindo o sótão. Em alguns andares, existem telefones que você pode usar para pedir ajuda de outro personagem, ou pedir uma pizza. Existem também soluções alternativas para alguns quebra-cabeças no jogo. A demonstração no início do jogo pode dar uma das peças do mapa.
