#key	name	year	genre	developer	players
2do Aru Koto wa Sando R (Japan)	Puzzle & Action : 2do Arukoto ha Sand-R	1996	Action / Adventure/Action	CRI	1-2
2Tax Gold (Japan)	2Tax Gold	1997	Quiz / Japanese/Quiz	Atelier Double	1
3D Baseball (USA)	3D Baseball	1996	Sports / Baseball/Sports	Crystal Dynamics	1-2
3D Baseball - The Majors (Japan)	3D Baseball	1996	Sports / Baseball/Sports	Crystal Dynamics	1-2
3D Lemmings (Europe)	3D Lemmings	1996	Action / Adventure/Action	Clockwork Games	1
3D Mission Shooting - Finalist (Japan)	Tunnel B1	1996	Shooter / FPV/Shooter	NEON Software	1
3x3 Eyes - Kyuusei Koushu S (Japan) (Disc 1)	3x3 Eyes : Kyuusei Koushu S	1996	Adventure	Nihon Create	1
6 Inch My Darling (Japan)	6 Inch My Darling	1998	Simulation/Adventure	Kindle Imagine Develop	1
Actua Golf (Europe) (En,Fr,De)	VR Golf '97	1996	Sports / Golf/Sports	Gremlin Interactive	1-4
Actua Soccer (Japan)	VR Soccer	1996	Sports / Football (Soccer)/Sports	Gremlin Interactive	1-2
Actua Soccer - Club Edition (Europe)	Actua Soccer : Club Edition	1997	Sports / Football (Soccer)/Sports	Gremlin Interactive	1-2
Advanced V.G. (Japan)	Advanced Variable Geo	1997	Fighting / Versus/Fighting	Interrupt	1-2
Advanced World War - Sennen Teikoku no Koubou - Last of the Millennium (Japan) (2M)	Advanced World War : Sennen Teikoku no Koubou : Last of the Millennium	1997	Strategy/Simulation	Sega CS2	1-4
AI Igo (Japan)	AI Igo	1997	Go/Asiatic board game	ISCO	1-2
AI Shougi (Japan)	AI Shougi	1995	Shougi/Asiatic board game	Something Good	1
AI Shougi 2 (Japan)	AI Shougi 2	1998	Shougi/Asiatic board game	Something Good	1-2
Air Management '96 (Japan)	Air Management '96	1996	Build And Management/Simulation	Koei	1-4
Airs Adventure (Japan)	Airs Adventure	1996	Role Playing Game	GAME	1
Akumajou Dracula X - Gekka no Yasoukyoku (Japan) (2M)	Akumajou Dracula X : Gekka no Yasoukyoku	1998	Action / Adventure/Action	Konami Computer Entertainment	1
Albert Odyssey - Legend of Eldean (USA)	Albert Odyssey : Legend of Eldean	1997	Role Playing Game	Sunsoft	1
Albert Odyssey Gaiden - Legend of Eldean (Japan) (1M)	Albert Odyssey : Legend of Eldean	1997	Role Playing Game	Sunsoft	1
Album Club (Mune Kyun) - St. Paulia Jogakuin (Japan)	Album Club : Mune Kyun Saint Paulia Jogakuin	1997	Adults/Simulation	Societa Daikanyama	1
Alien Trilogy (USA)	Alien Trilogy	1996	Shooter / FPV/Shooter	Probe Entertainment	1
All-Star Baseball '97 Featuring Frank Thomas (USA)	All-Star Baseball '97 Featuring Frank Thomas	1997	Sports / Baseball/Sports	Iguana Entertainment	1-2
Alone in the Dark - Jack Is Back (Europe) (En,Fr,De,Es,It)	Alone in the Dark : One-Eyed Jack's Revenge	1996	Adventure / Survival Horror/Adventure	Infogrames	1
Alone in the Dark - One-Eyed Jack's Revenge (USA)	Alone in the Dark : One-Eyed Jack's Revenge	1996	Adventure / Survival Horror/Adventure	Infogrames	1
Alone in the Dark 2 (Japan)	Alone in the Dark : One-Eyed Jack's Revenge	1996	Adventure / Survival Horror/Adventure	Infogrames	1
Amagi Shien (Japan)	Amagi Shien	1997	Adventure	Success	1
America Oudan Ultra Quiz (Japan)	America Oudan Ultra Quiz	1995	Quiz / Japanese/Quiz	Pegasus Japan	1-4
Amok (USA)	Amok	1997	Shooter / TPV/Shooter	Lemon	1-2
Andretti Racing (USA)	Andretti Racing	1996	Racing, Driving	Stormfront Studios	1-2
