#name	crc	size	key
2Tax Gold (Japan)	af414468	4462	2Tax Gold (Japan)
2do Aru Koto wa Sando R (Japan)	8025b462	255	2do Aru Koto wa Sando R (Japan)
3D Baseball (USA)	b72d70f5	204	3D Baseball (USA)
3D Baseball - The Majors (Japan)	bb6fd83b	257	3D Baseball - The Majors (Japan)
3D Lemmings (Europe)	5cb3d957	2742	3D Lemmings (Europe)
3D Lemmings (Japan)	d8968970	2741	3D Lemmings (Europe)
3D Mission Shooting - Finalist (Japan)	408735bb	1545	3D Mission Shooting - Finalist (Japan)
3x3 Eyes - Kyuusei Koushu S (Japan) (Disc 1)	3d208011	557	3x3 Eyes - Kyuusei Koushu S (Japan) (Disc 1)
3x3 Eyes - Kyuusei Koushu S (Japan) (Disc 2)	35469275	281	3x3 Eyes - Kyuusei Koushu S (Japan) (Disc 1)
3x3 Eyes - Kyuusei Koushu S (Japan) (Disc 3) (Special CD-ROM)	bee88fa8	935	3x3 Eyes - Kyuusei Koushu S (Japan) (Disc 1)
6 Inch My Darling (Japan)	2cb4d388	220	6 Inch My Darling (Japan)
AI Igo (Japan)	a6e02ed6	198	AI Igo (Japan)
AI Shougi (Japan)	49d581a1	227	AI Shougi (Japan)
AI Shougi 2 (Japan)	33f4e868	11630	AI Shougi 2 (Japan)
Actua Golf (Europe) (En,Fr,De)	3897428e	230	Actua Golf (Europe) (En,Fr,De)
Actua Golf (Japan)	34cb1a11	229	Actua Golf (Europe) (En,Fr,De)
Actua Soccer (Japan)	c1b7360f	233	Actua Soccer (Japan)
Actua Soccer - Club Edition (Europe)	c80dc962	242	Actua Soccer - Club Edition (Europe)
Advanced V.G. (Japan)	ee4e7099	2418	Advanced V.G. (Japan)
Advanced World War - Sennen Teikoku no Koubou - Last of the Millennium (Japan) (2M)	d14688da	4277	Advanced World War - Sennen Teikoku no Koubou - Last of the Millennium (Japan) (2M)
Advanced World War - Sennen Teikoku no Koubou - Last of the Millennium (Japan) (Rev B) (22M)	91d7b221	4493	Advanced World War - Sennen Teikoku no Koubou - Last of the Millennium (Japan) (2M)
Air Management '96 (Japan)	33aa2611	4966	Air Management '96 (Japan)
Airs Adventure (Japan)	a896e163	237	Airs Adventure (Japan)
Akumajou Dracula X - Gekka no Yasoukyoku (Japan) (2M)	2845abea	299	Akumajou Dracula X - Gekka no Yasoukyoku (Japan) (2M)
Albert Odyssey - Legend of Eldean (USA)	0cc84af5	2953	Albert Odyssey - Legend of Eldean (USA)
Albert Odyssey - Legend of Eldean (USA) (RE)	bb002443	3063	Albert Odyssey - Legend of Eldean (USA)
Albert Odyssey Gaiden - Legend of Eldean (Japan) (1M)	49335b73	3261	Albert Odyssey Gaiden - Legend of Eldean (Japan) (1M)
Albert Odyssey Gaiden - Legend of Eldean (Japan) (2M)	b4c413e3	3261	Albert Odyssey Gaiden - Legend of Eldean (Japan) (1M)
Albert Odyssey Gaiden - Legend of Eldean (Japan) (3M)	f25114d5	3238	Albert Odyssey Gaiden - Legend of Eldean (Japan) (1M)
Album Club (Mune Kyun) - St. Paulia Jogakuin (Japan)	ea06a449	274	Album Club (Mune Kyun) - St. Paulia Jogakuin (Japan)
Alien Trilogy (Europe) (En,Fr,Es,It) (4S)	760bf055	1909	Alien Trilogy (USA)
Alien Trilogy (Europe) (En,Fr,Es,It) (7S)	9262bb34	1886	Alien Trilogy (USA)
Alien Trilogy (Europe) (En,Fr,Es,It) (Beta) (1996-07-23)	41c782dd	1820	Alien Trilogy (USA)
Alien Trilogy (Germany)	c5a8aa9c	1634	Alien Trilogy (USA)
Alien Trilogy (Japan)	b2fedf3c	1629	Alien Trilogy (USA)
Alien Trilogy (Japan) (Demo)	a0f8fb17	371	Alien Trilogy (USA)
Alien Trilogy (USA)	a7871d68	1601	Alien Trilogy (USA)
All-Star Baseball '97 Featuring Frank Thomas (USA)	065f764b	270	All-Star Baseball '97 Featuring Frank Thomas (USA)
Alone in the Dark - Jack Is Back (Europe) (En,Fr,De,Es,It)	250a2d56	286	Alone in the Dark - Jack Is Back (Europe) (En,Fr,De,Es,It)
Alone in the Dark - One-Eyed Jack's Revenge (USA)	3c748d54	268	Alone in the Dark - One-Eyed Jack's Revenge (USA)
Alone in the Dark 2 (Japan)	03918d00	247	Alone in the Dark 2 (Japan)
Amagi Shien (Japan)	f02d2ab3	208	Amagi Shien (Japan)
America Oudan Ultra Quiz (Japan)	31c6c9af	257	America Oudan Ultra Quiz (Japan)
Amok (Europe) (En,Fr,De,Es,It,Nl)	0e8ca6eb	998	Amok (USA)
Amok (Japan)	92297967	853	Amok (USA)
Amok (USA)	3ea7bee7	814	Amok (USA)
AnEarth Fantasy Stories - The First Volume (Japan)	552a3005	581	AnEarth Fantasy Stories - The First Volume (Japan)
Andretti Racing (Europe)	a6b66789	595	Andretti Racing (USA)
Andretti Racing (France)	d4fb42a8	595	Andretti Racing (USA)
Andretti Racing (Germany)	01fc6c4d	600	Andretti Racing (USA)
Andretti Racing (USA)	4a6030a9	580	Andretti Racing (USA)
Angel Graffiti S - Anata e no Profile (Japan)	f23b88b8	283	Angel Graffiti S - Anata e no Profile (Japan)
Angel Paradise Vol. 1 - Sakaki Yuko - Koi no Yokan in Hollywood (Japan)	93de527b	335	Angel Paradise Vol. 1 - Sakaki Yuko - Koi no Yokan in Hollywood (Japan)
Angel Paradise Vol. 2 - Yoshino Kimika - Isshoni I-ta-i in Hawaii (Japan)	ff6c242b	339	Angel Paradise Vol. 2 - Yoshino Kimika - Isshoni I-ta-i in Hawaii (Japan)
Angelique Duet (Japan)	e56d3888	358	Angelique Duet (Japan)
Angelique Special (Japan)	e087424b	11045	Angelique Special (Japan)
Angelique Special 2 (Japan)	540cba8a	373	Angelique Special 2 (Japan)
Another Memories (Japan)	328384b1	459	Another Memories (Japan)
Aqua-world - Umi Monogatari (Japan)	a8ebf8f2	263	Aqua-world - Umi Monogatari (Japan)
Aquazone - Desktop Life (Japan)	4de6a10b	1270	Aquazone - Desktop Life (Japan)
Aquazone - Desktop Life Option Disc Series 1 - Angel Fish (Japan) (Rev A)	b86d2c58	1690	Aquazone - Desktop Life Option Disc Series 1 - Angel Fish (Japan) (Rev A)
Aquazone - Desktop Life Option Disc Series 2 - Black Molly (Japan) (Rev A)	6a7c3afb	1700	Aquazone - Desktop Life Option Disc Series 2 - Black Molly (Japan) (Rev A)
Aquazone - Desktop Life Option Disc Series 3 - Blue Emperor (Japan) (Rev A)	f3bf69af	1710	Aquazone - Desktop Life Option Disc Series 3 - Blue Emperor (Japan) (Rev A)
Aquazone - Desktop Life Option Disc Series 4 - Clown Loach (Japan) (Rev A)	072ff216	1700	Aquazone - Desktop Life Option Disc Series 4 - Clown Loach (Japan) (Rev A)
Aquazone - Desktop Life Option Disc Series 5 - False Rummy-Nose (Japan) (Rev A)	e68bb9a2	1750	Aquazone - Desktop Life Option Disc Series 5 - False Rummy-Nose (Japan) (Rev A)
Arcade Gears Vol. 1 - Pu-Li-Ru-La (Japan)	66b026c4	4062	Arcade Gears Vol. 1 - Pu-Li-Ru-La (Japan)
Arcade Gears Vol. 2 - Gun Frontier (Japan)	18bc7a09	2471	Arcade Gears Vol. 2 - Gun Frontier (Japan)
Arcade Gears Vol. 3 - Wonder 3 (Japan)	623a0121	8650	Arcade Gears Vol. 3 - Wonder 3 (Japan)
Arcade Gears Vol. 4 - ImageFight & XMultiply (Japan)	c2848afb	5274	Arcade Gears Vol. 4 - ImageFight & XMultiply (Japan)
Arcade's Greatest Hits (USA)	cf07a235	371	Arcade's Greatest Hits (USA)
Arcade's Greatest Hits - The Atari Collection 1 (Europe)	93211bf4	432	Arcade's Greatest Hits - The Atari Collection 1 (USA)
Arcade's Greatest Hits - The Atari Collection 1 (USA)	43ab71e8	423	Arcade's Greatest Hits - The Atari Collection 1 (USA)
Arcana Strikes (Japan)	094cad87	237	Arcana Strikes (Japan)
Area 51 (Europe) (En,Fr,De,Es)	ba796780	230	Area 51 (USA)
Area 51 (Japan)	43e51b07	200	Area 51 (USA)
Area 51 (USA)	1b63d9e3	196	Area 51 (USA)
Area 51 (USA) (Beta) (1996-11-08)	6c5dde62	236	Area 51 (USA)
Arthur to Astaroth no Nazo Makaimura - Incredible Toons (Japan)	9708ef5a	3007	Arthur to Astaroth no Nazo Makaimura - Incredible Toons (Japan)
Assault Rigs (Japan)	d62ea81a	1707	Assault Rigs (Japan)
Assault Suit Leynos 2 (Japan)	98b05ff0	1741	Assault Suit Leynos 2 (Japan)
Astal (USA) (1S)	31b36f8b	225	Astal (USA) (1S)
Astal (USA) (2S)	4c81a5dc	225	Astal (USA) (1S)
Astal (USA) (3S)	67901c11	225	Astal (USA) (1S)
Astra Superstars (Japan)	61c7c486	218	Astra Superstars (Japan)
Asuka 120% Limited - Burning Fest. Limited (Japan)	acff8e66	3630	Asuka 120% Limited - Burning Fest. Limited (Japan)
Athlete Kings (Europe)	37647e6f	1269	Athlete Kings (Europe)
Atlantis - The Lost Tales (Europe) (En,De,Es) (Disc 1)	6d436743	278	Atlantis - The Lost Tales (Europe) (En,De,Es) (Disc 1)
Atlantis - The Lost Tales (Europe) (En,De,Es) (Disc 2)	3204c528	278	Atlantis - The Lost Tales (Europe) (En,De,Es) (Disc 1)
Atlantis - The Lost Tales (France) (Disc 1)	b1d64bb1	256	Atlantis - The Lost Tales (Europe) (En,De,Es) (Disc 1)
Atlantis - The Lost Tales (France) (Disc 2)	bec28a54	256	Atlantis - The Lost Tales (Europe) (En,De,Es) (Disc 1)
Ayakashi Ninden Kunoichiban Plus (Japan) (Disc 1)	f7367f15	725	Ayakashi Ninden Kunoichiban Plus (Japan) (Disc 1)
Ayakashi Ninden Kunoichiban Plus (Japan) (Disc 2)	10cecaad	725	Ayakashi Ninden Kunoichiban Plus (Japan) (Disc 1)
Azel - Panzer Dragoon RPG (Japan) (Demo)	1a492e40	273	Azel - Panzer Dragoon RPG (Japan) (Disc 1) (1M)
Azel - Panzer Dragoon RPG (Japan) (Disc 1) (1M)	93ca1bd3	428	Azel - Panzer Dragoon RPG (Japan) (Disc 1) (1M)
Azel - Panzer Dragoon RPG (Japan) (Disc 1) (2M)	a5b35640	428	Azel - Panzer Dragoon RPG (Japan) (Disc 1) (1M)
Azel - Panzer Dragoon RPG (Japan) (Disc 2) (1M)	753a1c2c	428	Azel - Panzer Dragoon RPG (Japan) (Disc 1) (1M)
Azel - Panzer Dragoon RPG (Japan) (Disc 2) (2M)	434351bf	428	Azel - Panzer Dragoon RPG (Japan) (Disc 1) (1M)
Azel - Panzer Dragoon RPG (Japan) (Disc 3) (1M)	2895e179	428	Azel - Panzer Dragoon RPG (Japan) (Disc 1) (1M)
Azel - Panzer Dragoon RPG (Japan) (Disc 3) (2M)	1eecacea	428	Azel - Panzer Dragoon RPG (Japan) (Disc 1) (1M)
Azel - Panzer Dragoon RPG (Japan) (Disc 4) (2M, 3M)	0846b9ff	585	Azel - Panzer Dragoon RPG (Japan) (Disc 1) (1M)
Azel - Panzer Dragoon RPG (Japan) (Disc 4) (4M)	f9bd05b4	569	Azel - Panzer Dragoon RPG (Japan) (Disc 1) (1M)
BackGuiner - Yomigaeru Yuushatachi - Hishou-hen - Uragiri no Senjou (Japan) (Disc 1)	4a41fc2c	361	BackGuiner - Yomigaeru Yuushatachi - Hishou-hen - Uragiri no Senjou (Japan) (Disc 1)
BackGuiner - Yomigaeru Yuushatachi - Hishou-hen - Uragiri no Senjou (Japan) (Disc 2)	21eed448	361	BackGuiner - Yomigaeru Yuushatachi - Hishou-hen - Uragiri no Senjou (Japan) (Disc 1)
BackGuiner - Yomigaeru Yuushatachi - Kakusei-hen - Guiner Tensei (Japan) (Disc 1)	498d5a12	355	BackGuiner - Yomigaeru Yuushatachi - Kakusei-hen - Guiner Tensei (Japan) (Disc 1)
BackGuiner - Yomigaeru Yuushatachi - Kakusei-hen - Guiner Tensei (Japan) (Disc 2)	f72cc9d8	355	BackGuiner - Yomigaeru Yuushatachi - Kakusei-hen - Guiner Tensei (Japan) (Disc 1)
Baku Baku Animal - Sekai Shiiku Gakari Senshuken (Japan)	58e6cea6	3478	Baku Baku Animal - Sekai Shiiku Gakari Senshuken (Japan)
Baku Baku Animal - Sekai Shiiku Gakari Senshuken (Japan) (Rev A)	45a6edbb	3662	Baku Baku Animal - Sekai Shiiku Gakari Senshuken (Japan)
Baku Baku Animal - World Zookeeper Contest (Europe)	248cca83	3486	Baku Baku Animal - World Zookeeper Contest (USA)
Baku Baku Animal - World Zookeeper Contest (USA)	89da7510	3294	Baku Baku Animal - World Zookeeper Contest (USA)
Bakuretsu Hunter (Japan)	e6deec95	241	Bakuretsu Hunter (Japan)
Bakuretsu Hunter (Japan) (Omake CD)	435e23cc	263	Bakuretsu Hunter (Japan)
Bakuretsu Hunter R (Japan)	5ed48bf8	245	Bakuretsu Hunter R (Japan)
Bakushou!! All Yoshimoto Quiz-ou Ketteisen DX (Japan)	cc267cf2	299	Bakushou!! All Yoshimoto Quiz-ou Ketteisen DX (Japan)
Baldy Land (Japan)	878fe2a0	1135	Baldy Land (Japan)
Baroque (Japan)	5ef7c41c	223	Baroque (Japan)
Baroque Report - CD Data File (Japan)	d842ade4	267	Baroque Report - CD Data File (Japan)
Bases Loaded '96 - Double Header (USA)	b37d13e9	401	Bases Loaded '96 - Double Header (USA)
Batman Forever - The Arcade Game (Europe)	8d533fd2	252	Batman Forever - The Arcade Game (USA)
Batman Forever - The Arcade Game (Japan)	cfa56146	273	Batman Forever - The Arcade Game (USA)
Batman Forever - The Arcade Game (USA)	24e4efad	246	Batman Forever - The Arcade Game (USA)
Batsugun (Japan)	8db05bbd	3756	Batsugun (Japan)
Battle Arena Toshinden Remix (Europe)	7b73499e	1566	Battle Arena Toshinden Remix (USA)
Battle Arena Toshinden Remix (USA)	f4e1ac6d	1530	Battle Arena Toshinden Remix (USA)
Battle Arena Toshinden URA - Ultimate Revenge Attack (Europe)	b9734da5	2790	Battle Arena Toshinden URA - Ultimate Revenge Attack (USA)
Battle Arena Toshinden URA - Ultimate Revenge Attack (Europe) (Beta) (1996-11-08)	dd2954a1	2782	Battle Arena Toshinden URA - Ultimate Revenge Attack (USA)
Battle Arena Toshinden URA - Ultimate Revenge Attack (USA)	c7a87977	2759	Battle Arena Toshinden URA - Ultimate Revenge Attack (USA)
Battle Athletess Daiundoukai (Japan)	c9e92cad	265	Battle Athletess Daiundoukai (Japan)
Battle Garegga (Japan)	8580a961	3866	Battle Garegga (Japan)
Battle Monsters (Europe)	7a62e8f7	218	Battle Monsters (USA)
Battle Monsters (Japan)	8d1a903f	239	Battle Monsters (USA)
Battle Monsters (USA)	878a8825	235	Battle Monsters (USA)
Battle Stations (Europe) (En,Fr,De)	0cc3d9f3	2345	Battle Stations (USA) (En,Fr,De)
Battle Stations (USA) (En,Fr,De)	667c25cc	2291	Battle Stations (USA) (En,Fr,De)
BattleSport (USA)	3f1bb1a3	2110	BattleSport (USA)
Beach de Riichi! (Japan)	e636547d	218	Beach de Riichi! (Japan)
Bedlam (USA) (Proto) (1997-08-11)	f587593d	871	Bedlam (USA) (Proto) (1997-08-11)
Big Ichigeki! Pachi-Slot Daikouryaku - Universal Museum (Japan) (1M)	fbc3b9cc	977	Big Ichigeki! Pachi-Slot Daikouryaku - Universal Museum (Japan) (1M)
Big Ichigeki! Pachi-Slot Daikouryaku - Universal Museum (Japan) (Rev A) (10M)	f4512127	1031	Big Ichigeki! Pachi-Slot Daikouryaku - Universal Museum (Japan) (1M)
Big Thanks - Super Keirin - Dream with Keirin 50 Years (Japan)	869fde8f	294	Big Thanks - Super Keirin - Dream with Keirin 50 Years (Japan)
Bio Hazard (Japan)	eb693287	229	Bio Hazard (Japan)
Bishoujo Hanafuda Kikou - Michinoku Hitou Koi Monogatari Special (Japan)	c72b50d3	337	Bishoujo Hanafuda Kikou - Michinoku Hitou Koi Monogatari Special (Japan)
Bishoujo Senshi Sailor Moon SuperS - Various Emotion (Japan)	b9e8fb7a	14110	Bishoujo Senshi Sailor Moon SuperS - Various Emotion (Japan)
Black Dawn (Europe)	bacb85f7	5910	Black Dawn (USA)
Black Dawn (Japan)	c1d1493c	5858	Black Dawn (USA)
Black Dawn (USA)	0fe1bc16	5754	Black Dawn (USA)
Black-Matrix (Japan)	9ba6e106	352	Black-Matrix (Japan)
Black-Matrix (Japan) (Rerelease)	f5e3974a	388	Black-Matrix (Japan)
BlackFire (Europe)	0ae1c4ce	206	BlackFire (USA) (2S)
BlackFire (Japan)	9f1ee6f3	227	BlackFire (USA) (2S)
BlackFire (USA) (2S)	6cdbdd49	233	BlackFire (USA) (2S)
BlackFire (USA) (3S)	7b2d9e6b	233	BlackFire (USA) (2S)
Blam! Machinehead (Europe)	91ffc0bb	1313	Blam! Machinehead (Europe)
Blam! Machinehead (France)	ff58c9cd	1313	Blam! Machinehead (Europe)
Blam! Machinehead (Germany)	d6b74325	1324	Blam! Machinehead (Europe)
Blam! Machinehead (Japan)	f9dcdffb	1325	Blam! Machinehead (Europe)
Blast Chamber (Europe) (En,Fr,De,Es,It)	ece60eba	4672	Blast Chamber (USA)
Blast Chamber (USA)	b4e4e242	2627	Blast Chamber (USA)
Blast Wind (Japan)	afaea7a9	2242	Blast Wind (Japan)
Blazing Dragons (Europe)	3389d55e	218	Blazing Dragons (USA)
Blazing Dragons (France)	6db25e54	218	Blazing Dragons (USA)
Blazing Dragons (Germany)	0785ffe2	220	Blazing Dragons (USA)
Blazing Dragons (USA)	3aa9c18c	235	Blazing Dragons (USA)
Blazing Heroes (USA)	60d7f88f	780	Blazing Heroes (USA)
Blood Factory (Japan)	051342d3	3601	Blood Factory (Japan)
Blue Breaker - Ken yori mo Hohoemi o (Japan)	4bb05085	281	Blue Breaker - Ken yori mo Hohoemi o (Japan)
Blue Breaker - Ken yori mo Hohoemi o (Japan) (Demo)	5c435e36	272	Blue Breaker - Ken yori mo Hohoemi o (Japan)
Blue Seed - Kushinada Hirokuden (Japan)	1c12a0fb	3270	Blue Seed - Kushinada Hirokuden (Japan)
Bomberman Wars (Japan)	cda3991a	237	Bomberman Wars (Japan)
Bottom of the 9th (USA)	be35b475	216	Bottom of the 9th (USA)
Bouken Katsugeki Monomono (Japan)	b21f1710	259	Bouken Katsugeki Monomono (Japan)
Bouken Katsugeki Monomono (Japan) (Demo)	acbbbf16	273	Bouken Katsugeki Monomono (Japan)
Brain Battle Q (Japan)	8f599f37	3983	Brain Battle Q (Japan)
BrainDead 13 (Japan)	3abd3e00	233	BrainDead 13 (USA)
BrainDead 13 (USA)	5039d9c8	206	BrainDead 13 (USA)
Break Point (Europe) (En,Fr)	968b3d4c	714	Break Point (Europe) (En,Fr)
Break Point (Japan)	03a3ead7	683	Break Point (Europe) (En,Fr)
Break Point Tennis (USA)	dcce7150	690	Break Point Tennis (USA)
BreakThru! (Japan)	e54c596a	229	BreakThru! (Japan)
Bubble Bobble also featuring Rainbow Islands (Europe)	7199d6a5	276	Bubble Bobble also featuring Rainbow Islands (USA)
Bubble Bobble also featuring Rainbow Islands (USA)	7adc8578	270	Bubble Bobble also featuring Rainbow Islands (USA)
Bubble Symphony (Japan)	96f31dc7	239	Bubble Symphony (Japan)
Bug Too! (Europe)	0e0fc7cf	1326	Bug Too! (USA)
Bug Too! (USA)	7b42ccba	1290	Bug Too! (USA)
Bug Too! Motto Motto Jump Shite, Funzukechatte, Petchanko (Japan)	b9c44181	1902	Bug Too! Motto Motto Jump Shite, Funzukechatte, Petchanko (Japan)
Bug! (Europe)	216d1729	7889	Bug! (USA)
