#key	style	ss_system_id
2Tax Gold (Japan)	mixrbv2	22
2do Aru Koto wa Sando R (Japan)	mixrbv2	22
3D Baseball (USA)	mixrbv2	22
3D Baseball - The Majors (Japan)	mixrbv2	22
3D Lemmings (Europe)	mixrbv2	22
3D Mission Shooting - Finalist (Japan)	mixrbv2	22
3x3 Eyes - Kyuusei Koushu S (Japan) (Disc 1)	mixrbv2	22
6 Inch My Darling (Japan)	mixrbv2	22
AI Igo (Japan)	mixrbv2	22
AI Shougi (Japan)	mixrbv2	22
AI Shougi 2 (Japan)	mixrbv2	22
Actua Golf (Europe) (En,Fr,De)	mixrbv2	22
Actua Soccer (Japan)	mixrbv2	22
Actua Soccer - Club Edition (Europe)	mixrbv2	22
Advanced V.G. (Japan)	mixrbv2	22
Advanced World War - Sennen Teikoku no Koubou - Last of the Millennium (Japan) (2M)	mixrbv2	22
Air Management '96 (Japan)	mixrbv2	22
Airs Adventure (Japan)	mixrbv2	22
Akumajou Dracula X - Gekka no Yasoukyoku (Japan) (2M)	mixrbv2	22
Albert Odyssey - Legend of Eldean (USA)	mixrbv2	22
Albert Odyssey Gaiden - Legend of Eldean (Japan) (1M)	mixrbv2	22
Album Club (Mune Kyun) - St. Paulia Jogakuin (Japan)	mixrbv2	22
Alien Trilogy (USA)	mixrbv2	22
All-Star Baseball '97 Featuring Frank Thomas (USA)	mixrbv2	22
Alone in the Dark - Jack Is Back (Europe) (En,Fr,De,Es,It)	mixrbv2	22
Alone in the Dark - One-Eyed Jack's Revenge (USA)	mixrbv2	22
Alone in the Dark 2 (Japan)	mixrbv2	22
Amagi Shien (Japan)	mixrbv2	22
America Oudan Ultra Quiz (Japan)	mixrbv2	22
Amok (USA)	mixrbv2	22
AnEarth Fantasy Stories - The First Volume (Japan)	mixrbv2	22
Andretti Racing (USA)	mixrbv2	22
Angel Graffiti S - Anata e no Profile (Japan)	mixrbv2	22
Angel Paradise Vol. 1 - Sakaki Yuko - Koi no Yokan in Hollywood (Japan)	mixrbv2	22
Angel Paradise Vol. 2 - Yoshino Kimika - Isshoni I-ta-i in Hawaii (Japan)	mixrbv2	22
Angelique Duet (Japan)	mixrbv2	22
Angelique Special (Japan)	mixrbv2	22
Angelique Special 2 (Japan)	mixrbv2	22
Another Memories (Japan)	mixrbv2	22
Aqua-world - Umi Monogatari (Japan)	mixrbv2	22
Aquazone - Desktop Life (Japan)	mixrbv2	22
Aquazone - Desktop Life Option Disc Series 1 - Angel Fish (Japan) (Rev A)	mixrbv2	22
Aquazone - Desktop Life Option Disc Series 2 - Black Molly (Japan) (Rev A)	mixrbv2	22
Aquazone - Desktop Life Option Disc Series 3 - Blue Emperor (Japan) (Rev A)	mixrbv2	22
Aquazone - Desktop Life Option Disc Series 4 - Clown Loach (Japan) (Rev A)	mixrbv2	22
Aquazone - Desktop Life Option Disc Series 5 - False Rummy-Nose (Japan) (Rev A)	mixrbv2	22
Arcade Gears Vol. 1 - Pu-Li-Ru-La (Japan)	mixrbv2	22
Arcade Gears Vol. 2 - Gun Frontier (Japan)	mixrbv2	22
Arcade Gears Vol. 3 - Wonder 3 (Japan)	mixrbv2	22
Arcade Gears Vol. 4 - ImageFight & XMultiply (Japan)	mixrbv2	22
Arcade's Greatest Hits (USA)	mixrbv2	22
Arcade's Greatest Hits - The Atari Collection 1 (USA)	mixrbv2	22
Arcana Strikes (Japan)	mixrbv2	22
Area 51 (USA)	mixrbv2	22
Arthur to Astaroth no Nazo Makaimura - Incredible Toons (Japan)	mixrbv2	22
Assault Rigs (Japan)	mixrbv2	22
Assault Suit Leynos 2 (Japan)	mixrbv2	22
Astal (USA) (1S)	mixrbv2	22
Astra Superstars (Japan)	mixrbv2	22
Asuka 120% Limited - Burning Fest. Limited (Japan)	mixrbv2	22
Athlete Kings (Europe)	mixrbv2	22
Atlantis - The Lost Tales (Europe) (En,De,Es) (Disc 1)	mixrbv2	22
Ayakashi Ninden Kunoichiban Plus (Japan) (Disc 1)	mixrbv2	22
Azel - Panzer Dragoon RPG (Japan) (Disc 1) (1M)	mixrbv2	22
BackGuiner - Yomigaeru Yuushatachi - Hishou-hen - Uragiri no Senjou (Japan) (Disc 1)	mixrbv2	22
BackGuiner - Yomigaeru Yuushatachi - Kakusei-hen - Guiner Tensei (Japan) (Disc 1)	mixrbv2	22
Baku Baku Animal - Sekai Shiiku Gakari Senshuken (Japan)	mixrbv2	22
Baku Baku Animal - World Zookeeper Contest (USA)	mixrbv2	22
Bakuretsu Hunter (Japan)	mixrbv2	22
Bakuretsu Hunter R (Japan)	mixrbv2	22
Bakushou!! All Yoshimoto Quiz-ou Ketteisen DX (Japan)	mixrbv2	22
Baldy Land (Japan)	mixrbv2	22
Baroque (Japan)	mixrbv2	22
Bases Loaded '96 - Double Header (USA)	mixrbv2	22
Batman Forever - The Arcade Game (USA)	mixrbv2	22
Batsugun (Japan)	mixrbv2	22
Battle Arena Toshinden Remix (USA)	mixrbv2	22
Battle Arena Toshinden URA - Ultimate Revenge Attack (USA)	mixrbv2	22
Battle Athletess Daiundoukai (Japan)	mixrbv2	22
Battle Garegga (Japan)	mixrbv2	22
Battle Monsters (USA)	mixrbv2	22
Battle Stations (USA) (En,Fr,De)	mixrbv2	22
BattleSport (USA)	mixrbv2	22
Beach de Riichi! (Japan)	mixrbv2	22
Bedlam (USA) (Proto) (1997-08-11)	mixrbv2	22
Big Ichigeki! Pachi-Slot Daikouryaku - Universal Museum (Japan) (1M)	mixrbv2	22
Big Thanks - Super Keirin - Dream with Keirin 50 Years (Japan)	mixrbv2	22
Bio Hazard (Japan)	mixrbv2	22
Bishoujo Hanafuda Kikou - Michinoku Hitou Koi Monogatari Special (Japan)	mixrbv2	22
Bishoujo Senshi Sailor Moon SuperS - Various Emotion (Japan)	mixrbv2	22
Black Dawn (USA)	mixrbv2	22
Black-Matrix (Japan)	mixrbv2	22
BlackFire (USA) (2S)	mixrbv2	22
Blam! Machinehead (Europe)	mixrbv2	22
Blast Chamber (USA)	mixrbv2	22
Blast Wind (Japan)	mixrbv2	22
Blazing Dragons (USA)	mixrbv2	22
Blazing Heroes (USA)	mixrbv2	22
Blood Factory (Japan)	mixrbv2	22
Blue Breaker - Ken yori mo Hohoemi o (Japan)	mixrbv2	22
Blue Seed - Kushinada Hirokuden (Japan)	mixrbv2	22
Bomberman Wars (Japan)	mixrbv2	22
Bottom of the 9th (USA)	mixrbv2	22
Bouken Katsugeki Monomono (Japan)	mixrbv2	22
Brain Battle Q (Japan)	mixrbv2	22
BrainDead 13 (USA)	mixrbv2	22
Break Point (Europe) (En,Fr)	mixrbv2	22
Break Point Tennis (USA)	mixrbv2	22
BreakThru! (Japan)	mixrbv2	22
Bubble Bobble also featuring Rainbow Islands (USA)	mixrbv2	22
Bubble Symphony (Japan)	mixrbv2	22
Bug Too! (USA)	mixrbv2	22
Bug Too! Motto Motto Jump Shite, Funzukechatte, Petchanko (Japan)	mixrbv2	22
Bug! (USA)	mixrbv2	22
Bug! Jump Shite, Funzukechatte, Petchanko (Japan)	mixrbv2	22
Bulk Slash (Japan)	mixrbv2	22
Burning Rangers (USA)	mixrbv2	22
Bust-A-Move 2 - Arcade Edition (USA)	mixrbv2	22
Bust-A-Move 3 (USA)	mixrbv2	22
Can Can Bunny Extra (Japan)	mixrbv2	22
Can Can Bunny Premiere (Japan) (1M)	mixrbv2	22
Can Can Bunny Premiere 2 (Japan) (Disc 1)	mixrbv2	22
Capcom Generation - Dai-1-shuu Gekitsuiou no Jidai (Japan)	mixrbv2	22
Capcom Generation - Dai-2-shuu Makai to Kishi (Japan)	mixrbv2	22
Capcom Generation - Dai-3-shuu Koko ni Rekishi Hajimaru (Japan)	mixrbv2	22
Capcom Generation - Dai-4-shuu Kokou no Eiyuu (Japan)	mixrbv2	22
Capcom Generation - Dai-5-shuu Kakutoukatachi (Japan)	mixrbv2	22
Casper (USA)	mixrbv2	22
Cat the Ripper - 13Ninme no Tanteishi (Japan)	mixrbv2	22
Center Ring Boxing (USA)	mixrbv2	22
