#key	synopsis
3D Lemmings (Europe)	Lemmings 3D ist ein Puzzlespiel auf Saturn. Ihr Ziel ist es, eine Lemmingkolonie bis zum Ende der 80 Level zu führen und dabei sicherzustellen, dass Sie mindestens die für jede Mission erforderliche Anzahl an Individuen retten. Geben Sie Ihren Lemmingen den Befehl, Mauern zu graben, Treppen zu bauen usw. Die wichtigste Neuerung in diesem Abschnitt ergibt sich aus der Umstellung auf 3D.
3D Mission Shooting - Finalist (Japan)	Tunnel B1 ist ein Actionspiel auf Saturn. Die Software lässt Sie in schwindelerregender Geschwindigkeit in eine Welt voller selten erreichter Empfindungen eintauchen. Am Ende des Tunnels erwartet Sie eine komplett 3D-Hölle, verstärkt durch atemberaubende Lichteffekte.
6 Inch My Darling (Japan)	6inch My Darling ist eine Visual Novel für den Sega Saturn. Die Geschichte folgt einem Oberschüler, der mit seinen Eltern und einer jüngeren Schwester zusammenlebt. Während seiner Schulferien hilft er seiner Mutter bei der Arbeit im Schnapsladen. Eines Tages stolpert er auf dem Heimweg von der Schule bei einem Spaziergang durch den Wald über eine vergrabene Kiste. Im Inneren befand sich eine seltsame Form, und auf der Innenseite des Deckels der Schachtel befand sich eine Nachricht. Da er sich nicht sicher war, was es war, ließ er sie auf dem Tisch liegen und schlief ein. Am nächsten Tag hörte er eine Stimme in seinem Zimmer und als er versuchte, die Quelle der Stimme zu bestimmen, stieß er auf ein Mädchen namens Etosera, das bedeutet eine Größe von 6 Zoll. Aber sie war nicht die einzige, die wegen der geheimnisvollen Schachtel auftauchte, zwei Mädchen, Minty und Pim, wurden ebenfalls zu ihren heimlichen Gefährtinnen.
Actua Golf (Europe) (En,Fr,De)	Actua Golf ist eine Golfsimulation mit vollständigem 3D-Gelände und Charakteren. Es gibt zwei Golfplätze (Country und Tropical), anpassbare Charaktere, Multi-View-Schlagverfolgung und Action-Replays. Actua Golf verwendet eine ähnliche Spielsteuerung wie ältere Golftitel. Mit einer Schwunganzeige, bei der Sie die richtige Zeit abpassen müssen, um den Ball richtig zu treffen.
Actua Soccer (Japan)	Im Jahr 1995 machte die zunehmende Leistungsfähigkeit der neuen Systeme 3D-Fußballspiele zu einer Möglichkeit, die mehrere Unternehmen untersuchten. Die meisten Funktionen, die man später in Fußballspielen als selbstverständlich ansah, wurden im ersten Actua Sports-Titel eingeführt oder waren zumindest relativ neu. Mehrere Kameraperspektiven standen zur Verfügung, um die Full-3D-Action zu betrachten, wobei 3 Spieler des Sheffield Wednesday FC als Motion Capture fungierten. 44 internationale Kader mit 22 Spielern, jeder mit 8 individuellen Fähigkeiten, wurden vorgestellt. BBC-Kommentator Barry Davies sorgte für einen flüssigen Kommentar über dem Spiel. Es gab eine ganze Reihe von individuell gestalteten Turnieren sowie Mehrspieler-Optionen, die sowohl das Spielen auf einem System als auch im Netzwerk ermöglichten.
Advanced V.G. (Japan)	Die Geschichte von Advanced V.G. folgt einer ähnlichen Vorlage wie die vorherigen Geo Varia-Spiele: Die stärksten jungen Frauen des Landes veranstalten ein Turnier, das von verschiedenen Restaurantketten gesponsert wird, die wiederum die konkurrierenden Mädchen bitten, sich zu Werbezwecken als Kellnerinnen auszugeben, die in diesen Restaurants arbeiten. Die Mädchen der Jahana-Gruppe aus den vorherigen Spielen kehren zurück. Die neue Protagonistin ist die junge Kampfsportlerin Yuka Takeuchi, die in einem abgelegenen Waldgebiet trainiert hat, bevor sie sich dem Wettbewerb anschloss. Wie seine Vorgänger ist Advanced V.G. ein Kampfspiel mit den grundlegenden &quot;Kick&quot;- und &quot;Punch&quot;-Moves, während die verschiedenen Spezialangriffe durch Tastenkombinationen ausgeführt werden.
Advanced World War - Sennen Teikoku no Koubou - Last of the Millennium (Japan) (2M)	Advanced World War Sennen Teikoku no Koubou: Last of the Millennium ist ein taktisches Strategiespiel mit Kriegsfahrzeugen für den Sega Saturn aus dem Jahr 1997. Das Spiel findet auf dem Höhepunkt des Krieges gegen die Nazis in einem Brettspielformat statt, der Spieler wählt seine Aktionen im Stil von FF Tatics, nachdem er die Aktionen gewählt und den Zug beendet hat, erscheint eine kleine Szene, um die Ergebnisse zu zeigen.
AI Igo (Japan)	Ai Igo ist ein japanisches Brettspiel aus dem Jahr 1997 für Sega Saturn. Bei den Spielen der GO-Serie geht es darum, das gegnerische Territorium einzukreisen und zu beherrschen. Man beginnt mit einem leeren Brett, mit 19×19 Schnittpunkten und mit schwarzen und weißen Steinen. Jeder Spieler setzt abwechselnd einen Stein auf eine Kreuzung und versucht, ein Gebiet einzukreisen. Die Steine verbleiben auf dem Spielbrett in der gleichen Position, in der sie platziert wurden, es sei denn, sie werden umzingelt und erobert. Es gewinnt der Spieler, der einen größeren Bereich des Spielbretts beherrschen kann.
AI Shougi (Japan)	AI Shogi, 1995 von &quot;Something Good&quot; für Sega Saturn veröffentlicht, ist als japanisches Schach bekannt. Das Ziel des Spiels ist das gleiche wie beim westlichen Schach, aber die Figuren und das Brett sind anders. Das Spiel wird von demjenigen gewonnen, der den gegnerischen König schlägt.
AI Shougi 2 (Japan)	AI Shogi 2 wurde 1998 von ASCII Something Good für Sega Saturn veröffentlicht und ist eine Fortsetzung von AI Shogi. AI Shogi ist als japanisches Schach bekannt. Das Ziel des Spiels ist das gleiche wie beim westlichen Schach, aber die Figuren und das Brett sind anders. Der Gewinner ist derjenige, der den gegnerischen König schlägt.
