#key	synopsis
2do Aru Koto wa Sando R (Japan)	Like the previous games, players play a series of timed mini games to overcome enemies. Gameplay is similar to the previous games, although the games are in 3D. There are four rounds of a number of timed mini games, and two players are supported. Twenty-two categorized mini games are featured, and like the previous instalments, there is a 'Free Play' mode where they can be practiced. The Saturn version features a RPG-style 'Original mode', which features a shop where items such as torches and brooms can be purchased.
2Tax Gold (Japan)	Developed by Atelier Double, and published by Human in 1997 for Sega Saturn. The game is an automatic trip except for the fact that you have to answer questions with only two answers, some of which are true or false style. If you hit the questions you will pass the stage and be challenged by a mini game, after the game will have a story to finish the chapter. If you miss a lot, a comedy scene appears doshi doshi fundoshi style, narrated with digitized voices. If you do not complete the mini game, come a character to give you a sermon, and you will have to try again.
3D Baseball (USA)	3D Baseball is a 3-D polygon baseball game with over 700 actual Major League players and their previous years stats to choose from. There are over 50 real-life batter stances that were motion-captured through the actual players themselves with five different dynamic camera angles to choose. The standard modes apply such as Exhibition and Pennant along with a General Managers Mode where players can trade and even alter the stats of their players to create the ultimate team. It feature realistic animation and the voice talents of Van Earl Wright with over 1,000 different commentary phrases. Though it did feature the MLBPA (Major League Baseball Players Association) license, it did not however feature the actual MLB (Major League Baseball) team names and logos.
3D Baseball - The Majors (Japan)	3D Baseball is a 3-D polygon baseball game with over 700 actual Major League players and their previous years stats to choose from. There are over 50 real-life batter stances that were motion-captured through the actual players themselves with five different dynamic camera angles to choose. The standard modes apply such as Exhibition and Pennant along with a General Managers Mode where players can trade and even alter the stats of their players to create the ultimate team. It feature realistic animation and the voice talents of Van Earl Wright with over 1,000 different commentary phrases. Though it did feature the MLBPA (Major League Baseball Players Association) license, it did not however feature the actual MLB (Major League Baseball) team names and logos.
3D Lemmings (Europe)	You, as in all other Lemmings games, are responsible for helping hoards of lemmings through hazardous environments to safety. However, this lemmings game goes just that little bit further by introducing the lemmings to 80 new 3-dimensional levels!
3D Mission Shooting - Finalist (Japan)	Tunnel B1, later released as 3D Mission Shooting: Finalist in Japan, is a sci-fi first person shooter developed by NEON Software and published by Ocean in 1996 for the Sega Saturn, Sony PlayStation and DOS comptuers. It features a soundtrack by Chris Hülsbeck of Turrican fame. The game has the player navigate tunnels in a hovercraft destroying enemies.
3x3 Eyes - Kyuusei Koushu S (Japan) (Disc 1)	3x3 Eyes : Kyuusei Koushu S is an adventure game on Saturn, based on the Manga Universe of 3x3 Eyes. Yakumo, a Japanese teenager, is the son of a well known adventurer who died in a mysterious accident during one of his trip to Tibet. Yakumo meet Pai, a young girl who did knew his dad and she belong to a old race of Immortal Daemons named Sanjiyan... This Saturn version is an updated version of the PlayStation one.
6 Inch My Darling (Japan)	6inch My Darling is a visual novel for the Sega Saturn. The story follows a high school student who lives with his parents and a younger sister. During his school breaks, he helps his mother work at the liquor store. One day, on his way home from school, he stumbles upon a buried box while walking in the woods. Inside was a strange shape, with a message inside the lid of the box. Not sure what it was, he left it on the table and went to sleep. The next day he heard a voice in his room and while trying to determine the source of the voice he came across a girl named Etosera, this means 6 inches tall. But she wasn't the only one who appeared because of the mysterious box, two girls, Minty and Pim, also became her secret companions.
Actua Golf (Europe) (En,Fr,De)	Actua Golf is a golf simulation with full 3D terrain and characters. It comes with two courses to play at (country and tropical), customizable characters and multi-view shot tracking and action replays. Actua Golf uses similar game controls as older golf titles did. With a swing meter, where you have to time correctly to hit the ball right.
Actua Soccer (Japan)	In 1995 the increased power of the new wave of systems made 3D football games a possibility several companies investigated. Most of the features people later took for granted in football games were pioneered, or at least fairly fresh, when they appeared in the first of the Actua Sports titles. Multiple camera angles were available to view the full-3D action, with 3 Sheffield Wednesday FC players providing motion capture. 44 international squads of 22 players, each with 8 individual skill attributes, were featured. BBC commentator Barry Davies provided a full flowing commentary over the top. A full range of customised tournaments were available, as well as multi-player options allowing for both same-system and networked play.
