#key	synopsis
2do Aru Koto wa Sando R (Japan)	Comme dans les jeux précédents, les joueurs jouent à une série de mini-jeux chronométrés pour vaincre ses adversaires. La jouabilité est similaire à celle des jeux précédents. Il y a quatre tours pour un certain nombre de mini-jeux chronométrés, et deux joueurs s'affrontente. Vingt-deux mini-jeux catégorisés sont proposés et, comme dans les versions précédentes, un mode « Free Play » permet de s'entraîner. La version Saturn propose un « mode original » de type RPG, avec une boutique où l'on peut acheter des objets tels que des torches et des balais.
2Tax Gold (Japan)	Le jeu est un voyage automatique, sauf que vous devez répondre aux questions avec seulement deux réponses, dont certaines du genre &quot;vrai ou faux&quot;. Si vous répondez correctement aux questions, vous réussirez le niveau et serez mis au défi par un mini-jeu, après vous aurez une histoire pour clôturer le chapitre. Si vous faites une grosse erreur, une scène de comédie de style doshi doshi fundhi apparaît, racontée avec des voix numérisées. Si vous ne terminez pas le mini-jeu, un personnage apparaît pour vous donner une conférence et vous devrez réessayer.
3D Baseball (USA)	3D Baseball est un jeu de baseball avec plus de 700 joueurs de la Major League et leurs statistiques. Il y a plus de 50 prises de vue réelles qui ont été captées par les joueurs eux-mêmes avec cinq angles de caméra dynamiques différents à choisir. Le jeu présente des animations réalistes et les talents vocaux de Van Earl Wright avec plus de 1 000 phrases de commentaires différentes.
3D Baseball - The Majors (Japan)	3D Baseball est un jeu de baseball avec plus de 700 joueurs de la Major League et leurs statistiques. Il y a plus de 50 prises de vue réelles qui ont été captées par les joueurs eux-mêmes avec cinq angles de caméra dynamiques différents à choisir. Le jeu présente des animations réalistes et les talents vocaux de Van Earl Wright avec plus de 1 000 phrases de commentaires différentes.
3D Lemmings (Europe)	Lemmings 3D est un jeu de réflexion sur Saturn. Votre objectif est de guider une colonie de Lemmings vers la sortie des 80 niveaux en vous assurant de sauver au moins le nombre d'individus exigé pour chaque mission. Donnez des ordres à vos Lemmings pour creuser des parois, construire des escaliers, etc. La principale innovation de ce volet vient du passage à la 3D.
3D Mission Shooting - Finalist (Japan)	Tunnel B1 est un jeu d'action sur Saturn. Le soft vous plonge, à une vitesse vertigineuse, dans un univers de sensations rarement atteintes. Au bout du tunnel, un enfer entièrement en 3D vous attend boosté par des effets lumineux hallucinants.
3x3 Eyes - Kyuusei Koushu S (Japan) (Disc 1)	3x3 Eyes : Kyuusei Koushu S est un jeu d'aventure sur Saturn qui se base sur l'univers du manga et de l'anime 3x3 Eyes. Yakumo, un adolescent japonais, est le fils d'un célèbre aventurier mort d'un mystérieux accident durant un voyage au Tibet. Il rencontre Pai, une jeune fille ayant connu son père et appartenant à une ancienne race de démons immortels appelés Sanjiyan... Cette version Saturn est une version amélioré du jeu sur Playstation.
6 Inch My Darling (Japan)	6inch My Darling est un roman visuel pour la Sega Saturn. L'histoire suit un lycéen qui vit avec ses parents et une sœur cadette. Pendant ses vacances d'école, il aide sa mère à travailler au magasin d'alcool. Un jour, en rentrant de l'école, il trébuche sur une boîte enterrée alors qu'il se promenait dans les bois. À l'intérieur se trouvait une forme étrange, avec un message à l'intérieur du couvercle de la boîte. Pas sûr de ce que c'était, il l'a laissé sur la table et s'est endormi. Le lendemain, il entendit une voix dans sa chambre et, en essayant de déterminer la source de la voix, il tomba sur une fille nommée Etosera, cela signifie une taille de 6 pouces. Mais elle n'était pas la seule à apparaître à cause de la mystérieuse boîte, deux filles, Minty et Pim, sont également devenues ses compagnes secrètes.
Actua Golf (Europe) (En,Fr,De)	Actua Golf est une simulation de golf avec terrains et personnages en 3D. Il y a 2 parcours à découvrir (campagne et tropical), les personnages sont customisables et les coups bénéficient d'un suivi multi-vues et de replays. Actua Golf utilise les mêmes contrôles que les anciens jeux de golf, avec un &quot;Swing-meter&quot;, que vous devez ajuster précisément pour frapper la balle correctement.
Actua Soccer (Japan)	En 1995, la puissance accrue de la nouvelle vague de systèmes a fait des jeux de football en 3D une possibilité étudiée par plusieurs sociétés. La plupart des fonctionnalités que les gens ont ensuite considérées comme allant de soi dans les jeux de football ont été inédites, ou du moins assez récentes, lorsqu'elles sont apparues dans le premier des titres Actua Sports. Plusieurs angles de caméra étaient disponibles pour visualiser l'action en 3D, avec 3 joueurs du Sheffield Wednesday FC assurant la capture de mouvement. 44 équipes internationales de 22 joueurs, chacune possédant 8 compétences individuelles, ont été présentées. Le commentateur de la BBC, Barry Davies, a fourni un commentaire complet et fluide. Une gamme complète de tournois personnalisés était disponible, ainsi que des options multi-joueurs permettant de jouer à la fois sur le même système et en réseau.
