#key	synopsis
2do Aru Koto wa Sando R (Japan)	Puzzle & Action: Treasure Hunt, noto come Puzzle & Action: 2do Arukoto ha Sand-R in Giappone, è il terzo gioco della serie di minigiochi Puzzle & Action, sequel di Puzzle & Action: Tant-R e Puzzle & Action : Ichidant-R. Si pone come l'unico capitolo della serie ad essere rilasciato in un territorio di lingua inglese. È stato rilasciato per Sega Titan Video nel 1995 e portato da CRI nel 1996 in esclusiva in Giappone. Entrambe le versioni sono sviluppate da CRI.
2Tax Gold (Japan)	Sviluppato da Atelier Double e pubblicato da Human nel 1997 per Sega Saturn. Il gioco è un viaggio automatico tranne per il fatto che devi rispondere alle domande con solo due risposte, alcune delle quali sono vere o false. Se rispondi alle domande, passerai il livello e sarai sfidato da un mini gioco, dopo che il gioco avrà una storia per finire il capitolo. Se ti manca molto, appare una scena comica in stile doshi doshi fundoshi, narrata con voci digitalizzate. Se non completi il mini gioco, vieni con un personaggio a farti un sermone e dovrai riprovare.
3D Baseball (USA)	3D Baseball è un gioco di baseball poligonale 3-D con oltre 700 giocatori effettivi della Major League e le statistiche degli anni precedenti tra cui scegliere. Ci sono oltre 50 posizioni del battitore nella vita reale che sono state catturate dal movimento attraverso i giocatori stessi con cinque diverse angolazioni dinamiche della telecamera tra cui scegliere. nnSi applicano le modalità standard come Exhibition e Pennant insieme a una modalità General Manager in cui i giocatori possono scambiare e persino modificare le statistiche dei loro giocatori per creare la squadra definitiva. Presenta un'animazione realistica e il talento vocale di Van Earl Wright con oltre 1.000 diverse frasi di commento. nnSebbene presentasse la licenza MLBPA (Major League Baseball Players Association), non presentava tuttavia i nomi e i loghi delle squadre MLB (Major League Baseball).
3D Baseball - The Majors (Japan)	3D Baseball è un gioco di baseball poligonale 3-D con oltre 700 giocatori effettivi della Major League e le statistiche degli anni precedenti tra cui scegliere. Ci sono oltre 50 posizioni del battitore nella vita reale che sono state catturate dal movimento attraverso i giocatori stessi con cinque diverse angolazioni dinamiche della telecamera tra cui scegliere. nnSi applicano le modalità standard come Exhibition e Pennant insieme a una modalità General Manager in cui i giocatori possono scambiare e persino modificare le statistiche dei loro giocatori per creare la squadra definitiva. Presenta un'animazione realistica e il talento vocale di Van Earl Wright con oltre 1.000 diverse frasi di commento. nnSebbene presentasse la licenza MLBPA (Major League Baseball Players Association), non presentava tuttavia i nomi e i loghi delle squadre MLB (Major League Baseball).
3D Lemmings (Europe)	Tu, come in tutti gli altri giochi di Lemmings, sei responsabile di aiutare le orde di lemming attraverso ambienti pericolosi per la sicurezza. Tuttavia, questo gioco dei lemming va oltre, introducendo i lemming in 80 nuovi livelli tridimensionali!
3D Mission Shooting - Finalist (Japan)	Tunnel B1, successivamente rilasciato come 3D Mission Shooting: Finalist in Japan, è uno sparatutto in prima persona fantascientifico sviluppato da NEON Software e pubblicato da Ocean nel 1996 per Sega Saturn, Sony PlayStation e computer DOS. È dotato di una colonna sonora di Chris Hülsbeck di fama Turrican. Il gioco vede il giocatore navigare nei tunnel in un hovercraft distruggendo i nemici.
3x3 Eyes - Kyuusei Koushu S (Japan) (Disc 1)	3x3 Eyes: Kyuusei Koushu S è un gioco di avventura su Saturno, basato sull'universo Manga di 3x3 Eyes. Yakumo, un adolescente giapponese, è figlio di un noto avventuriero morto in un misterioso incidente durante un suo viaggio in Tibet. Yakumo incontra Pai, una giovane ragazza che conosceva suo padre e appartiene a una vecchia razza di Demoni Immortali di nome Sanjiyan... Questa versione Saturn è una versione aggiornata di quella PlayStation.
6 Inch My Darling (Japan)	6inch My Darling è un romanzo d'avventura visual romance originariamente pubblicato da KID per Sega Saturn con tutte le valutazioni gratuite. La storia segue uno studente di liceo chiamato giocatore che vive con i suoi genitori e una sorella minore. Durante la pausa da scuola, aiuta sua madre a lavorare part-time al negozio di liquori. Un giorno, di ritorno da scuola, si imbatté in una scatola sepolta mentre camminava nel bosco. Dentro c'era una strana forma, con un messaggio all'interno del coperchio della scatola. Non sono sicuro di cosa fosse, lo mise sul tavolo e andò a dormire. Il giorno dopo, ha sentito una voce nella sua stanza e, mentre cercava di determinare la fonte della voce, si è imbattuto in una ragazza di nome Etosera. E per i più piccoli, ciò significa una dimensione di 6 pollici. Ma non è stata l'unica ad apparire a causa della scatola misteriosa, ma anche due ragazze, Minty e Pim, sono diventate le sue compagne segrete.
Actua Golf (Europe) (En,Fr,De)	Actua Golf è una simulazione di golf con terreno e personaggi completamente 3D. Viene fornito con due percorsi in cui giocare (country e tropicale), personaggi personalizzabili e monitoraggio dei colpi multi-vista e replay d'azione. Actua Golf utilizza controlli di gioco simili a quelli dei vecchi titoli di golf. Con un misuratore di oscillazione, dove devi cronometrare correttamente per colpire la palla a destra.
Actua Soccer (Japan)	Nel 1995 la maggiore potenza della nuova ondata di sistemi ha reso i giochi di calcio 3D una possibilità studiata da diverse aziende. La maggior parte delle caratteristiche che le persone in seguito hanno dato per scontate nei giochi di calcio sono state sperimentate, o almeno abbastanza fresche, quando sono apparse nel primo dei titoli Actua Sports. Erano disponibili più angolazioni della telecamera per visualizzare l'azione in 3D, con 3 giocatori dello Sheffield Wednesday FC che hanno fornito il motion capture. Sono state presentate 44 squadre internazionali di 22 giocatori, ciascuna con 8 attributi individuali di abilità. Il commentatore della BBC Barry Davies ha fornito un commento a flusso completo sopra le righe. Era disponibile una gamma completa di tornei personalizzati, oltre a opzioni multigiocatore che consentivano sia il gioco con lo stesso sistema che in rete.
