#key	synopsis
2do Aru Koto wa Sando R (Japan)	Puzzle & Action: Treasure Hunt, conhecido como Puzzle & Action: 2do Arukoto ha Sand-R no Japão, é o terceiro jogo da série de mini-jogos Puzzle & Action, sendo uma continuação de Puzzle & Action: Tant-R e Puzzle & Action : Ichidant-R. É a única entrada da série a ser lançada em um território de língua inglesa. Foi lançado para o Sega Titan Video em 1995 e portado pelo CRI em 1996, exclusivo no Japão. Ambas as versões são desenvolvidas pelo CRI.
2Tax Gold (Japan)	Desenvolvido por Atelier Double, e publicado por Human em 1997 para Sega Saturn. O jogo é uma viagem automática, exceto pelo fato que você tem que responder questões com apenas duas respostas, inclusive algumas são estilo verdadeiro ou falso. Se acertar as questões passará de fase e será desafiado por um mini game, após o game terá uma história para poder encerrar o capítulo. Se errar muito, aparece uma cena de comédia estilo doshi doshi fundoshi, narrada com vozes digitalizadas. Se não completar o mini game, vem um personagem para te dar um sermão, e terá que tentar novamente.
3D Baseball (USA)	O 3D Baseball é um jogo de beisebol de polígonos 3D com mais de 700 jogadores reais da Major League e suas estatísticas de anos anteriores para escolher. Há mais de 50 stances reais de rebatedores que foram capturados por movimento através dos próprios jogadores, com cinco diferentes ângulos de câmera dinâmicos a serem escolhidos. Os modos padrão se aplicam, como Exposição e Pennant, juntamente com um Modo de Gerentes Gerais, onde os jogadores podem trocar e até mesmo alterar as estatísticas de seus jogadores para criar a equipe final. Caracteriza animação realista e os talentos de voz de Van Earl Wright com mais de 1.000 frases de comentários diferentes. Apesar de apresentar a licença da MLBPA (Liga dos Jogadores de Beisebol da Major League Baseball), no entanto, não incluía os nomes e logotipos reais da equipe MLB (Major League Baseball).
3D Baseball - The Majors (Japan)	O 3D Baseball é um jogo de beisebol de polígonos 3D com mais de 700 jogadores reais da Major League e suas estatísticas de anos anteriores para escolher. Há mais de 50 stances reais de rebatedores que foram capturados por movimento através dos próprios jogadores, com cinco diferentes ângulos de câmera dinâmicos a serem escolhidos. Os modos padrão se aplicam, como Exposição e Pennant, juntamente com um Modo de Gerentes Gerais, onde os jogadores podem trocar e até mesmo alterar as estatísticas de seus jogadores para criar a equipe final. Caracteriza animação realista e os talentos de voz de Van Earl Wright com mais de 1.000 frases de comentários diferentes. Apesar de apresentar a licença da MLBPA (Liga dos Jogadores de Beisebol da Major League Baseball), no entanto, não incluía os nomes e logotipos reais da equipe MLB (Major League Baseball).
3D Lemmings (Europe)	3D Lemmings é um jogo de puzzle lançado em 1996, desenvolvido pela Clockwork Games e publicado pela Psygnosis. A jogabilidade, como o jogo Lemmings original, exige que o jogador leve todos os lemingues à sua saída, dando-lhes as &quot;habilidades&quot; apropriadas. Foi o primeiro jogo Lemmings a ser renderizado em 3D. No entanto, este jogo de lemmings vai um pouco mais além, introduzindo os lemingues em 80 novos níveis tridimensionais!
3D Mission Shooting - Finalist (Japan)	O Tunnel B1 é um jogo de tiro em primeira pessoa desenvolvido pela NEON Software e publicado pela Ocean Software em 1996. Ele apresenta uma trilha sonora de Chris Hülsbeck, da Turrican fame. As portas PlayStation e Sega Saturn foram lançadas no Japão como 3D Mission Shooting: Finalist.
3x3 Eyes - Kyuusei Koushu S (Japan) (Disc 1)	3x3 Eyes : Kyuusei Koushu S é um jogo de aventura em Saturno, baseado no Universo Manga de 3x3 Eyes. Yakumo, um adolescente japonês, é filho de um conhecido aventureiro que morreu em um misterioso acidente durante uma de suas viagens ao Tibet. Yakumo conhece Pai, uma jovem que conheceu seu pai e pertence a uma antiga raça de Daemons Imortais chamada Sanjiyan ... Esta versão de Saturno é uma versão atualizada do PlayStation one.
6 Inch My Darling (Japan)	6inch My Darling é uma aventura romance romance visual originalmente lançado pela KID para a Sega Saturn com livre para todas as avaliações. A história segue um estudante do ensino médio, nomeado pelo jogador, que vive com seus pais e uma irmã mais nova. Durante o período de folga da escola, ele está ajudando sua mãe trabalhando em meio período na loja de bebidas. Um dia, ao retornar da escola, ele tropeçou em uma caixa enterrada enquanto percorria um caminho pela floresta. Dentro havia uma forma estranha, com uma mensagem no interior da tampa da caixa. Não tenho certeza do que se tratava, ele deixou na mesa e foi dormir. No dia seguinte, ele ouviu uma voz em seu quarto, e enquanto tentava determinar a fonte da voz, ele tropeçou em uma pequena garota chamada Etosera. E por pequeno, isso significa 6 polegadas de tamanho. Mas ela não foi a única que apareceu devido à misteriosa caixa, mais duas garotas, Minty e Pim, também se tornaram suas companheiras secretas.
Actua Golf (Europe) (En,Fr,De)	O Actua Golf é um jogo da série Actua Sports desenvolvido pela Gremlin Interactive. Na América do Norte, é conhecido como VR Golf '97. Foi lançado para o Sega Saturn em 1996. Ele vem com dois cursos para jogar (country e tropical), personagens personalizáveis e rastreamento de tiro multi-view e replays de ação. Com um medidor de swing, onde você tem tempo para acertar a bola corretamente.
Actua Soccer (Japan)	Vários ângulos de câmera estavam disponíveis para visualização da ação full-3D, com 3 jogadores do Sheffield Wednesday FC fornecendo captura de movimento. 44 esquadrões internacionais de 22 jogadores, cada um com 8 atributos de habilidades individuais, foram apresentados. O comentarista da BBC, Barry Davies, fez um comentário completo sobre o topo. Uma gama completa de torneios personalizados estava disponível, bem como opções para vários jogadores, permitindo a reprodução em rede e no mesmo sistema.
